"HASTP Whether has Asthma","Has asthma","Does not have asthma","Not stated","Total",
"Hoxton Park - Carnes Hill - Horningsea Park",804,11535,932,13263,
"West Hoxton - Middleton Grange",946,15138,1110,17194,
"Cobbitty - Bringelly",342,4062,350,4761,
"Gledswood Hills - Gregory Hills",992,12525,783,14299,
"Leppington - Catherine Field",759,11065,734,12559,
"Oran Park",1207,15316,1096,17624,
"Bonnyrigg Heights - Bonnyrigg",1062,14787,1303,17154,
"Bossley Park - Abbotsbury",1050,17131,1511,19690,
"Cabramatta - Lansvale",1094,20620,2389,24101,
"Cabramatta West - Mount Pritchard",1037,15453,1757,18249,
"Canley Vale - Canley Heights",1135,19089,2032,22261,
"Edensor Park",521,9003,748,10279,
"Fairfield",921,15527,1799,18248,
"Fairfield - West",1099,18283,1869,21249,
"Greenfield Park - Prairiewood",478,7764,612,8855,
"Horsley Park - Kemps Creek",213,3735,393,4344,
"Smithfield - Wetherill Park",1164,16849,1490,19510,
"St Johns Park - Wakeley",605,9889,700,11197,
"Wetherill Park Industrial",3,28,7,37,
"Casula",1035,14171,1375,16584,
"Chipping Norton - Moorebank",1343,18026,1439,20813,
"Holsworthy - Wattle Grove",1536,17984,1614,21129,
"Lurnea - Cartwright",980,10166,1522,12670,
"Warwick Farm",385,4818,731,5937,
"Edmondson Park",554,10683,838,12080,
"Liverpool - East",885,14287,2365,17536,
"Liverpool - West",852,11406,1484,13737,
"Prestons",934,13728,1038,15692,
"Gymea - Grays Point",1295,15857,1008,18156,
"Miranda - Yowie Bay",1463,17902,1342,20705,
"Sylvania - Taren Point",1011,14237,1185,16430,
"Caringbah",958,10956,941,12858,
"Caringbah South",885,11371,764,13015,
"Cronulla - Kurnell - Bundeena",1652,20878,1854,24374,
"Lilli Pilli - Port Hacking - Dolans Bay",198,2976,196,3369,
"Woolooware - Burraneer",632,7828,487,8947,
"Heathcote - Waterfall",597,5724,351,6673,
"Illawong - Alfords Point",686,9370,498,10554,
"Menai - Lucas Heights - Woronora",1786,18157,977,20927,
"Oyster Bay - Como - Jannali",1749,19144,1167,22063,
"Royal National Park",5,27,18,42,
"Sutherland - Kirrawee",1934,19934,1370,23238,
"Engadine",1525,14878,955,17356,
"Loftus - Yarrawarrah",625,6356,371,7348,
"Woronora Heights",297,3049,191,3539,
"Migratory - Offshore - Shipping (NSW)",0,0,0,0,
"No usual address (NSW)",776,6618,3980,11371,
