"HLUNP Whether has Lung Condition (including COPD and Emphysema)","Has a lung condition (including COPD and emphysema)","Does not have a lung condition (including COPD and emphysema)","Not stated","Total",
"Hoxton Park - Carnes Hill - Horningsea Park",81,12258,932,13263,
"West Hoxton - Middleton Grange",92,15994,1110,17194,
"Cobbitty - Bringelly",59,4349,350,4761,
"Gledswood Hills - Gregory Hills",65,13448,783,14299,
"Leppington - Catherine Field",106,11714,734,12559,
"Oran Park",110,16418,1096,17624,
"Bonnyrigg Heights - Bonnyrigg",169,15683,1303,17154,
"Bossley Park - Abbotsbury",203,17974,1511,19690,
"Cabramatta - Lansvale",201,21514,2389,24101,
"Cabramatta West - Mount Pritchard",190,16299,1757,18249,
"Canley Vale - Canley Heights",187,20037,2032,22261,
"Edensor Park",90,9435,748,10279,
"Fairfield",218,16233,1799,18248,
"Fairfield - West",224,19155,1869,21249,
"Greenfield Park - Prairiewood",77,8161,612,8855,
"Horsley Park - Kemps Creek",64,3885,393,4344,
"Smithfield - Wetherill Park",264,17748,1490,19510,
"St Johns Park - Wakeley",116,10381,700,11197,
"Wetherill Park Industrial",0,35,7,37,
"Casula",213,14990,1375,16584,
"Chipping Norton - Moorebank",286,19082,1439,20813,
"Holsworthy - Wattle Grove",182,19332,1614,21129,
"Lurnea - Cartwright",206,10945,1522,12670,
"Warwick Farm",91,5112,731,5937,
"Edmondson Park",33,11203,838,12080,
"Liverpool - East",138,15036,2365,17536,
"Liverpool - West",163,12096,1484,13737,
"Prestons",123,14532,1038,15692,
"Gymea - Grays Point",228,16926,1008,18156,
"Miranda - Yowie Bay",322,19038,1342,20705,
"Sylvania - Taren Point",268,14975,1185,16430,
"Caringbah",181,11741,941,12858,
"Caringbah South",151,12102,764,13015,
"Cronulla - Kurnell - Bundeena",344,22180,1854,24374,
"Lilli Pilli - Port Hacking - Dolans Bay",29,3144,196,3369,
"Woolooware - Burraneer",76,8378,487,8947,
"Heathcote - Waterfall",114,6206,351,6673,
"Illawong - Alfords Point",105,9951,498,10554,
"Menai - Lucas Heights - Woronora",235,19711,977,20927,
"Oyster Bay - Como - Jannali",253,20647,1167,22063,
"Royal National Park",0,31,18,42,
"Sutherland - Kirrawee",348,21522,1370,23238,
"Engadine",259,16142,955,17356,
"Loftus - Yarrawarrah",109,6866,371,7348,
"Woronora Heights",43,3306,191,3539,
"Migratory - Offshore - Shipping (NSW)",0,0,0,0,
"No usual address (NSW)",268,7122,3980,11371,
