"HLUNP Whether has Lung Condition (including COPD and Emphysema)","Has a lung condition (including COPD and emphysema)","Does not have a lung condition (including COPD and emphysema)","Not stated","Total",
"Windang - Primbee",164,3707,367,4239,
"Illawarra Catchment Reserve",0,9,0,9,
"Albion Park - Macquarie Pass",319,17411,1300,19026,
"Albion Park Rail",213,6139,564,6920,
"Kiama",195,7980,602,8786,
"Kiama Downs - Minnamurra",97,5573,387,6063,
"Kiama Hinterland - Gerringong",127,7386,622,8136,
"Shellharbour - Flinders",277,17646,1415,19341,
"Shellharbour - Oak Flats",271,9464,854,10590,
"Warilla",677,17724,1994,20397,
"Balgownie - Fairy Meadow",481,19459,1574,21519,
"Corrimal - Tarrawanna - Bellambi",460,14437,1145,16041,
"Figtree - Keiraville",331,20854,1587,22773,
"Helensburgh",103,8512,516,9135,
"Thirroul - Austinmer - Coalcliff",151,11068,738,11957,
"Woonona - Bulli - Russell Vale",449,19065,1245,20761,
"Wollongong - East",269,14622,1126,16020,
"Wollongong - West",275,14981,1291,16551,
"Bulahdelah - Stroud",162,4474,601,5235,
"Forster",524,12917,1271,14709,
"Forster-Tuncurry Surrounds",220,6035,737,6988,
"Tuncurry",296,5614,459,6376,
"Kempsey",569,12586,2502,15654,
"Kempsey Surrounds",334,8077,1064,9472,
"Macksville - Scotts Head",206,4507,479,5189,
"Nambucca Heads",441,5898,770,7111,
"Nambucca Heads Surrounds",313,6879,914,8102,
"South West Rocks",256,4901,476,5628,
"Lord Howe Island",5,407,39,445,
"Laurieton - Bonny Hills",752,16533,1198,18484,
"Port Macquarie - West",769,18628,1750,21147,
"Port Macquarie Surrounds",145,4618,533,5301,
"Wauchope",391,11351,1059,12796,
"Port Macquarie - East",268,10657,839,11764,
"Port Macquarie - South",493,15754,1035,17284,
"Gloucester",180,4678,450,5310,
"Old Bar - Manning Point - Red Head",365,11081,1037,12476,
"Taree",706,18137,2283,21123,
"Taree Surrounds",483,11417,1149,13044,
"Wingham",208,4690,498,5395,
"Albury - East",265,16410,1151,17831,
"Albury - North",266,9203,1061,10527,
"Albury - South",225,9402,900,10519,
"Albury Surrounds",242,10974,1291,12507,
"Lavington",470,13752,1447,15665,
"Hay",85,2393,415,2897,
