Australian Bureau of Statistics

"2021 Census - selected dwelling characteristics"
"SA2 (EN) by 1-digit level HHCD Household Composition"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

"1-digit level HHCD Household Composition","One family household","Multiple family household","Non-family household","Non-classifiable","Not applicable","Total",
"Collaroy - Collaroy Plateau",3574,131,1170,156,311,5340,
"Dee Why (South) - North Curl Curl",2298,70,856,119,214,3554,
"Dee Why - North",4831,99,2765,229,655,8580,
"Frenchs Forest - Oxford Falls",4465,174,687,72,162,5562,
"Narrabeen - Wheeler Heights",2861,65,1614,190,381,5107,
"Camden - Ellis Lane",3325,109,1079,133,249,4895,
"Currans Hill",1654,63,358,48,59,2181,
"Elderslie - Narellan",3649,118,899,133,141,4940,
"Harrington Park",2747,151,337,57,51,3337,
"Mount Annan",4836,216,849,125,147,6175,
"Spring Farm",2636,48,416,55,78,3236,
"Bradbury - Wedderburn",4792,236,1487,334,338,7194,
"Campbelltown - Woodbine",5176,216,2560,452,702,9108,
"Claymore - Eagle Vale - Raby",4921,269,1142,285,278,6900,
"Holsworthy Military Area",0,0,0,0,0,0,
"Leumeah - Minto Heights",4073,203,1483,273,300,6335,
"Minto - St Andrews",4985,293,1264,309,256,7103,
"Rosemeadow - Glen Alpine",5248,267,1333,341,230,7418,
"Denham Court - Bardia",3558,192,529,138,188,4607,
"Glenfield",2532,117,577,115,150,3498,
"Ingleburn",4026,229,1289,267,284,6094,
"Macquarie Fields",3359,156,1111,309,221,5156,
"Bargo",1465,87,427,83,99,2164,
"Douglas Park - Appin",2691,153,483,147,149,3623,
"Picton - Tahmoor - Buxton",4867,204,1469,250,415,7209,
"The Oaks - Oakdale",2345,178,439,143,149,3249,
"Blackheath - Megalong Valley",1574,12,1014,161,819,3590,
"Blaxland - Warrimoo - Lapstone",5277,131,1342,122,294,7172,
"Blue Mountains - North",0,0,5,0,0,7,
"Katoomba - Leura",3412,39,2583,313,1343,7697,
"Lawson - Hazelbrook - Linden",3125,79,1225,124,344,4894,
"Springwood - Winmalee",6024,140,1892,135,386,8586,
"Wentworth Falls",1743,28,807,157,370,3104,
"Blue Mountains - South",0,0,4,0,0,10,
"Cambridge Park",4106,187,1232,274,160,5956,
"Emu Plains - Leonay",3741,102,1106,123,151,5229,
"Glenmore Park - Regentville",5556,187,939,149,174,7000,
"Jamisontown - South Penrith",4511,133,1770,251,366,7025,
"Kingswood - Werrington",5763,210,2510,613,652,9752,
"Mulgoa - Luddenham - Orchard Hills",2884,168,494,107,180,3838,
"Penrith",4112,93,3628,596,991,9417,
"Warragamba - Silverdale",1510,85,292,64,80,2024,
"Cranebrook - Castlereagh",4253,204,1006,224,233,5921,
"Jordan Springs - Llandilo",3345,152,525,113,167,4295,
"Richmond - Clarendon",3737,126,1918,243,397,6416,
"Windsor - Bligh Park",3848,145,1511,264,284,6059,
"Yarramundi - Londonderry",1368,169,284,97,81,2011,
"Erskine Park",1623,97,257,65,57,2097,
"St Clair",5072,243,1005,239,181,6748,
"Colyton - Oxley Park",3101,135,1035,305,215,4787,
"St Marys - North St Marys",3833,158,2095,626,476,7187,
"Rookwood Cemetery",4,0,0,0,0,4,
"Auburn - Central",3526,315,1410,436,465,6160,
"Auburn - North",2036,122,1195,154,551,4054,
"Auburn - South",1639,186,455,185,143,2612,
"Berala",1885,121,687,130,219,3049,
"Lidcombe",4687,352,1657,283,578,7555,
"Regents Park",1080,74,453,80,149,1841,
"Silverwater - Newington",2085,65,557,80,203,2995,
"Wentworth Point - Sydney Olympic Park",5780,72,3468,537,1803,11662,
"Ermington - Rydalmere",6035,258,2071,387,625,9376,
"Oatlands - Dundas Valley",4492,224,1645,296,632,7298,
"Carlingford - East",3015,141,654,81,270,4170,
"Carlingford - West",4941,288,993,155,587,6966,
"Chester Hill - Sefton",4134,289,1362,483,404,6669,
"Fairfield - East",2977,271,1335,392,391,5370,
"Granville - Clyde",4739,284,1982,566,924,8491,
"Guildford - South Granville",4180,330,1625,699,631,7457,
"Guildford West - Merrylands West",4788,274,1886,540,611,8098,
"Smithfield Industrial",3,0,0,11,0,16,
"Yennora Industrial",0,0,3,0,0,5,
"Greystanes - South",4211,171,895,177,243,5709,
"Merrylands - Holroyd",4998,282,2254,702,777,9023,
"Pemulwuy - Greystanes (North)",2714,112,542,119,154,3637,
"South Wentworthville",1655,73,541,159,158,2592,
"North Parramatta",5488,136,3332,609,1011,10579,
"North Rocks",2224,95,422,65,105,2906,
"Northmead",5246,93,2376,316,1167,9208,
"Toongabbie - Constitution Hill",5530,267,1862,343,536,8544,
"Winston Hills",2988,103,592,46,137,3865,
"Pendle Hill - Girraween",3270,127,1016,266,376,5051,
"Wentworthville - Westmead",5218,168,1777,522,836,8528,
"Parramatta - North",2995,34,1894,339,920,6184,
"Parramatta - South",2243,60,1213,199,531,4242,
"Rosehill - Harris Park",2042,67,1275,234,556,4176,
"Pennant Hills - Cheltenham",5729,207,1322,169,435,7853,
"Epping (East) - North Epping",3807,130,1127,140,391,5593,
"Epping (NSW) - West",4887,224,1320,153,542,7127,
"Gladesville - Huntleys Point",4062,77,2029,185,558,6905,
"Hunters Hill - Woolwich",2378,47,783,125,339,3670,
"Macquarie Park - Marsfield",5807,126,3687,449,1483,11543,
"North Ryde - East Ryde",4006,136,1364,210,341,6059,
"West Ryde - Meadowbank",5208,160,2693,253,821,9136,
"Putney",1085,51,210,38,87,1474,
"Denistone",1807,91,371,43,108,2416,
"Eastwood",4700,261,1629,243,546,7379,
"Ryde - North",5082,165,2421,250,763,8681,
"Ryde - South",3284,64,1535,194,492,5565,
"Ashcroft - Busby - Miller",3615,247,1473,528,488,6349,
"Austral - Greendale",2787,225,567,242,257,4075,
"Badgerys Creek",9,0,0,0,0,8,
"Cecil Hills",1557,139,169,42,52,1955,
"Green Valley",2851,273,427,130,101,3783,
"Hinchinbrook",2910,243,346,112,86,3696,
"Hoxton Park - Carnes Hill - Horningsea Park",3017,210,338,118,85,3772,
"West Hoxton - Middleton Grange",3862,265,400,149,100,4781,
"Cobbitty - Bringelly",1244,57,249,54,68,1670,
"Gledswood Hills - Gregory Hills",3698,134,519,114,142,4609,
"Leppington - Catherine Field",3006,210,563,122,228,4132,
"Oran Park",4284,224,654,180,271,5616,
"Bonnyrigg Heights - Bonnyrigg",3806,362,701,208,219,5283,
"Bossley Park - Abbotsbury",4567,314,795,227,190,6099,
"Cabramatta - Lansvale",5057,459,1865,388,668,8436,
"Cabramatta West - Mount Pritchard",3710,418,1027,329,227,5707,
"Canley Vale - Canley Heights",4469,506,1337,362,348,7017,
"Edensor Park",2348,215,330,93,79,3067,
"Fairfield",4146,232,1497,406,525,6805,
"Fairfield - West",4459,418,979,310,303,6468,
"Greenfield Park - Prairiewood",1987,184,375,94,101,2741,
"Horsley Park - Kemps Creek",885,125,185,67,86,1344,
"Smithfield - Wetherill Park",4404,306,1279,263,331,6573,
"St Johns Park - Wakeley",2555,233,454,97,100,3445,
"Wetherill Park Industrial",3,0,4,10,0,18,
"Casula",3826,223,936,206,294,5478,
"Chipping Norton - Moorebank",5114,250,1108,245,283,7005,
"Holsworthy - Wattle Grove",5258,190,918,162,215,6736,
"Lurnea - Cartwright",2656,171,972,322,285,4415,
"Warwick Farm",1330,39,995,245,350,2967,
"Edmondson Park",2774,157,417,175,268,3797,
"Liverpool - East",4145,103,2420,781,1191,8636,
"Liverpool - West",2982,177,1149,338,405,5049,
"Prestons",3481,253,413,115,111,4366,
"Gymea - Grays Point",4957,111,1310,137,311,6832,
"Miranda - Yowie Bay",5402,132,2374,291,574,8786,
"Sylvania - Taren Point",4260,151,1434,200,482,6528,
"Caringbah",3331,54,1942,221,502,6049,
"Caringbah South",3473,112,786,106,159,4638,
"Cronulla - Kurnell - Bundeena",6449,134,3572,453,1264,11866,
"Lilli Pilli - Port Hacking - Dolans Bay",879,35,102,15,41,1066,
"Woolooware - Burraneer",2395,67,825,78,235,3597,
"Heathcote - Waterfall",1758,52,510,42,86,2454,
"Illawong - Alfords Point",2811,155,329,41,105,3444,
"Menai - Lucas Heights - Woronora",5661,200,909,95,179,7057,
"Oyster Bay - Como - Jannali",5901,174,1309,177,320,7874,
"Royal National Park",3,0,0,0,4,15,
"Sutherland - Kirrawee",6155,99,3325,276,825,10676,
"Engadine",4720,117,1060,67,236,6204,
"Loftus - Yarrawarrah",1991,79,387,35,67,2560,
"Woronora Heights",985,30,94,9,31,1141,
"Migratory - Offshore - Shipping (NSW)",0,0,0,0,31,34,
"Total",1997317,67788,835364,157794,306536,3364802,

"Dataset: Census of Population and Housing, 2021, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2025, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
