Australian Bureau of Statistics

"2021 Census - selected dwelling characteristics"
"SA2 (EN) by 1-digit level HHCD Household Composition"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

"1-digit level HHCD Household Composition","One family household","Multiple family household","Non-family household","Non-classifiable","Not applicable","Total",
"Maitland - North",2365,48,528,83,131,3156,
"East Maitland - Metford",4676,125,2026,235,360,7430,
"Rutherford (North) - Aberglasslyn",4640,139,1361,186,306,6623,
"Rutherford (South) - Telarah",2066,65,884,143,244,3400,
"Tenambit - East Maitland",2753,57,1280,127,255,4472,
"Thornton - Millers Forest",4397,110,829,105,247,5682,
"Anna Bay",1766,50,704,177,405,3101,
"Lemon Tree Passage - Tanilba Bay",1864,59,850,140,301,3211,
"Nelson Bay Peninsula",6090,124,2962,488,3694,13359,
"Raymond Terrace",3626,107,1805,346,333,6212,
"Seaham - Woodville",1505,72,234,53,85,1942,
"Tea Gardens - Hawks Nest",1763,33,801,214,1236,4051,
"Williamtown - Medowie - Karuah",3930,158,1058,215,352,5723,
"Muswellbrook",3004,60,1480,371,639,5555,
"Muswellbrook Surrounds",1036,31,398,120,201,1779,
"Scone",1576,21,756,124,228,2702,
"Scone Surrounds",2128,38,979,280,664,4087,
"Dapto - Avondale",6518,173,2436,299,382,9811,
"Horsley - Kembla Grange",3263,102,529,72,82,4047,
"Port Kembla Industrial",0,0,0,0,0,0,
"Unanderra - Mount Kembla",4042,118,1199,144,205,5717,
"Berkeley - Lake Heights - Cringila",3487,134,1510,236,325,5695,
"Port Kembla - Warrawong",2322,90,1384,241,386,4418,
"Windang - Primbee",1048,31,738,133,238,2189,
"Illawarra Catchment Reserve",0,0,0,0,0,0,
"Albion Park - Macquarie Pass",5211,159,1032,116,210,6737,
"Albion Park Rail",1777,77,710,102,134,2799,
"Kiama",2460,51,1048,169,693,4422,
"Kiama Downs - Minnamurra",1653,57,385,89,198,2391,
"Kiama Hinterland - Gerringong",2181,53,678,190,813,3915,
"Shellharbour - Flinders",5287,129,1187,195,362,7173,
"Shellharbour - Oak Flats",2809,96,1061,143,184,4297,
"Warilla",5275,188,2534,409,476,8876,
"Balgownie - Fairy Meadow",5386,122,2669,348,457,8983,
"Corrimal - Tarrawanna - Bellambi",4191,78,2264,277,377,7186,
"Figtree - Keiraville",5430,129,2156,226,373,8317,
"Helensburgh",2446,63,482,76,166,3239,
"Thirroul - Austinmer - Coalcliff",3240,72,905,142,442,4806,
"Woonona - Bulli - Russell Vale",5450,95,2025,238,397,8204,
"Wollongong - East",3830,41,3922,410,1179,9378,
"Wollongong - West",3822,76,2642,361,602,7495,
"Bulahdelah - Stroud",1339,40,577,201,371,2530,
"Forster",3978,59,2448,445,1596,8519,
"Forster-Tuncurry Surrounds",1870,62,777,385,1230,4318,
"Tuncurry",1663,36,1290,175,710,3868,
"Kempsey",3503,132,1704,399,449,6192,
"Kempsey Surrounds",2379,76,1157,446,689,4750,
"Macksville - Scotts Head",1351,38,671,190,270,2519,
"Nambucca Heads",1698,34,1402,368,354,3868,
"Nambucca Heads Surrounds",2076,65,926,282,283,3639,
"South West Rocks",1596,25,795,313,649,3382,
"Lord Howe Island",102,0,55,35,56,249,
"Laurieton - Bonny Hills",5267,133,2414,409,877,9097,
"Port Macquarie - West",5411,107,3185,433,783,9922,
"Port Macquarie Surrounds",1358,57,463,190,178,2244,
"Wauchope",3358,122,1146,200,256,5077,
"Port Macquarie - East",3050,49,1884,351,871,6207,
"Port Macquarie - South",4788,82,1981,202,477,7526,
"Gloucester",1455,25,727,190,409,2800,
"Old Bar - Manning Point - Red Head",3491,75,1454,311,732,6064,
"Taree",5136,130,3032,538,623,9452,
"Taree Surrounds",3619,125,1488,405,811,6441,
"Wingham",1364,51,718,115,128,2373,
"Albury - East",4681,65,1840,257,468,7309,
"Albury - North",2617,55,1464,316,327,4776,
"Albury - South",2582,27,1905,264,650,5421,
"Albury Surrounds",3173,67,1113,357,574,5287,
"Lavington",3813,94,2569,373,545,7402,
"Hay",719,9,404,163,257,1550,
"Wentworth - Buronga",1640,27,598,344,386,2983,
"Wentworth-Balranald Region",810,28,349,240,347,1771,
"Corowa",1473,19,917,126,345,2879,
"Corowa Surrounds",1914,23,860,264,555,3622,
"Deniliquin",1766,14,1069,314,403,3563,
"Deniliquin Surrounds",1730,34,807,278,685,3539,
"Moama",1888,25,709,188,380,3194,
"Tocumwal - Finley - Jerilderie",2478,40,1290,407,632,4838,
"Armidale",5440,74,3269,584,1099,10466,
"Armidale Surrounds - North",1085,13,523,221,356,2203,
"Armidale Surrounds - South",1612,29,624,140,274,2685,
"Walcha",834,10,389,133,343,1705,
"Glen Innes",2207,36,1389,382,597,4610,
"Inverell",3013,64,1550,421,425,5480,
"Inverell Surrounds - East",1248,29,539,248,356,2419,
"Inverell Surrounds - West",1475,25,676,229,387,2788,
"Tenterfield",1740,28,1104,356,737,3968,
"Moree",1707,45,915,701,536,3914,
"Moree Surrounds",1039,39,430,585,457,2551,
"Narrabri",1734,26,852,259,395,3268,
"Narrabri Surrounds",1049,36,440,293,268,2097,
"Gunnedah",2364,38,1213,370,430,4413,
"Gunnedah Surrounds",1107,24,385,221,319,2062,
"Quirindi",1851,43,953,379,470,3694,
"Tamworth - East",5396,111,2721,524,676,9434,
"Tamworth - North",4010,72,2304,469,574,7431,
"Tamworth - West",1378,41,519,254,250,2447,
"Tamworth Surrounds",4987,140,1881,457,864,8329,
"Belmont - Bennetts Green",4848,125,1962,218,374,7532,
"Belmont South - Blacksmiths",1532,40,803,141,230,2746,
"Charlestown - Dudley",6715,149,2782,279,556,10482,
"Glendale - Cardiff - Hillsborough",6608,155,2437,234,407,9842,
"Mount Hutton - Windale",2361,58,1248,219,178,4053,
"Redhead",914,14,486,66,48,1531,
"Swansea - Caves Beach",3495,85,1394,195,775,5943,
"Valentine - Eleebana",3539,81,843,63,197,4723,
"Warners Bay - Boolaroo",4021,97,1725,193,350,6392,
"Bolton Point - Teralba",2568,90,1018,184,205,4063,
"Bonnells Bay - Silverwater",2680,75,907,123,459,4250,
"Edgeworth - Cameron Park",4319,111,1160,143,212,5941,
"Morisset - Cooranbong",4483,191,2018,258,592,7540,
"Toronto - Awaba",3744,99,1667,221,393,6129,
"Wangi Wangi - Rathmines",2725,75,840,143,352,4132,
"West Wallsend - Barnsley - Killingworth",1970,76,533,73,91,2744,
"Adamstown - Kotara",4393,71,1761,144,356,6731,
"Beresfield - Hexham",2201,76,1059,105,178,3617,
"Hamilton - Broadmeadow",2952,42,2268,392,613,6272,
"Lambton - New Lambton",4493,71,2225,199,402,7393,
"Maryland - Fletcher - Minmi",4357,114,920,123,182,5687,
"Mayfield - Warabrook",3744,53,2555,222,510,7089,
"Merewether - The Junction",3647,50,1895,187,509,6278,
"Newcastle - Cooks Hill",3004,9,3117,377,1349,7856,
"Newcastle Port - Kooragang",7,0,7,9,0,17,
"Shortland - Jesmond",2365,52,1830,255,338,4847,
"Stockton - Fullerton Cove",2356,52,1134,235,276,4057,
"Wallsend - Elermore Vale",5296,119,2756,263,469,8901,
"Waratah - North Lambton",2976,47,1961,207,364,5560,
"Wickham - Carrington - Tighes Hill",2267,22,1652,158,430,4532,
"Ballina",4762,87,3231,592,689,9360,
"Ballina Surrounds",4893,153,1776,317,451,7590,
"Bangalow",1646,56,564,312,258,2830,
"Brunswick Heads - Ocean Shores",2181,55,1282,381,504,4402,
"Byron Bay",2256,49,1645,528,1306,5785,
"Evans Head",1442,42,784,358,384,3003,
"Lennox Head - Skennars Head",2479,52,810,229,333,3896,
"Mullumbimby",1927,74,1071,463,353,3894,
"Casino",3033,76,1598,398,336,5436,
"Casino Surrounds",1792,57,710,327,303,3191,
"Goonellabah",3408,93,1848,220,321,5895,
"Kyogle",1895,59,1079,298,417,3748,
"Lismore",3476,78,2670,432,548,7192,
"Lismore Surrounds",4047,113,1528,597,540,6822,
"Kingscliff - Fingal Head",3805,92,1726,504,952,7077,
"Murwillumbah",2349,74,1244,255,278,4201,
"Murwillumbah Surrounds",2498,119,899,454,395,4362,
"Pottsville",3618,90,1332,440,631,6111,
"Tweed Heads",5118,140,3364,793,1016,10437,
"Banora Point",4373,122,1875,222,365,6964,
"Terranora - North Tumbulgum",862,38,157,37,58,1146,
"Tweed Heads South",2102,37,1571,375,285,4368,
"Griffith (NSW)",4885,183,2110,496,623,8303,
"Griffith Surrounds",3078,59,1123,637,469,5371,
"Leeton",2452,61,1112,308,316,4248,
"Narrandera",1433,19,751,233,363,2799,
"Tumbarumba",901,14,384,149,259,1712,
