"HCANP Whether has Cancer (including remission)","Has cancer (including remission)","Does not have cancer (including remission)","Not stated","Total",
"Illawarra Catchment Reserve",0,9,0,9,
"Albion Park - Macquarie Pass",471,17258,1300,19026,
"Albion Park Rail",254,6098,564,6920,
"Kiama",401,7772,602,8786,
"Kiama Downs - Minnamurra",237,5439,387,6063,
"Kiama Hinterland - Gerringong",324,7194,622,8136,
"Shellharbour - Flinders",605,17320,1415,19341,
"Shellharbour - Oak Flats",377,9358,854,10590,
"Warilla",699,17706,1994,20397,
"Balgownie - Fairy Meadow",752,19192,1574,21519,
"Corrimal - Tarrawanna - Bellambi",538,14363,1145,16041,
"Figtree - Keiraville",594,20590,1587,22773,
"Helensburgh",256,8359,516,9135,
"Thirroul - Austinmer - Coalcliff",416,10804,738,11957,
"Woonona - Bulli - Russell Vale",731,18781,1245,20761,
"Wollongong - East",541,14349,1126,16020,
"Wollongong - West",351,14909,1291,16551,
"Bulahdelah - Stroud",218,4413,601,5235,
"Forster",820,12617,1271,14709,
"Forster-Tuncurry Surrounds",298,5949,737,6988,
"Tuncurry",398,5516,459,6376,
"Kempsey",553,12601,2502,15654,
"Kempsey Surrounds",395,8017,1064,9472,
"Macksville - Scotts Head",267,4442,479,5189,
"Nambucca Heads",414,5928,770,7111,
"Nambucca Heads Surrounds",332,6861,914,8102,
"South West Rocks",350,4800,476,5628,
"Lord Howe Island",12,395,39,445,
"Laurieton - Bonny Hills",1036,16249,1198,18484,
"Port Macquarie - West",939,18453,1750,21147,
"Port Macquarie Surrounds",201,4565,533,5301,
"Wauchope",480,11262,1059,12796,
"Port Macquarie - East",468,10454,839,11764,
"Port Macquarie - South",857,15392,1035,17284,
"Gloucester",231,4622,450,5310,
"Old Bar - Manning Point - Red Head",575,10872,1037,12476,
"Taree",813,18023,2283,21123,
"Taree Surrounds",654,11237,1149,13044,
"Wingham",206,4690,498,5395,
"Albury - East",536,16143,1151,17831,
"Albury - North",330,9136,1061,10527,
"Albury - South",443,9181,900,10519,
"Albury Surrounds",404,10812,1291,12507,
"Lavington",582,13635,1447,15665,
"Hay",99,2381,415,2897,
"Wentworth - Buronga",216,5441,855,6511,
"Wentworth-Balranald Region",79,2928,642,3648,
"Corowa",262,4856,477,5595,
"Corowa Surrounds",312,6124,824,7262,
"Deniliquin",250,5985,807,7038,
"Deniliquin Surrounds",257,5822,768,6837,
"Moama",313,6054,567,6930,
"Tocumwal - Finley - Jerilderie",413,8138,1223,9778,
"Armidale",780,20343,2846,23967,
"Armidale Surrounds - North",147,3705,683,4527,
"Armidale Surrounds - South",246,5161,479,5894,
"Walcha",143,2620,374,3144,
"Glen Innes",376,7330,1228,8931,
"Inverell",400,10264,1399,12057,
"Inverell Surrounds - East",186,4325,688,5200,
"Inverell Surrounds - West",218,4850,668,5734,
"Tenterfield",320,5715,780,6810,
"Moree",199,6016,1633,7845,
"Moree Surrounds",112,3772,1470,5356,
"Narrabri",217,5953,726,6898,
"Narrabri Surrounds",135,3714,770,4616,
"Gunnedah",296,8210,1240,9745,
"Gunnedah Surrounds",142,3663,560,4369,
"Quirindi",232,6255,1066,7551,
