"HCANP Whether has Cancer (including remission)","Has cancer (including remission)","Does not have cancer (including remission)","Not stated","Total",
"Gledswood Hills - Gregory Hills",162,13349,783,14299,
"Leppington - Catherine Field",213,11621,734,12559,
"Oran Park",212,16311,1096,17624,
"Bonnyrigg Heights - Bonnyrigg",297,15554,1303,17154,
"Bossley Park - Abbotsbury",498,17683,1511,19690,
"Cabramatta - Lansvale",318,21396,2389,24101,
"Cabramatta West - Mount Pritchard",332,16165,1757,18249,
"Canley Vale - Canley Heights",315,19904,2032,22261,
"Edensor Park",212,9312,748,10279,
"Fairfield",336,16106,1799,18248,
"Fairfield - West",374,19007,1869,21249,
"Greenfield Park - Prairiewood",179,8061,612,8855,
"Horsley Park - Kemps Creek",122,3819,393,4344,
"Smithfield - Wetherill Park",444,17574,1490,19510,
"St Johns Park - Wakeley",254,10242,700,11197,
"Wetherill Park Industrial",0,35,7,37,
"Casula",337,14866,1375,16584,
"Chipping Norton - Moorebank",470,18897,1439,20813,
"Holsworthy - Wattle Grove",408,19105,1614,21129,
"Lurnea - Cartwright",222,10930,1522,12670,
"Warwick Farm",98,5107,731,5937,
"Edmondson Park",81,11160,838,12080,
"Liverpool - East",215,14961,2365,17536,
"Liverpool - West",276,11985,1484,13737,
"Prestons",223,14441,1038,15692,
"Gymea - Grays Point",581,16574,1008,18156,
"Miranda - Yowie Bay",657,18707,1342,20705,
"Sylvania - Taren Point",680,14566,1185,16430,
"Caringbah",371,11546,941,12858,
"Caringbah South",465,11787,764,13015,
"Cronulla - Kurnell - Bundeena",851,21673,1854,24374,
"Lilli Pilli - Port Hacking - Dolans Bay",104,3071,196,3369,
"Woolooware - Burraneer",281,8175,487,8947,
"Heathcote - Waterfall",299,6023,351,6673,
"Illawong - Alfords Point",335,9726,498,10554,
"Menai - Lucas Heights - Woronora",660,19289,977,20927,
"Oyster Bay - Como - Jannali",678,20214,1167,22063,
"Royal National Park",0,26,18,42,
"Sutherland - Kirrawee",747,21115,1370,23238,
"Engadine",576,15825,955,17356,
"Loftus - Yarrawarrah",255,6721,371,7348,
"Woronora Heights",108,3239,191,3539,
"Migratory - Offshore - Shipping (NSW)",0,0,0,0,
"No usual address (NSW)",260,7126,3980,11371,
