SA2_MAINCODE_2011,SA2_NAME_2011,SA2_MAINCODE_2016,SA2_NAME_2016,RATIO,PERCENTAGE
107031142,Shellharbour - Oak Flats,107031142,Shellharbour - Oak Flats,1,100
107031143,Warilla,107031143,Warilla,1,100
107041144,Balgownie - Fairy Meadow,107041144,Balgownie - Fairy Meadow,0.9999364,99.9936429
107041145,Corrimal - Tarrawanna - Bellambi,107041145,Corrimal - Tarrawanna - Bellambi,1,100
107041146,Figtree - Keiraville,107041146,Figtree - Keiraville,1,100
107041147,Helensburgh,107041147,Helensburgh,1,100
107041148,Thirroul - Austinmer - Coalcliff,107041148,Thirroul - Austinmer - Coalcliff,1,100
107041149,Wollongong,107041548,Wollongong - East,0.4492751,44.9275099
107041149,Wollongong,107041549,Wollongong - West,0.5507249,55.0724901
107041150,Woonona - Bulli - Russell Vale,107041150,Woonona - Bulli - Russell Vale,1,100
108011151,Bulahdelah - Stroud,108011151,Bulahdelah - Stroud,1,100
108011152,Forster,108011152,Forster,1,100
108011153,Forster-Tuncurry Region,108011153,Forster-Tuncurry Region,1,100
108011154,Tuncurry,108011154,Tuncurry,1,100
108021155,Kempsey,108021155,Kempsey,1,100
108021156,Kempsey Region,108021156,Kempsey Region,1,100
108021157,Macksville - Scotts Head,108021157,Macksville - Scotts Head,1,100
108021158,Nambucca Heads,108021158,Nambucca Heads,1,100
108021159,Nambucca Heads Region,108021159,Nambucca Heads Region,1,100
108021160,South West Rocks,108021160,South West Rocks,1,100
108031161,Lord Howe Island,108031161,Lord Howe Island,1,100
108041162,Laurieton - Bonny Hills,108041162,Laurieton - Bonny Hills,1,100
108041163,Port Macquarie - East,108041163,Port Macquarie - East,1,100
108041164,Port Macquarie - West,108041164,Port Macquarie - West,1,100
108041165,Port Macquarie Region,108041165,Port Macquarie Region,1,100
108041166,Wauchope,108041166,Wauchope,1,100
108051167,Gloucester,108051167,Gloucester,1,100
108051168,Old Bar - Manning Point - Red Head,108051168,Old Bar - Manning Point - Red Head,1,100
108051169,Taree,108051169,Taree,1,100
108051170,Taree Region,108051170,Taree Region,1,100
108051171,Wingham,108051171,Wingham,1,100
109011172,Albury - East,109011172,Albury - East,0.9999409,99.9940923
109011173,Albury - North,109011173,Albury - North,1,100
109011174,Albury - South,109011174,Albury - South,1,100
109011175,Albury Region,109011175,Albury Region,1,100
109011176,Lavington,109011176,Lavington,1,100
109021177,Hay,109021177,Hay,1,100
109021178,Wentworth - Buronga,109021178,Wentworth - Buronga,1,100
109021179,Wentworth-Balranald Region,109021179,Wentworth-Balranald Region,1,100
109031180,Corowa,109031180,Corowa,1,100
109031181,Corowa Region,109031181,Corowa Region,1,100
109031182,Deniliquin,109031182,Deniliquin,1,100
109031183,Deniliquin Region,109031183,Deniliquin Region,1,100
109031184,Moama,109031184,Moama,1,100
109031185,Tocumwal - Finley - Jerilderie,109031185,Tocumwal - Finley - Jerilderie,1,100
110011186,Armidale,110011186,Armidale,1,100
110011187,Armidale Region - North,110011187,Armidale Region - North,1,100
110011188,Armidale Region - South,110011188,Armidale Region - South,1,100
110011189,Walcha,110011189,Walcha,1,100
110021190,Glen Innes,110021190,Glen Innes,1,100
110021191,Inverell,110021191,Inverell,1,100
110021192,Inverell Region - East,110021192,Inverell Region - East,1,100
110021193,Inverell Region - West,110021193,Inverell Region - West,1,100
110021194,Tenterfield,110021194,Tenterfield,1,100
110031195,Moree,110031195,Moree,1,100
110031196,Moree Region,110031196,Moree Region,1,100
110031197,Narrabri,110031197,Narrabri,1,100
110031198,Narrabri Region,110031198,Narrabri Region,1,100
110041199,Gunnedah,110041199,Gunnedah,1,100
110041200,Gunnedah Region,110041200,Gunnedah Region,1,100
110041201,Quirindi,110041201,Quirindi,1,100
110041202,Tamworth - East,110041202,Tamworth - East,1,100
110041203,Tamworth - North,110041203,Tamworth - North,1,100
110041204,Tamworth - West,110041204,Tamworth - West,1,100
110041205,Tamworth Region,110041205,Tamworth Region,1,100
111011206,Belmont - Bennetts Green,111011206,Belmont - Bennetts Green,1,100
111011207,Belmont South - Blacksmiths,111011207,Belmont South - Blacksmiths,1,100
111011208,Charlestown - Dudley,111011208,Charlestown - Dudley,1,100
111011209,Glendale - Cardiff - Hillsborough,111011209,Glendale - Cardiff - Hillsborough,1,100
111011210,Mount Hutton - Windale,111011210,Mount Hutton - Windale,1,100
111011211,Redhead,111011211,Redhead,1,100
111011212,Swansea - Caves Beach,111011212,Swansea - Caves Beach,1,100
111011213,Valentine - Eleebana,111011213,Valentine - Eleebana,1,100
111011214,Warners Bay - Boolaroo,111011214,Warners Bay - Boolaroo,1,100
111021215,Bolton Point - Teralba,111021215,Bolton Point - Teralba,1,100
111021216,Bonnells Bay - Silverwater,111021216,Bonnells Bay - Silverwater,1,100
111021217,Edgeworth - Cameron Park,111021217,Edgeworth - Cameron Park,1,100
111021218,Morisset - Cooranbong,111021218,Morisset - Cooranbong,1,100
111021219,Toronto - Awaba,111021219,Toronto - Awaba,0.9999246,99.9924621
111021220,Wangi Wangi - Rathmines,111021220,Wangi Wangi - Rathmines,1,100
111021221,West Wallsend - Barnsley - Killingworth,111021221,West Wallsend - Barnsley - Killingworth,1,100
111031222,Adamstown - Kotara,111031222,Adamstown - Kotara,1,100
111031223,Beresfield - Hexham,111031223,Beresfield - Hexham,1,100
111031224,Hamilton - Broadmeadow,111031224,Hamilton - Broadmeadow,1,100
111031225,Lambton - New Lambton,111031225,Lambton - New Lambton,1,100
111031226,Maryland - Fletcher - Minmi,111031226,Maryland - Fletcher - Minmi,1,100
111031227,Mayfield - Warabrook,111031227,Mayfield - Warabrook,1,100
111031228,Merewether - The Junction,111031228,Merewether - The Junction,1,100
111031229,Newcastle - Cooks Hill,111031229,Newcastle - Cooks Hill,1,100
111031230,Newcastle Port - Kooragang,111031230,Newcastle Port - Kooragang,1,100
111031231,Shortland - Jesmond,111031231,Shortland - Jesmond,1,100
111031232,Stockton - Fullerton Cove,111031232,Stockton - Fullerton Cove,1,100
111031233,Wallsend - Elermore Vale,111031233,Wallsend - Elermore Vale,1,100
111031234,Waratah - North Lambton,111031234,Waratah - North Lambton,1,100
111031235,Wickham - Carrington - Tighes Hill,111031235,Wickham - Carrington - Tighes Hill,1,100
112011236,Ballina,112011236,Ballina,1,100
112011237,Ballina Region,112011237,Ballina Region,0.999839,99.9839037
112011237,Ballina Region,112021249,Lismore Region,0.000161,0.0160963
112011238,Bangalow,112011238,Bangalow,1,100
112011239,Brunswick Heads - Ocean Shores,112011239,Brunswick Heads - Ocean Shores,1,100
112011240,Byron Bay,112011240,Byron Bay,1,100
112011241,Evans Head,112011241,Evans Head,1,100
112011242,Lennox Head - Skennars Head,112011242,Lennox Head - Skennars Head,1,100
112011243,Mullumbimby,112011243,Mullumbimby,1,100
112021244,Casino,112021244,Casino,1,100
112021245,Casino Region,112021244,Casino,0.0004192,0.0419153
112021245,Casino Region,112021245,Casino Region,0.9995808,99.9580847
112021246,Goonellabah,112021246,Goonellabah,1,100
112021247,Kyogle,112021247,Kyogle,1,100
112021248,Lismore,112021248,Lismore,1,100
112021249,Lismore Region,112021249,Lismore Region,1,100
112031250,Kingscliff - Fingal Head,112031250,Kingscliff - Fingal Head,1,100
112031251,Murwillumbah,112031251,Murwillumbah,1,100
112031252,Murwillumbah Region,112031251,Murwillumbah,0.0001338,0.0133802
112031252,Murwillumbah Region,112031252,Murwillumbah Region,0.9998662,99.9866198
112031253,Pottsville,112031253,Pottsville,1,100
112031254,Tweed Heads,112031254,Tweed Heads,1,100
112031255,Tweed Heads - South,112031550,Banora Point,0.577569,57.7569014
112031255,Tweed Heads - South,112031551,Terranora - North Tumblegum,0.1190215,11.9021528
112031255,Tweed Heads - South,112031552,Tweed Heads South,0.3034095,30.3409458
113011256,Griffith (NSW),113011256,Griffith (NSW),1,100
113011257,Griffith Region,113011257,Griffith Region,1,100
113011258,Leeton,113011258,Leeton,1,100
113011259,Narrandera,113011259,Narrandera,1,100
113021260,Tumbarumba,113021260,Tumbarumba,1,100
113021261,Tumut,113021261,Tumut,1,100
113021262,Tumut Region,113021262,Tumut Region,1,100
113031263,Cootamundra,113031263,Cootamundra,1,100
113031264,Gundagai,101061542,Yass Region,0.0003496,0.0349558
113031264,Gundagai,113031264,Gundagai,0.9996504,99.9650442
113031265,Junee,113031265,Junee,1,100
113031266,Temora,113031266,Temora,1,100
113031267,Wagga Wagga - East,113031267,Wagga Wagga - East,1,100
113031268,Wagga Wagga - North,113031268,Wagga Wagga - North,1,100
113031269,Wagga Wagga - South,113031269,Wagga Wagga - South,1,100
113031270,Wagga Wagga - West,113031270,Wagga Wagga - West,1,100
113031271,Wagga Wagga Region,113031268,Wagga Wagga - North,0.000193,0.0193021
113031271,Wagga Wagga Region,113031271,Wagga Wagga Region,0.999807,99.9806979
114011272,Berry - Kangaroo Valley,114011272,Berry - Kangaroo Valley,1,100
114011273,Callala Bay - Currarong,114011273,Callala Bay - Currarong,1,100
114011274,Culburra Beach,114011274,Culburra Beach,1,100
114011275,Ettrema - Sassafras - Budawang,114011275,Ettrema - Sassafras - Budawang,1,100
114011276,Huskisson - Vincentia,114011276,Huskisson - Vincentia,1,100
114011277,North Nowra - Bomaderry,114011272,Berry - Kangaroo Valley,0.0005397,0.0539729
114011277,North Nowra - Bomaderry,114011277,North Nowra - Bomaderry,0.9994603,99.9460271
114011278,Nowra,114011278,Nowra,0.9999999,99.9999945
114011279,St Georges Basin - Erowal Bay,114011279,St Georges Basin - Erowal Bay,1,100
114011280,Sussex Inlet - Berrara,114011280,Sussex Inlet - Berrara,1,100
114011281,Tomerong - Wandandian - Woollamia,114011281,Tomerong - Wandandian - Woollamia,1,100
114011282,Ulladulla,114011282,Ulladulla,1,100
114011283,Ulladulla Region,114011283,Ulladulla Region,1,100
114021284,Bowral,114021284,Bowral,1,100
114021285,Hill Top - Colo Vale,114021285,Hill Top - Colo Vale,1,100
114021286,Mittagong,114021286,Mittagong,1,100
114021287,Moss Vale - Berrima,114021287,Moss Vale - Berrima,1,100
114021288,Robertson - Fitzroy Falls,114021288,Robertson - Fitzroy Falls,1,100
114021289,Southern Highlands,114021289,Southern Highlands,1,100
115011290,Baulkham Hills (East),115011290,Baulkham Hills (East),1,100
115011291,Baulkham Hills (West) - Bella Vista,115011291,Baulkham Hills (West) - Bella Vista,1,100
115011292,Castle Hill,115011553,Castle Hill - Central,0.262683,26.2683003
115011292,Castle Hill,115011555,Castle Hill - North,0.4140354,41.4035422
115011292,Castle Hill,115011556,Castle Hill - South,0.3232816,32.3281576
115011293,Cherrybrook,115011554,Castle Hill - East,0.2289908,22.8990808
115011293,Cherrybrook,115011558,Cherrybrook,0.7710092,77.1009192
115011294,Glenhaven,115011294,Glenhaven,0.9999998,99.9999828
115011295,Kellyville,115011557,Castle Hill - West,0.21657,21.6570041
115011295,Kellyville,115011559,Kellyville,0.78343,78.3429959
115011296,West Pennant Hills,115011296,West Pennant Hills,1,100
115021297,Dural - Kenthurst - Wisemans Ferry,115021297,Dural - Kenthurst - Wisemans Ferry,1,100
115021298,Galston - Laughtondale,115021298,Galston - Laughtondale,1,100
115031299,Bilpin - Colo - St Albans,115031299,Bilpin - Colo - St Albans,1,100
115031300,Kurrajong Heights - Ebenezer,115031300,Kurrajong Heights - Ebenezer,1,100
115041301,Pitt Town - McGraths Hill,115041301,Pitt Town - McGraths Hill,1,100
115041302,Rouse Hill - Beaumont Hills,115041302,Rouse Hill - Beaumont Hills,1,100
116011303,Blacktown (East) - Kings Park,116011303,Blacktown (East) - Kings Park,1,100
116011304,Blacktown (North) - Marayong,116011304,Blacktown (North) - Marayong,1,100
116011305,Blacktown (South),116011560,Blacktown (South),0.4356778,43.5677792
116011305,Blacktown (South),116011561,Blacktown (West),0.5643222,56.4322208
116011306,Doonside - Woodcroft,116011306,Doonside - Woodcroft,1,100
116011307,Lalor Park - Kings Langley,116011307,Lalor Park - Kings Langley,1,100
116011308,Seven Hills - Toongabbie,116011308,Seven Hills - Toongabbie,1,100
116021309,Glenwood,116021309,Glenwood,1,100
116021310,Parklea - Kellyville Ridge,116021310,Parklea - Kellyville Ridge,0.9999132,99.9913191
116021311,Quakers Hill - Acacia Gardens,116021562,Acacia Gardens,0.1426245,14.2624469
116021311,Quakers Hill - Acacia Gardens,116021563,Quakers Hill,0.8573755,85.7375531
116021312,Riverstone - Marsden Park,116021312,Riverstone - Marsden Park,1,100
116031313,Bidwill - Hebersham - Emerton,116031313,Bidwill - Hebersham - Emerton,1,100
116031314,Glendenning Dean Park,116031314,Glendenning - Dean Park,1,100
116031315,Hassall Grove - Plumpton,116031315,Hassall Grove - Plumpton,1,100
116031316,Lethbridge Park - Tregear,116031316,Lethbridge Park - Tregear,1,100
116031317,Mount Druitt - Whalan,116031317,Mount Druitt - Whalan,1,100
116031318,Prospect Reservoir,116031318,Prospect Reservoir,1,100
116031319,Rooty Hill - Minchinbury,116031319,Rooty Hill - Minchinbury,1,100
117011320,Banksmeadow,117011320,Banksmeadow,1,100
117011321,Botany,117011321,Botany,1,100
117011322,Mascot - Eastlakes,117011322,Mascot - Eastlakes,1,100
117011323,Pagewood - Hillsdale - Daceyville,117011323,Pagewood - Hillsdale - Daceyville,1,100
117011324,Port Botany Industrial,117011324,Port Botany Industrial,1,100
117011325,Sydney Airport,117011325,Sydney Airport,1,100
117021326,Marrickville,117021326,Marrickville,1,100
117021327,Petersham - Stanmore,117021327,Petersham - Stanmore,1,100
117021328,Sydenham - Tempe - St Peters,117021328,Sydenham - Tempe - St Peters,1,100
117031329,Darlinghurst,117031329,Darlinghurst,1,100
117031330,Erskineville - Alexandria,117031330,Erskineville - Alexandria,1,100
117031331,Glebe - Forest Lodge,117031331,Glebe - Forest Lodge,1,100
117031332,Newtown - Camperdown - Darlington,117031332,Newtown - Camperdown - Darlington,1,100
117031333,Potts Point - Woolloomooloo,117031333,Potts Point - Woolloomooloo,1,100
117031334,Pyrmont - Ultimo,117031334,Pyrmont - Ultimo,1,100
117031335,Redfern - Chippendale,117031335,Redfern - Chippendale,1,100
117031336,Surry Hills,117031336,Surry Hills,1,100
117031337,Sydney - Haymarket - The Rocks,117031337,Sydney - Haymarket - The Rocks,1,100
117031338,Waterloo - Beaconsfield,117031338,Waterloo - Beaconsfield,1,100
118011339,Bondi - Tamarama - Bronte,118011339,Bondi - Tamarama - Bronte,1,100
118011340,Bondi Beach - North Bondi,118011340,Bondi Beach - North Bondi,1,100
118011341,Bondi Junction - Waverly,118011341,Bondi Junction - Waverly,1,100
118011342,Centennial Park,118011342,Centennial Park,1,100
118011343,Double Bay - Bellevue Hill,118011343,Double Bay - Bellevue Hill,1,100
118011344,Dover Heights,118011344,Dover Heights,1,100
118011345,Paddington - Moore Park,118011345,Paddington - Moore Park,1,100
118011346,Rose Bay - Vaucluse - Watsons Bay,118011346,Rose Bay - Vaucluse - Watsons Bay,1,100
118011347,Woollahra,118011347,Woollahra,1,100
118021348,Coogee - Clovelly,118021348,Coogee - Clovelly,1,100
118021349,Kensington - Kingsford,118021564,Kensington (NSW),0.4753682,47.5368227
118021349,Kensington - Kingsford,118021565,Kingsford,0.5246318,52.4631773
118021350,Malabar - La Perouse - Chifley,118021350,Malabar - La Perouse - Chifley,1,100
118021351,Maroubra,118021566,Maroubra - North,0.3124938,31.2493774
118021351,Maroubra,118021567,Maroubra - South,0.3630163,36.3016305
118021351,Maroubra,118021568,Maroubra - West,0.3244899,32.4489922
118021352,Randwick,118021569,Randwick - North,0.5822845,58.2284511
118021352,Randwick,118021570,Randwick - South,0.4177155,41.7715489
119011353,Bankstown,119011571,Bankstown - North,0.4991566,49.9156633
119011353,Bankstown,119011572,Bankstown - South,0.5008434,50.0843367
119011354,Bass Hill - Georges Hall,119011354,Bass Hill - Georges Hall,1,100
119011355,Chullora,119011355,Chullora,1,100
119011356,Condell Park,119011356,Condell Park,1,100
119011357,Greenacre - Mount Lewis,119011357,Greenacre - Mount Lewis,1,100
119011358,Padstow,119011358,Padstow,1,100
119011359,Panania - Milperra - Picnic Point,119011359,Panania - Milperra - Picnic Point,1,100
119011360,Revesby,119011360,Revesby,1,100
119011361,Yagoona - Birrong,119011361,Yagoona - Birrong,1,100
119021362,Belmore - Belfield,119021362,Belmore - Belfield,1,100
119021363,Canterbury (South) - Campsie,119021363,Canterbury (South) - Campsie,1,100
119021364,Kingsgrove (North) - Earlwood,119021364,Kingsgrove (North) - Earlwood,1,100
119021365,Lakemba - Wiley Park,119021573,Lakemba,0.615241,61.5240972
119021365,Lakemba - Wiley Park,119021574,Wiley Park,0.384759,38.4759028
119021366,Punchbowl,119021366,Punchbowl,1,100
119021367,Roselands,119021367,Roselands,1,100
119031368,Hurstville,119031368,Hurstville,1,100
119031369,Mortdale - Penshurst,119031369,Mortdale - Penshurst,1,100
119031370,Narwee - Beverly Hills,119031370,Narwee - Beverly Hills,1,100
119031371,Oatley - Hurstville Grove,119031371,Oatley - Hurstville Grove,1,100
119031372,Peakhurst - Lugarno,119031372,Peakhurst - Lugarno,1,100
119031373,Riverwood,119031373,Riverwood,1,100
119031374,South Hurstville - Blakehurst,119031374,South Hurstville - Blakehurst,1,100
119041375,Arncliffe - Bardwell Valley,119041375,Arncliffe - Bardwell Valley,1,100
119041376,Bexley,119041376,Bexley,0.999945,99.9944966
119041377,Kingsgrove (South) - Bardwell Park,119041377,Kingsgrove (South) - Bardwell Park,1,100
119041378,Kogarah,119041378,Kogarah,1,100
119041379,Kogarah Bay - Carlton - Allawah,119041379,Kogarah Bay - Carlton - Allawah,1,100
119041380,Monterey - Brighton-le-Sands - Kyeemagh,119041380,Monterey - Brighton-le-Sands - Kyeemagh,1,100
119041381,Rockdale - Banksia,119041381,Rockdale - Banksia,1,100
119041382,Sans Souci - Ramsgate,119041382,Sans Souci - Ramsgate,1,100
120011383,Concord - Mortlake - Cabarita,120011383,Concord - Mortlake - Cabarita,1,100
120011384,Concord West - North Strathfield,120011384,Concord West - North Strathfield,1,100
120011385,Drummoyne - Rodd Point,120011385,Drummoyne - Rodd Point,1,100
120011386,Five Dock - Abbotsford,120011386,Five Dock - Abbotsford,1,100
120021387,Balmain,120021387,Balmain,1,100
120021388,Leichhardt - Annandale,120021388,Leichhardt - Annandale,1,100
120021389,Lilyfield - Rozelle,120021389,Lilyfield - Rozelle,1,100
120031390,Ashfield,120031390,Ashfield,1,100
120031391,Burwood - Croydon,120031391,Burwood - Croydon,1,100
120031392,Canterbury (North) - Ashbury,120031392,Canterbury (North) - Ashbury,1,100
