sa2,Has heart disease (including heart attack or angina),Does not have heart disease (including heart attack or angina),Not stated
Wingham,297,4591,498
Albury - East,696,15976,1151
Albury - North,490,8978,1061
Albury - South,551,9071,900
Albury Surrounds,570,10648,1291
Lavington,863,13354,1447
Hay,152,2324,415
Wentworth - Buronga,339,5322,855
Wentworth-Balranald Region,173,2833,642
Corowa,400,4724,477
Corowa Surrounds,442,5997,824
Deniliquin,394,5834,807
Deniliquin Surrounds,341,5730,768
Moama,371,5998,567
Tocumwal - Finley - Jerilderie,620,7934,1223
Armidale,997,20127,2846
Armidale Surrounds - North,202,3647,683
Armidale Surrounds - South,284,5128,479
Walcha,192,2575,374
Glen Innes,553,7144,1228
Inverell,600,10061,1399
Inverell Surrounds - East,301,4211,688
Inverell Surrounds - West,301,4761,668
Tenterfield,454,5576,780
Moree,314,5900,1633
Moree Surrounds,146,3730,1470
Narrabri,337,5836,726
Narrabri Surrounds,187,3655,770
Gunnedah,439,8063,1240
Gunnedah Surrounds,195,3610,560
Quirindi,379,6110,1066
Tamworth - East,991,18312,2056
Tamworth - North,821,14095,1605
Tamworth - West,201,4808,988
Tamworth Surrounds,1028,16318,1689
Belmont - Bennetts Green,1065,15572,1225
Belmont South - Blacksmiths,346,4883,453
Charlestown - Dudley,1157,22471,1624
Glendale - Cardiff - Hillsborough,1093,22034,1455
Mount Hutton - Windale,573,7974,958
Redhead,292,3192,293
Swansea - Caves Beach,786,10931,846
Valentine - Eleebana,585,11310,675
Warners Bay - Boolaroo,776,12984,926
Bolton Point - Teralba,571,8543,1025
Bonnells Bay - Silverwater,570,8443,680
Edgeworth - Cameron Park,686,14615,1072
Morisset - Cooranbong,1207,15620,1299
Toronto - Awaba,978,11919,1065
Wangi Wangi - Rathmines,570,8156,740
West Wallsend - Barnsley - Killingworth,315,6460,476
Adamstown - Kotara,637,14995,968
Beresfield - Hexham,514,7359,690
Hamilton - Broadmeadow,558,11029,1185
Lambton - New Lambton,722,15469,1150
Maryland - Fletcher - Minmi,503,15005,919
Mayfield - Warabrook,739,13657,1132
Merewether - The Junction,564,13014,925
Newcastle - Cooks Hill,481,11342,984
Newcastle Port - Kooragang,0,22,5
Shortland - Jesmond,447,10475,1674
Stockton - Fullerton Cove,573,7498,759
Wallsend - Elermore Vale,1223,18281,1461
Waratah - North Lambton,524,11237,1120
Wickham - Carrington - Tighes Hill,296,8276,599
Ballina,1385,15616,1625
Ballina Surrounds,883,16069,1373
Bangalow,174,5861,927
Brunswick Heads - Ocean Shores,319,7800,1051
Byron Bay,309,9368,1238
Evans Head,370,4626,655
Lennox Head - Skennars Head,337,8148,752
Mullumbimby,295,7221,1383
Casino,822,10086,1392
Casino Surrounds,388,5917,1072
Goonellabah,788,11688,1119
Kyogle,407,6299,900
Lismore,701,12890,1638
Lismore Surrounds,635,13316,1829
Kingscliff - Fingal Head,728,12881,1203
Murwillumbah,476,8028,1002
Murwillumbah Surrounds,411,8567,1374
Pottsville,567,12131,1389
Tweed Heads,1196,17246,2122
Banora Point,1054,14050,1223
Terranora - North Tumbulgum,141,2913,264
Tweed Heads South,735,6989,704
Griffith (NSW),684,17881,2008
Griffith Surrounds,429,10429,1904
Leeton,395,8887,1055
Narrandera,317,4808,774
Tumbarumba,181,2855,485
Tumut,332,5667,664
Tumut Surrounds,172,4026,547
Cootamundra,525,6474,711
Gundagai,178,3040,493
Junee,271,4741,1336
Temora,346,5720,535
Wagga Wagga - East,728,15014,1178
Wagga Wagga - North,144,4954,505
Wagga Wagga - South,846,19887,1786
Wagga Wagga - West,574,10204,1185
Wagga Wagga Surrounds,615,15405,1772
Berry - Kangaroo Valley,607,8151,732
Callala Bay - Currarong,269,3093,285
Culburra Beach,357,4394,357
Ettrema - Sassafras - Budawang,3,52,8
Huskisson - Vincentia,257,4195,390
North Nowra - Bomaderry,883,13899,1320
Nowra,1083,18438,3063
St Georges Basin - Erowal Bay,1040,12849,1368
Sussex Inlet - Berrara,414,3786,496
Tomerong - Wandandian - Woollamia,159,3172,371
Ulladulla,1026,14624,1375
Ulladulla Surrounds,337,4955,530
Bowral,838,11795,999
Hill Top - Colo Vale,235,5739,420
Mittagong,526,9667,737
Moss Vale - Berrima,455,9239,954
Robertson - Fitzroy Falls,171,3324,338
Southern Highlands,348,6317,580
Baulkham Hills - East,852,22784,1092
Baulkham Hills (West) - Bella Vista,774,19924,987
Glenhaven,368,5666,334
West Pennant Hills,514,11643,528
Castle Hill - Central,259,7074,337
Castle Hill - East,380,4749,545
Castle Hill - North,463,11166,568
Castle Hill - South,373,9548,491
Castle Hill - West,159,4845,182
Cherrybrook,728,17588,768
Kellyville - East,525,16490,694
Kellyville - West,346,10472,561
Dural - Kenthurst - Wisemans Ferry,923,20134,1421
Galston - Laughtondale,255,4757,419
Bilpin - Colo - St Albans,120,2382,349
Kurrajong Heights - Ebenezer,814,19948,1404
Pitt Town - McGraths Hill,386,10127,896
Box Hill - Nelson,166,9630,492
North Kellyville,293,16142,969
Rouse Hill - Beaumont Hills,432,16458,692
Blacktown (East) - Kings Park,555,14982,1495
Blacktown (North) - Marayong,737,18219,1630
Doonside - Woodcroft,824,20805,1754
Lalor Park - Kings Langley,1012,22425,1934
Blacktown - South,437,11221,984
Blacktown - West,686,15029,1431
Seven Hills - Prospect,546,13295,1030
Toongabbie - West,359,10430,790
Glenwood,436,14784,610
Acacia Gardens,110,3469,93
Quakers Hill,605,22642,1424
Kellyville Ridge - The Ponds,503,19643,911
Marsden Park - Shanes Park,253,14351,924
Riverstone,311,12407,1124
Schofields (West) - Colebee,177,9250,592
Schofields - East,319,23259,1549
Stanhope Gardens - Parklea,329,10882,1821
Bidwill - Hebersham - Emerton,743,15138,2646
Glendenning - Dean Park,268,7534,575
Hassall Grove - Plumpton,671,19089,1660
Lethbridge Park - Tregear,789,17971,2787
Mount Druitt - Whalan,762,19741,2413
Prospect Reservoir,4,7,4
Rooty Hill - Minchinbury,767,20104,1953
Banksmeadow,4,408,92
Botany,300,11693,972
Pagewood - Hillsdale - Daceyville,443,13168,1152
Port Botany Industrial,0,7,0
Sydney Airport,0,14,4
Eastlakes,310,7986,640
Mascot,309,19726,1540
Petersham - Stanmore,500,17966,1431
Sydenham - Tempe - St Peters,162,7612,501
Marrickville - North,293,11143,873
Marrickville - South,416,12887,973
Darlinghurst,268,9381,968
Erskineville - Alexandria,281,17632,1213
Glebe - Forest Lodge,503,18088,1673
Potts Point - Woolloomooloo,531,15621,2041
Surry Hills,388,13965,1471
Camperdown - Darlington,128,7620,584
Chippendale,67,6998,739
Newtown (NSW),292,13403,977
Pyrmont,303,11237,1120
Redfern,422,11971,1280
Rosebery - Beaconsfield,177,11243,870
Sydney (North) - Millers Point,213,7044,750
Sydney (South) - Haymarket,199,18006,1724
Ultimo,75,6709,630
Waterloo,384,14307,1691
Zetland,146,11716,763
Bondi - Tamarama - Bronte,482,17068,1508
Bondi Beach - North Bondi,387,18595,1728
Bondi Junction - Waverly,539,15729,1453
Centennial Park,0,0,0
Dover Heights,289,10134,698
Paddington - Moore Park,379,13414,1001
Rose Bay - Vaucluse - Watsons Bay,490,10556,877
Woollahra,293,6576,586
Bellevue Hill,464,13052,915
Double Bay - Darling Point,411,8806,744
Kensington (NSW),300,10653,862
Kingsford,328,12412,863
Maroubra - North,395,8773,623
Maroubra - South,380,9809,894
Maroubra - West,289,9055,507
Randwick - North,392,14558,1255
Randwick - South,323,11448,961
Coogee - Clovelly,424,17788,1311
Malabar - La Perouse,469,8413,1726
Matraville - Chifley,486,11852,1076
South Coogee,192,4921,500
Bass Hill - Georges Hall,867,20101,2890
Chullora,17,1327,124
Condell Park,382,11105,1284
Padstow,684,15355,1165
Revesby,578,15656,1435
Yagoona - Birrong,676,19557,2246
Bankstown - North,409,14976,1592
Bankstown - South,465,15936,2037
Greenacre - North,504,12611,1523
Greenacre - South,423,11605,1388
Panania (North) - Milperra,410,10260,667
Panania (South) - Picnic Point,578,14462,949
Belmore - Belfield,705,17639,1981
Punchbowl,654,18716,2177
Roselands,504,12932,1139
Lakemba,454,14894,1744
Wiley Park,263,8805,1065
Campsie - North,299,10671,929
Campsie - South,201,7717,1149
Canterbury - South,327,10704,1190
Earlwood,690,16087,1193
Kingsgrove - North,252,5614,391
Narwee - Beverly Hills,510,12376,899
Oatley - Hurstville Grove,514,11423,653
Peakhurst - Lugarno,922,18024,1274
Riverwood,465,10108,1032
South Hurstville - Blakehurst,842,22837,1580
Hurstville - Central,260,11065,712
Hurstville - North,411,10930,770
Mortdale - Oatley,522,13376,813
Penshurst,287,8466,778
Kingsgrove (South) - Bardwell Park,492,11741,746
Kogarah,415,11502,1138
Kogarah Bay - Carlton - Allawah,616,14488,1094
Monterey - Brighton-le-Sands - Kyeemagh,599,12095,1202
Rockdale - Banksia,560,17808,1482
Sans Souci - Ramsgate,795,14574,1292
Arncliffe - Bardwell Valley,507,14449,1621
Bexley - North,430,8868,849
Bexley - South,492,14285,1060
Wolli Creek,103,9842,785
Concord - Mortlake - Cabarita,966,20868,1277
Drummoyne - Rodd Point,656,16502,1210
Five Dock - Abbotsford,804,18687,1440
Concord West - North Strathfield,339,11587,916
Rhodes,160,10675,624
Balmain,495,14039,1046
Lilyfield - Rozelle,354,12577,889
Annandale (NSW),259,8491,712
Leichhardt,441,16014,1071
Canterbury (North) - Ashbury,370,10925,708
Croydon Park - Enfield,662,15520,1250
Dulwich Hill - Lewisham,462,16100,1391
Haberfield - Summer Hill,500,12282,744
Homebush,295,19022,1507
Strathfield South,127,3318,192
Ashfield - North,330,10464,663
Ashfield - South,440,11116,691
Burwood (NSW),297,14436,1201
Croydon,416,9930,648
Strathfield - East,407,14868,1145
Strathfield - West,351,8369,534
Chatswood (West) - Lane Cove North,604,19573,1109
St Leonards - Naremburn,242,10963,704
Artarmon,246,8639,517
Castle Cove - Northbridge,478,12306,650
Chatswood - East,533,17988,1077
Greenwich - Riverview,409,11886,637
Lane Cove,414,14725,748
Willoughby,410,11905,688
Asquith - Mount Colah,650,20400,1008
Berowra - Brooklyn - Cowan,389,10873,524
Normanhurst - Thornleigh - Westleigh,748,17586,824
Hornsby - East,282,11039,617
Hornsby - West,328,9727,573
Wahroonga (West) - Waitara,459,10753,663
Gordon - Killara,784,20583,1066
