"sa2_name_2021","age_group","pop_2021","pop2011_as21","abs_change","growth_rate","in_wslhd_2021","in_metro_2021"
"Oberon","20_29",466,490,-24,-0.0489795918367347,0,0
"Oberon","30_39",504,473,31,0.06553911205074,0,0
"Oberon","40_49",545,585,-40,-0.0683760683760684,0,0
"Oberon","50_59",664,613,51,0.0831973898858075,0,0
"Oberon","60_69",738,680,58,0.0852941176470588,0,0
"Oberon","70_79",647,298,349,1.17114093959732,0,0
"Oberon","80_89",219,155,64,0.412903225806452,0,0
"Oberon","90_99",31,15,16,1.06666666666667,0,0
"Oberon","100_plus",0,0,0,NA,0,0
"Bathurst - South","0_9",909,1350.6186768,-441.6186768,-0.326975099919631,0,0
"Bathurst - South","10_19",1004,1523.9722134,-519.9722134,-0.341195337308635,0,0
"Bathurst - South","20_29",2021,1776.534285,244.465715,0.137608216775845,0,0
"Bathurst - South","30_39",1529,1247.8738914,281.1261086,0.225284069598253,0,0
"Bathurst - South","40_49",1114,1279.5573054,-165.5573054,-0.129386393795193,0,0
"Bathurst - South","50_59",1186,1242.8950692,-56.8950691999999,-0.0457762450024207,0,0
"Bathurst - South","60_69",1159,932.8502322,226.1497678,0.242428805818761,0,0
"Bathurst - South","70_79",1013,606.0584478,406.9415522,0.671455952271935,0,0
"Bathurst - South","80_89",603,380.200968,222.799032,0.586003326535455,0,0
"Bathurst - South","90_99",214,61.5563472,152.4436528,2.47648958611371,0,0
"Bathurst - South","100_plus",3,3.6209616,-0.6209616,-0.171490799571031,0,0
"Bathurst - West","0_9",1976,1633.3813232,342.6186768,0.209760373731204,0,0
"Bathurst - West","10_19",2055,1843.0277866,211.9722134,0.115013031784531,0,0
"Bathurst - West","20_29",1697,2148.465715,-451.465715,-0.210134009515716,0,0
"Bathurst - West","30_39",1920,1509.1261086,410.8738914,0.272259481204764,0,0
"Bathurst - West","40_49",1742,1547.4426946,194.5573054,0.125728278067377,0,0
"Bathurst - West","50_59",1737,1503.1049308,233.8950692,0.155607944866174,0,0
"Bathurst - West","60_69",1652,1128.1497678,523.8502322,0.46434458185597,0,0
"Bathurst - West","70_79",1008,732.9415522,275.0584478,0.375280193863186,0,0
"Bathurst - West","80_89",458,459.799032,-1.79903199999995,-0.00391264851553658,0,0
"Bathurst - West","90_99",70,74.4436528,-4.4436528,-0.0596914932685839,0,0
"Bathurst - West","100_plus",0,4.3790384,-4.3790384,-1,0,0
"Condobolin","0_9",909,1019,-110,-0.107948969578018,0,0
"Condobolin","10_19",767,822,-55,-0.0669099756690998,0,0
"Condobolin","20_29",628,749,-121,-0.16154873164219,0,0
"Condobolin","30_39",761,742,19,0.0256064690026954,0,0
"Condobolin","40_49",683,823,-140,-0.170109356014581,0,0
"Condobolin","50_59",781,959,-178,-0.185610010427529,0,0
"Condobolin","60_69",853,796,57,0.071608040201005,0,0
"Condobolin","70_79",587,595,-8,-0.0134453781512605,0,0
"Condobolin","80_89",331,332,-1,-0.00301204819277108,0,0
"Condobolin","90_99",69,57,12,0.210526315789474,0,0
"Condobolin","100_plus",4,0,4,NA,0,0
"Cowra","0_9",1119,1096,23,0.020985401459854,0,0
"Cowra","10_19",1087,1238,-151,-0.121970920840065,0,0
"Cowra","20_29",1022,792,230,0.29040404040404,0,0
"Cowra","30_39",914,890,24,0.0269662921348315,0,0
"Cowra","40_49",939,1084,-145,-0.133763837638376,0,0
"Cowra","50_59",1162,1188,-26,-0.0218855218855219,0,0
"Cowra","60_69",1217,1097,120,0.109389243391067,0,0
"Cowra","70_79",1089,904,185,0.204646017699115,0,0
"Cowra","80_89",594,545,49,0.0899082568807339,0,0
