sa2_name_2021,in_wslhd,in_metro,pop_size,age_0_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_0_19,age_20_39,age_40_59,age_60_plus,australia,overseas,english,non_english,prop_age_0_9,prop_age_10_19,prop_age_20_29,prop_age_30_39,prop_age_40_49,prop_age_50_59,prop_age_0_19,prop_age_20_39,prop_age_40_59,prop_age_60_plus,prop_australia,prop_overseas,prop_english,prop_non_english
Jindabyne - Berridale,0,0,8035,715,1112,1300,1040,1085,1132,1827,2340,2217,1646,6316,1134,6989,460,0.08898568761667704,0.13839452395768512,0.16179215930304916,0.12943372744243933,0.13503422526446796,0.14088363410080895,0.22738021157436217,0.2912258867454885,0.2759178593652769,0.20485376477909148,0.7860609831985065,0.14113254511512136,0.8698195395146235,0.05724953329184816
Batemans Bay,0,0,8581,823,937,696,767,880,1110,1760,1463,1990,3371,6678,1264,7555,449,0.0959095676494581,0.109194732548654,0.08110942780561706,0.08938352173406362,0.10255215009905605,0.1293555529658548,0.2051043001981121,0.1704929495396807,0.23190770306491085,0.39284465679990677,0.7782309754107913,0.1473021792331896,0.880433515907237,0.05232490385735928
Batemans Bay - South,0,0,8938,744,897,666,722,911,1181,1641,1388,2092,3817,6762,1422,7808,466,0.08324009845603043,0.10035802192884315,0.07451331394047886,0.08077869769523384,0.10192436786753188,0.13213246811367196,0.18359812038487358,0.15529201163571268,0.23405683598120386,0.4270530319982099,0.7565450883866637,0.15909599462967106,0.8735735063772656,0.0521369433877825
Bega - Tathra,0,0,8872,967,1061,805,924,981,1228,2028,1729,2209,2919,7348,850,7898,329,0.1089945897204689,0.1195897204688909,0.09073489630297565,0.10414788097385032,0.11057258791704239,0.13841298467087465,0.2285843101893598,0.19488277727682596,0.24898557258791704,0.32901262398557257,0.8282236248872858,0.09580703336339044,0.8902164111812444,0.037082957619477004
Bega-Eden Hinterland,0,0,9557,941,1074,690,877,996,1627,2015,1567,2623,3352,7727,1047,8673,187,0.09846186041644868,0.11237836141048446,0.07219838861567437,0.09176519828398033,0.10421680443653866,0.17024170764884378,0.21084022182693313,0.1639635868996547,0.27445851208538247,0.3507376791880297,0.8085173171497332,0.10955320707334938,0.9075023542952809,0.019566809668305953
Broulee - Tomakin,0,0,3792,335,429,259,351,396,526,764,610,922,1489,3081,442,3485,101,0.08834388185654009,0.11313291139240507,0.06830168776371308,0.0925632911392405,0.10443037974683544,0.13871308016877637,0.20147679324894516,0.1608649789029536,0.24314345991561181,0.39266877637130804,0.8125,0.11656118143459916,0.9190400843881856,0.026635021097046414
Deua - Wadbilliga,0,0,43,0,0,0,0,6,11,0,0,17,22,28,0,32,0,0,0,0,0,0.13953488372093023,0.2558139534883721,0,0,0.3953488372093023,0.5116279069767442,0.6511627906976745,0,0.7441860465116279,0
Eden,0,0,3425,353,353,247,297,336,451,706,544,787,1397,2692,389,2998,103,0.10306569343065694,0.10306569343065694,0.07211678832116789,0.08671532846715328,0.09810218978102189,0.13167883211678832,0.20613138686131388,0.15883211678832118,0.22978102189781022,0.4078832116788321,0.785985401459854,0.11357664233576642,0.8753284671532847,0.03007299270072993
Eurobodalla Hinterland,0,0,3525,290,361,279,270,386,643,651,549,1029,1311,2753,357,3072,64,0.08226950354609928,0.1024113475177305,0.07914893617021276,0.07659574468085106,0.10950354609929078,0.1824113475177305,0.18468085106382978,0.15574468085106383,0.2919148936170213,0.3719148936170213,0.7809929078014184,0.10127659574468086,0.8714893617021277,0.018156028368794326
Merimbula - Tura Beach,0,0,11513,919,1137,853,1002,1132,1549,2056,1855,2681,4920,9158,1674,10475,447,0.07982280899852341,0.09875792582298272,0.07409015895075133,0.0870320507252671,0.09832363415269695,0.13454355945452967,0.17858073482150613,0.16112220967601842,0.2328671936072266,0.4273430035611917,0.7954486232954052,0.14540085121167376,0.9098410492486754,0.0388256753235473
Moruya - Tuross Head,0,0,8600,666,815,598,707,810,1268,1481,1305,2078,3732,6785,1034,7665,209,0.07744186046511628,0.09476744186046511,0.06953488372093024,0.0822093023255814,0.0941860465116279,0.1474418604651163,0.1722093023255814,0.15174418604651163,0.2416279069767442,0.433953488372093,0.788953488372093,0.12023255813953489,0.8912790697674419,0.024302325581395348
Narooma - Bermagui,0,0,9888,788,864,544,774,827,1282,1652,1318,2109,4802,7644,1426,8780,364,0.0796925566343042,0.08737864077669903,0.05501618122977346,0.07827669902912622,0.08363673139158576,0.12965210355987056,0.16707119741100324,0.13329288025889968,0.2132888349514563,0.4856391585760518,0.7730582524271845,0.14421521035598706,0.8879449838187702,0.03681229773462783
Goulburn,0,0,24565,2986,2797,3092,3256,2780,3058,5783,6348,5838,6605,20465,2667,21034,1640,0.12155505800936292,0.11386118461225321,0.12587014044372075,0.13254630571951964,0.11316914308976185,0.12448605739873804,0.23541624262161612,0.2584164461632404,0.2376552004884999,0.26887848565031547,0.8330958681050274,0.10856910238143701,0.8562589049460615,0.06676165275798901
Goulburn Surrounds,0,0,13839,1461,1650,1100,1350,1627,2186,3111,2450,3813,4465,11310,1281,12212,483,0.10557121179275959,0.11922826793843486,0.07948551195895658,0.09755040104053761,0.1175662981429294,0.1579593901293446,0.22479947973119446,0.17703591299949417,0.275525688272274,0.32263891899703734,0.8172555820507262,0.09256449165402124,0.8824337018570706,0.03490136570561457
Yass,0,0,6763,829,864,673,832,818,855,1693,1505,1673,1887,5796,635,6149,271,0.12257873724678398,0.127753955345261,0.09951205086500074,0.12302232736951058,0.12095224013011976,0.1264231849770812,0.25033269259204494,0.2225343782345113,0.24737542510720095,0.2790181871950318,0.8570161171077924,0.09389324264379713,0.9092118882152891,0.04007097441963626
Yass Surrounds,0,0,12713,1606,1792,1033,1336,1921,2028,3398,2369,3949,3004,10538,1423,11529,484,0.1263273814205931,0.14095807441201919,0.08125540785023204,0.1050892786911036,0.15110516793833084,0.1595217493903878,0.26728545583261226,0.18634468654133565,0.3106269173287186,0.2362935577755054,0.8289152835680013,0.11193266734838354,0.9068669865492016,0.0380712656336034
Young,0,0,11004,1419,1514,1106,1220,1236,1314,2933,2326,2550,3193,9329,896,9544,751,0.12895310796074155,0.1375863322428208,0.1005089058524173,0.1108687749909124,0.11232279171210469,0.11941112322791712,0.26653944020356235,0.2113776808433297,0.23173391494002182,0.2901672119229371,0.8477826245001817,0.08142493638676845,0.8673209741912032,0.06824790985096328
