sa2,0-9 years,10-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60-69 years,70-79 years,80-89 years,90-99 years,100 years and over
Oberon,573,578,490,473,585,613,680,298,155,15,0
Condobolin,1019,822,749,742,823,959,796,595,332,57,0
Cowra,1096,1238,792,890,1084,1188,1097,904,545,72,9
Cowra Region,647,682,371,491,743,837,827,524,191,37,3
Forbes,1290,1408,945,989,1273,1293,1243,838,423,87,0
Grenfell,448,434,241,351,464,538,575,368,200,38,0
Parkes (NSW),1613,1654,1206,1253,1394,1329,1027,845,513,100,4
Parkes Region,432,504,248,319,473,549,445,264,142,21,0
West Wyalong,889,748,515,658,728,827,644,515,280,48,0
Lithgow,1463,1501,1441,1374,1584,1687,1540,1020,545,90,0
Lithgow Region,1018,1061,656,849,1131,1264,1147,525,219,24,0
Mudgee,1516,1463,1256,1287,1450,1170,1029,749,454,101,5
Mudgee Region - East,374,413,234,303,477,468,555,340,142,23,0
Mudgee Region - West,1223,1375,732,1011,1436,1502,1535,802,280,47,0
Wollangambe - Wollemi,0,0,0,0,0,0,0,0,0,0,0
Blayney,1039,975,644,744,1033,960,783,541,249,33,0
Orange,2593,2822,2534,2267,2390,2420,2040,1452,924,177,6
Orange - North,2867,2434,2283,2431,2247,1947,1424,785,368,50,0
Orange Region,1550,1661,930,1162,1590,1604,1398,746,321,25,0
Grafton,2374,2485,1976,1973,2209,2491,2081,1566,1002,200,6
Grafton Region,1764,2214,959,1383,2258,2727,2316,1017,350,47,0
Maclean - Yamba - Iluka,1580,1900,1008,1357,1818,2404,2704,1934,964,165,4
Bellingen,803,864,358,599,858,983,658,335,187,49,5
Coffs Harbour - North,2073,2120,1799,1816,2125,2224,2037,1292,739,115,0
Coffs Harbour - South,1086,1076,1306,1058,1130,1250,1100,891,709,199,4
Coramba - Nana Glen - Bucca,453,561,255,369,621,619,450,206,49,3,0
Dorrigo,376,463,234,251,476,608,482,263,111,28,4
Korora - Emerald Beach,987,1179,588,883,1167,1247,986,450,186,23,0
Sawtell - Boambee,2359,2820,1754,1900,2662,2821,2334,1395,774,115,4
Urunga,439,589,309,336,614,771,698,508,248,25,0
Woolgoolga - Arrawarra,1381,1555,1036,1170,1448,1904,1443,940,496,64,0
Bourke - Brewarrina,794,554,557,507,635,536,375,203,102,6,0
Cobar,743,614,671,648,626,623,409,267,115,14,0
Coonamble,601,600,463,434,579,602,483,316,161,23,0
Nyngan - Warren,801,655,516,572,736,658,642,423,171,40,0
Walgett - Lightning Ridge,1050,756,699,776,901,1047,896,475,201,22,0
Broken Hill,2178,2306,2046,1875,2404,2749,2272,1547,948,181,3
Far West,370,317,341,329,382,419,344,140,43,3,0
Coonabarabran,1087,1060,642,793,1003,1210,1125,771,401,83,0
Dubbo - East,1655,1740,1463,1232,1521,1486,888,507,290,61,0
Dubbo - South,2240,2215,2020,1937,2011,1861,1438,1107,762,122,6
Dubbo - West,1283,1124,947,908,966,841,741,456,145,19,0
Dubbo Region,672,801,390,542,786,861,663,317,121,14,0
Gilgandra,578,601,388,430,593,665,553,400,218,30,0
Narromine,1112,899,625,730,826,910,838,495,225,20,0
