sa2_name_2021,in_wslhd,in_metro,pop_size,age_0_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_0_19,age_20_39,age_40_59,age_60_plus,australia,overseas,english,non_english,prop_age_0_9,prop_age_10_19,prop_age_20_29,prop_age_30_39,prop_age_40_49,prop_age_50_59,prop_age_0_19,prop_age_20_39,prop_age_40_59,prop_age_60_plus,prop_australia,prop_overseas,prop_english,prop_non_english,bachelor_above,bachelor_below,denominator_edu,unknown_edu,managers_professionals,everyone_else,denominator_occup,unknown_occup,less_md_income,more_md_income,denominator_income,unknown_income,social_housing,non_social_housing,denominator_housing_type,unknown_housing_type,prop_bachelor_above,prop_bachelor_below,prop_managers_professionals,prop_everyone_else,prop_less_md_income,prop_more_md_income,prop_social_housing,prop_non_social_housing,arthritis,asthma,cancer,dementia,diabetes,heart_disease,kidney_disease,lung_condition,mental_health,stroke,prop_arthritis,prop_asthma,prop_cancer,prop_dementia,prop_diabetes,prop_heart_disease,prop_kidney_disease,prop_lung_condition,prop_mental_health,prop_stroke
Jindabyne - Berridale,0,0,8035,715,1112,1300,1040,1085,1132,1827,2340,2217,1646,6316,1134,6989,460,0.08898568761667704,0.13839452395768512,0.16179215930304916,0.12943372744243933,0.13503422526446796,0.14088363410080895,0.22738021157436217,0.2912258867454885,0.2759178593652769,0.20485376477909148,0.7860609831985065,0.14113254511512136,0.8698195395146235,0.05724953329184816,1487,4403,6739,855,1538,3075,4701,93,2669,3497,6739,575,15,3310,3578,250,0.22065588366226443,0.6533610327941831,0.32716443309934057,0.6541161455009572,0.39605282682890636,0.5189197210268586,0.004192286193404136,0.9250978200111795,639,649,182,25,205,241,47,97,582,44,0.07952706907280647,0.08077162414436839,0.022650902302426883,0.0031113876789047915,0.02551337896701929,0.02999377722464219,0.005849408836341008,0.012072184194150591,0.07243310516490355,0.005476042314872433
Batemans Bay,0,0,8581,823,937,696,767,880,1110,1760,1463,1990,3371,6678,1264,7555,449,0.0959095676494581,0.109194732548654,0.08110942780561706,0.08938352173406362,0.10255215009905605,0.1293555529658548,0.2051043001981121,0.1704929495396807,0.23190770306491085,0.39284465679990677,0.7782309754107913,0.1473021792331896,0.880433515907237,0.05232490385735928,869,5314,7238,1068,715,2287,3069,64,4233,2363,7238,656,184,3333,3775,247,0.12006079027355623,0.7341807129041171,0.23297491039426524,0.7451938742261323,0.5848300635534678,0.32647140093948607,0.048741721854304636,0.8829139072847683,1281,783,415,132,518,513,139,287,998,147,0.14928330031464865,0.0912481062813192,0.04836266169444121,0.015382822514858408,0.060365924717398906,0.05978324204638154,0.016198578254282718,0.03344598531639669,0.11630346113506584,0.0171308705279105
Batemans Bay - South,0,0,8938,744,897,666,722,911,1181,1641,1388,2092,3817,6762,1422,7808,466,0.08324009845603043,0.10035802192884315,0.07451331394047886,0.08077869769523384,0.10192436786753188,0.13213246811367196,0.18359812038487358,0.15529201163571268,0.23405683598120386,0.4270530319982099,0.7565450883866637,0.15909599462967106,0.8735735063772656,0.0521369433877825,1317,5204,7711,1190,975,2248,3275,60,4216,2813,7711,691,97,3717,4060,250,0.17079496822720788,0.674880041499157,0.29770992366412213,0.686412213740458,0.5467513941123071,0.3648035274283491,0.023891625615763547,0.9155172413793103,1393,850,451,120,539,589,163,294,986,134,0.1558514208995301,0.09509957484895949,0.05045871559633028,0.013425822331617812,0.06030431863951667,0.06589841127769076,0.018236742000447528,0.032893264712463635,0.11031550682479302,0.014992168270306557
Bega - Tathra,0,0,8872,967,1061,805,924,981,1228,2028,1729,2209,2919,7348,850,7898,329,0.1089945897204689,0.1195897204688909,0.09073489630297565,0.10414788097385032,0.11057258791704239,0.13841298467087465,0.2285843101893598,0.19488277727682596,0.24898557258791704,0.32901262398557257,0.8282236248872858,0.09580703336339044,0.8902164111812444,0.037082957619477004,1439,4915,7308,958,1164,2596,3833,72,3763,2943,7308,599,166,3397,3797,221,0.19690749863163656,0.6725506294471811,0.30367858074615184,0.6772762848943387,0.5149151614668857,0.4027093596059113,0.04371872530945483,0.8946536739531209,1112,850,320,51,431,444,137,262,1000,110,0.12533814247069433,0.09580703336339044,0.03606853020739405,0.005748422001803427,0.04857980162308386,0.05004508566275924,0.015441839495040577,0.029531109107303877,0.1127141568981064,0.012398557258791704
Bega-Eden Hinterland,0,0,9557,941,1074,690,877,996,1627,2015,1567,2623,3352,7727,1047,8673,187,0.09846186041644868,0.11237836141048446,0.07219838861567437,0.09176519828398033,0.10421680443653866,0.17024170764884378,0.21084022182693313,0.1639635868996547,0.27445851208538247,0.3507376791880297,0.8085173171497332,0.10955320707334938,0.9075023542952809,0.019566809668305953,1456,5456,8061,1144,1456,2701,4236,75,4589,2763,8061,724,6,3708,4028,312,0.18062275151966256,0.6768391018484059,0.3437204910292729,0.6376298394711992,0.5692842079146508,0.3427614439895795,0.0014895729890764648,0.9205561072492552,1208,824,383,40,428,490,143,271,974,88,0.12639949775034007,0.08621952495552998,0.04007533744899027,0.004185413832792717,0.044783928010882074,0.05127131945171079,0.014962854452233965,0.02835617871717066,0.10191482682850267,0.009207910432143978
Broulee - Tomakin,0,0,3792,335,429,259,351,396,526,764,610,922,1489,3081,442,3485,101,0.08834388185654009,0.11313291139240507,0.06830168776371308,0.0925632911392405,0.10443037974683544,0.13871308016877637,0.20147679324894516,0.1608649789029536,0.24314345991561181,0.39266877637130804,0.8125,0.11656118143459916,0.9190400843881856,0.026635021097046414,801,2033,3222,387,577,933,1544,37,1616,1387,3222,220,5,1561,1670,99,0.24860335195530725,0.6309745499689634,0.37370466321243523,0.6042746113989638,0.5015518311607697,0.4304779639975171,0.0029940119760479044,0.9347305389221557,578,317,196,48,166,233,74,95,360,62,0.15242616033755274,0.08359704641350212,0.05168776371308017,0.012658227848101266,0.04377637130801688,0.061445147679324894,0.019514767932489453,0.025052742616033755,0.0949367088607595,0.016350210970464137
Deua - Wadbilliga,0,0,43,0,0,0,0,6,11,0,0,17,22,28,0,32,0,0,0,0,0,0.13953488372093023,0.2558139534883721,0,0,0.3953488372093023,0.5116279069767442,0.6511627906976745,0,0.7441860465116279,0,7,19,43,4,0,8,17,0,19,11,43,5,0,12,11,3,0.16279069767441862,0.4418604651162791,0,0.47058823529411764,0.4418604651162791,0.2558139534883721,0,1.0909090909090908,9,0,0,0,0,5,4,6,4,0,0.20930232558139536,0,0,0,0,0.11627906976744186,0.09302325581395349,0.13953488372093023,0.09302325581395349,0
Eden,0,0,3425,353,353,247,297,336,451,706,544,787,1397,2692,389,2998,103,0.10306569343065694,0.10306569343065694,0.07211678832116789,0.08671532846715328,0.09810218978102189,0.13167883211678832,0.20613138686131388,0.15883211678832118,0.22978102189781022,0.4078832116788321,0.785985401459854,0.11357664233576642,0.8753284671532847,0.03007299270072993,316,2111,2886,456,258,925,1207,22,1665,888,2886,329,105,1287,1517,122,0.1094941094941095,0.7314622314622314,0.21375310687655344,0.7663628831814416,0.5769230769230769,0.3076923076923077,0.06921555702043507,0.8483849703361899,511,302,131,47,236,258,58,159,346,61,0.1491970802919708,0.08817518248175182,0.038248175182481754,0.013722627737226278,0.0689051094890511,0.07532846715328467,0.016934306569343065,0.046423357664233576,0.10102189781021897,0.01781021897810219
Eurobodalla Hinterland,0,0,3525,290,361,279,270,386,643,651,549,1029,1311,2753,357,3072,64,0.08226950354609928,0.1024113475177305,0.07914893617021276,0.07659574468085106,0.10950354609929078,0.1824113475177305,0.18468085106382978,0.15574468085106383,0.2919148936170213,0.3719148936170213,0.7809929078014184,0.10127659574468086,0.8714893617021277,0.018156028368794326,485,2063,3062,510,439,1014,1504,36,1630,1102,3062,339,21,1352,1531,163,0.15839320705421292,0.6737426518615284,0.29188829787234044,0.6742021276595744,0.5323318092749837,0.3598954931417374,0.013716525146962769,0.8830829523187459,442,249,144,17,155,182,37,106,326,42,0.1253900709219858,0.07063829787234042,0.04085106382978723,0.004822695035460993,0.04397163120567376,0.05163120567375887,0.01049645390070922,0.030070921985815603,0.0924822695035461,0.011914893617021277
Merimbula - Tura Beach,0,0,11513,919,1137,853,1002,1132,1549,2056,1855,2681,4920,9158,1674,10475,447,0.07982280899852341,0.09875792582298272,0.07409015895075133,0.0870320507252671,0.09832363415269695,0.13454355945452967,0.17858073482150613,0.16112220967601842,0.2328671936072266,0.4273430035611917,0.7954486232954052,0.14540085121167376,0.9098410492486754,0.0388256753235473,1998,6823,9994,1172,1502,3238,4792,52,5362,3989,9994,645,71,4899,5233,253,0.1999199519711827,0.6827096257754652,0.3134390651085142,0.6757095158597662,0.5365219131478888,0.3991394836902141,0.013567743168354672,0.9361742786164724,1721,975,565,140,621,847,200,326,1151,141,0.14948319291235995,0.08468687570572396,0.04907495874229132,0.01216016676800139,0.053939025449491876,0.0735690089464084,0.017371666811430556,0.028315816902631807,0.09997394249978285,0.012247025102058542
Moruya - Tuross Head,0,0,8600,666,815,598,707,810,1268,1481,1305,2078,3732,6785,1034,7665,209,0.07744186046511628,0.09476744186046511,0.06953488372093024,0.0822093023255814,0.0941860465116279,0.1474418604651163,0.1722093023255814,0.15174418604651163,0.2416279069767442,0.433953488372093,0.788953488372093,0.12023255813953489,0.8912790697674419,0.024302325581395348,1308,5026,7490,1150,946,2271,3286,70,4192,2593,7490,715,100,3525,3966,340,0.1746328437917223,0.6710280373831776,0.2878880097382836,0.6911138161898965,0.559679572763685,0.34619492656875833,0.025214321734745335,0.8888048411497731,1387,777,413,68,519,535,139,260,878,127,0.16127906976744186,0.09034883720930233,0.04802325581395349,0.007906976744186046,0.06034883720930233,0.062209302325581396,0.016162790697674418,0.030232558139534883,0.10209302325581396,0.014767441860465117
