"HARTP Whether has Arthritis","Has arthritis","Does not have arthritis","Not stated","Total",
"Berkeley - Lake Heights - Cringila",1565,11421,1216,14200,
"Port Kembla - Warrawong",1153,7706,874,9740,
"Windang - Primbee",672,3202,367,4239,
"Illawarra Catchment Reserve",0,9,0,9,
"Albion Park - Macquarie Pass",1688,16041,1300,19026,
"Albion Park Rail",965,5382,564,6920,
"Kiama",1128,7045,602,8786,
"Kiama Downs - Minnamurra",623,5052,387,6063,
"Kiama Hinterland - Gerringong",948,6570,622,8136,
"Shellharbour - Flinders",1749,16180,1415,19341,
"Shellharbour - Oak Flats",1346,8386,854,10590,
"Warilla",2770,15636,1994,20397,
"Balgownie - Fairy Meadow",2231,17707,1574,21519,
"Corrimal - Tarrawanna - Bellambi",1808,13087,1145,16041,
"Figtree - Keiraville",1835,19346,1587,22773,
"Helensburgh",739,7873,516,9135,
"Thirroul - Austinmer - Coalcliff",1023,10195,738,11957,
"Woonona - Bulli - Russell Vale",2233,17284,1245,20761,
"Wollongong - East",1530,13363,1126,16020,
"Wollongong - West",1309,13949,1291,16551,
"Bulahdelah - Stroud",716,3915,601,5235,
"Forster",2506,10935,1271,14709,
"Forster-Tuncurry Surrounds",973,5278,737,6988,
"Tuncurry",1343,4576,459,6376,
"Kempsey",2048,11108,2502,15654,
"Kempsey Surrounds",1230,7181,1064,9472,
"Macksville - Scotts Head",711,4000,479,5189,
"Nambucca Heads",1305,5040,770,7111,
"Nambucca Heads Surrounds",1042,6150,914,8102,
"South West Rocks",1057,4097,476,5628,
"Lord Howe Island",27,385,39,445,
"Laurieton - Bonny Hills",3330,13951,1198,18484,
"Port Macquarie - West",3009,16393,1750,21147,
"Port Macquarie Surrounds",618,4144,533,5301,
"Wauchope",1515,10222,1059,12796,
"Port Macquarie - East",1259,9668,839,11764,
"Port Macquarie - South",2432,13817,1035,17284,
"Gloucester",719,4138,450,5310,
"Old Bar - Manning Point - Red Head",1852,9596,1037,12476,
"Taree",3025,15817,2283,21123,
"Taree Surrounds",2098,9801,1149,13044,
"Wingham",739,4154,498,5395,
"Albury - East",1518,15167,1151,17831,
"Albury - North",1115,8350,1061,10527,
"Albury - South",1119,8506,900,10519,
"Albury Surrounds",1279,9942,1291,12507,
"Lavington",1830,12390,1447,15665,
"Hay",303,2176,415,2897,
"Wentworth - Buronga",619,5037,855,6511,
"Wentworth-Balranald Region",304,2707,642,3648,
"Corowa",812,4311,477,5595,
"Corowa Surrounds",1045,5398,824,7262,
"Deniliquin",913,5315,807,7038,
"Deniliquin Surrounds",812,5259,768,6837,
"Moama",885,5484,567,6930,
"Tocumwal - Finley - Jerilderie",1456,7097,1223,9778,
"Armidale",2090,19034,2846,23967,
"Armidale Surrounds - North",461,3391,683,4527,
"Armidale Surrounds - South",721,4690,479,5894,
"Walcha",418,2343,374,3144,
"Glen Innes",1235,6466,1228,8931,
"Inverell",1387,9280,1399,12057,
"Inverell Surrounds - East",722,3786,688,5200,
"Inverell Surrounds - West",761,4303,668,5734,
"Tenterfield",1091,4941,780,6810,
"Moree",582,5632,1633,7845,
"Moree Surrounds",308,3574,1470,5356,
"Narrabri",719,5453,726,6898,
"Narrabri Surrounds",440,3405,770,4616,
"Gunnedah",958,7547,1240,9745,
"Gunnedah Surrounds",423,3381,560,4369,
"Quirindi",895,5598,1066,7551,
"Tamworth - East",2198,17094,2056,21360,
"Tamworth - North",1714,13202,1605,16517,
"Tamworth - West",502,4510,988,5998,
"Tamworth Surrounds",2244,15098,1689,19038,
"Belmont - Bennetts Green",2256,14382,1225,17864,
"Belmont South - Blacksmiths",805,4428,453,5680,
"Charlestown - Dudley",2385,21240,1624,25254,
"Glendale - Cardiff - Hillsborough",2553,20581,1455,24588,
"Mount Hutton - Windale",1287,7262,958,9504,
"Redhead",457,3032,293,3785,
"Swansea - Caves Beach",1843,9868,846,12559,
"Valentine - Eleebana",1338,10555,675,12568,
"Warners Bay - Boolaroo",1773,11992,926,14694,
"Bolton Point - Teralba",1293,7813,1025,10135,
"Bonnells Bay - Silverwater",1203,7810,680,9691,
"Edgeworth - Cameron Park",1517,13783,1072,16375,
"Morisset - Cooranbong",2502,14327,1299,18129,
"Toronto - Awaba",1943,10951,1065,13961,
"Wangi Wangi - Rathmines",1296,7437,740,9467,
"West Wallsend - Barnsley - Killingworth",808,5968,476,7254,
"Adamstown - Kotara",1400,14238,968,16600,
"Beresfield - Hexham",1194,6678,690,8561,
"Hamilton - Broadmeadow",1248,10338,1185,12772,
"Lambton - New Lambton",1711,14483,1150,17343,
"Maryland - Fletcher - Minmi",1235,14272,919,16429,
"Mayfield - Warabrook",1593,12804,1132,15526,
"Merewether - The Junction",1167,12409,925,14506,
"Newcastle - Cooks Hill",1032,10789,984,12805,
"Newcastle Port - Kooragang",3,21,5,31,
"Shortland - Jesmond",976,9943,1674,12593,
"Stockton - Fullerton Cove",1256,6815,759,8824,
"Wallsend - Elermore Vale",2583,16921,1461,20958,
"Waratah - North Lambton",1149,10617,1120,12883,
"Wickham - Carrington - Tighes Hill",686,7885,599,9171,
"Ballina",2553,14451,1625,18629,
"Ballina Surrounds",1791,15160,1373,18327,
"Bangalow",420,5617,927,6958,
"Brunswick Heads - Ocean Shores",754,7359,1051,9170,
"Byron Bay",674,9005,1238,10914,
"Evans Head",781,4209,655,5643,
"Lennox Head - Skennars Head",688,7797,752,9236,
"Mullumbimby",610,6903,1383,8896,
"Casino",1572,9330,1392,12298,
"Casino Surrounds",785,5526,1072,7381,
"Goonellabah",1581,10887,1119,13591,
"Kyogle",949,5764,900,7611,
"Lismore",1518,12072,1638,15229,
"Lismore Surrounds",1390,12566,1829,15786,
"Kingscliff - Fingal Head",1551,12061,1203,14818,
"Murwillumbah",1075,7427,1002,9501,
"Murwillumbah Surrounds",997,7980,1374,10352,
"Pottsville",1339,11359,1389,14086,
"Tweed Heads",2567,15875,2122,20563,
"Banora Point",2282,12817,1223,16320,
"Terranora - North Tumbulgum",307,2750,264,3324,
"Tweed Heads South",1485,6236,704,8423,
"Griffith (NSW)",1634,16927,2008,20569,
"Griffith Surrounds",1149,9705,1904,12760,
"Leeton",1018,8263,1055,10330,
"Narrandera",711,4418,774,5905,
"Tumbarumba",418,2613,485,3522,
"Tumut",835,5163,664,6667,
"Tumut Surrounds",599,3602,547,4744,
"Cootamundra",1221,5776,711,7705,
"Gundagai",397,2827,493,3715,
"Junee",795,4218,1336,6351,
"Temora",874,5197,535,6603,
"Wagga Wagga - East",1670,14070,1178,16921,
"Wagga Wagga - North",356,4740,505,5605,
"Wagga Wagga - South",2162,18575,1786,22522,
"Wagga Wagga - West",1287,9493,1185,11962,
"Wagga Wagga Surrounds",1618,14400,1772,17788,
"Berry - Kangaroo Valley",1367,7389,732,9489,
"Callala Bay - Currarong",580,2779,285,3642,
"Culburra Beach",873,3874,357,5105,
"Ettrema - Sassafras - Budawang",3,55,8,62,
"Huskisson - Vincentia",698,3758,390,4844,
"North Nowra - Bomaderry",2106,12675,1320,16098,
"Nowra",2610,16911,3063,22584,
"St Georges Basin - Erowal Bay",2620,11277,1368,15259,
"Sussex Inlet - Berrara",946,3253,496,4694,
"Tomerong - Wandandian - Woollamia",454,2882,371,3708,
"Ulladulla",2745,12908,1375,17026,
"Ulladulla Surrounds",926,4362,530,5822,
"Bowral",1969,10665,999,13626,
"Hill Top - Colo Vale",667,5307,420,6393,
"Mittagong",1331,8862,737,10931,
"Moss Vale - Berrima",1232,8466,954,10648,
"Robertson - Fitzroy Falls",412,3084,338,3829,
"Southern Highlands",874,5787,580,7250,
"Baulkham Hills - East",1629,22002,1092,24726,
"Baulkham Hills (West) - Bella Vista",1299,19396,987,21683,
"Glenhaven",731,5299,334,6361,
"West Pennant Hills",843,11314,528,12683,
"Castle Hill - Central",493,6841,337,7677,
"Castle Hill - East",624,4502,545,5670,
"Castle Hill - North",784,10839,568,12189,
"Castle Hill - South",634,9288,491,10419,
"Castle Hill - West",267,4727,182,5183,
"Cherrybrook",1187,17131,768,19082,
"Kellyville - East",976,16039,694,17709,
"Kellyville - West",567,10249,561,11375,
"Dural - Kenthurst - Wisemans Ferry",1794,19263,1421,22479,
"Galston - Laughtondale",544,4468,419,5436,
"Bilpin - Colo - St Albans",248,2254,349,2846,
"Kurrajong Heights - Ebenezer",1870,18887,1404,22161,
"Pitt Town - McGraths Hill",936,9580,896,11414,
"Box Hill - Nelson",329,9460,492,10287,
"North Kellyville",546,15888,969,17401,
"Rouse Hill - Beaumont Hills",851,16038,692,17581,
"Blacktown (East) - Kings Park",1001,14540,1495,17032,
"Blacktown (North) - Marayong",1454,17498,1630,20584,
"Doonside - Woodcroft",1593,20033,1754,23384,
"Lalor Park - Kings Langley",2130,21307,1934,25373,
"Blacktown - South",828,10837,984,12646,
"Blacktown - West",1222,14490,1431,17141,
"Seven Hills - Prospect",1044,12786,1030,14866,
"Toongabbie - West",661,10124,790,11578,
"Glenwood",822,14397,610,15829,
"Acacia Gardens",191,3384,93,3668,
"Quakers Hill",1277,21973,1424,24670,
"Kellyville Ridge - The Ponds",938,19200,911,21058,
"Marsden Park - Shanes Park",434,14169,924,15524,
"Riverstone",738,11983,1124,13844,
"Schofields (West) - Colebee",325,9098,592,10011,
"Schofields - East",549,23026,1549,25130,
