"HARTP Whether has Arthritis","Has arthritis","Does not have arthritis","Not stated","Total",
"Green Valley",767,11191,962,12919,
"Hinchinbrook",740,11429,864,13038,
"Hoxton Park - Carnes Hill - Horningsea Park",615,11721,932,13263,
"West Hoxton - Middleton Grange",785,15300,1110,17194,
"Cobbitty - Bringelly",451,3956,350,4761,
"Gledswood Hills - Gregory Hills",552,12960,783,14299,
"Leppington - Catherine Field",793,11037,734,12559,
"Oran Park",638,15889,1096,17624,
"Bonnyrigg Heights - Bonnyrigg",1108,14739,1303,17154,
"Bossley Park - Abbotsbury",1727,16450,1511,19690,
"Cabramatta - Lansvale",1149,20566,2389,24101,
"Cabramatta West - Mount Pritchard",1127,15365,1757,18249,
"Canley Vale - Canley Heights",1154,19066,2032,22261,
"Edensor Park",729,8794,748,10279,
"Fairfield",1460,14986,1799,18248,
"Fairfield - West",1593,17788,1869,21249,
"Greenfield Park - Prairiewood",696,7542,612,8855,
"Horsley Park - Kemps Creek",411,3536,393,4344,
"Smithfield - Wetherill Park",1771,16243,1490,19510,
"St Johns Park - Wakeley",937,9562,700,11197,
"Wetherill Park Industrial",5,29,7,37,
"Casula",1163,14039,1375,16584,
"Chipping Norton - Moorebank",1451,17917,1439,20813,
"Holsworthy - Wattle Grove",1256,18261,1614,21129,
"Lurnea - Cartwright",985,10162,1522,12670,
"Warwick Farm",404,4799,731,5937,
"Edmondson Park",287,10953,838,12080,
"Liverpool - East",788,14388,2365,17536,
"Liverpool - West",1022,11235,1484,13737,
"Prestons",858,13800,1038,15692,
"Gymea - Grays Point",1486,15662,1008,18156,
"Miranda - Yowie Bay",1904,17463,1342,20705,
"Sylvania - Taren Point",1687,13563,1185,16430,
"Caringbah",1025,10886,941,12858,
"Caringbah South",1127,11126,764,13015,
"Cronulla - Kurnell - Bundeena",2067,20461,1854,24374,
"Lilli Pilli - Port Hacking - Dolans Bay",241,2936,196,3369,
"Woolooware - Burraneer",681,7776,487,8947,
"Heathcote - Waterfall",763,5554,351,6673,
"Illawong - Alfords Point",850,9207,498,10554,
"Menai - Lucas Heights - Woronora",1775,18176,977,20927,
"Oyster Bay - Como - Jannali",1696,19201,1167,22063,
"Royal National Park",0,32,18,42,
"Sutherland - Kirrawee",2075,19792,1370,23238,
"Engadine",1527,14870,955,17356,
"Loftus - Yarrawarrah",682,6296,371,7348,
"Woronora Heights",303,3047,191,3539,
"Migratory - Offshore - Shipping (NSW)",0,0,0,0,
"No usual address (NSW)",813,6579,3980,11371,
