Australian Bureau of Statistics

"2021 Census - counting dwellings, place of enumeration"
"SA2 (EN) by HOSD Housing Suitability"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

"HOSD Housing Suitability","Four or more extra bedrooms needed","Three extra bedrooms needed","Two extra bedrooms needed","One extra bedroom needed","No bedrooms needed or spare","One bedroom spare","Two bedrooms spare","Three bedrooms spare","Four or more bedrooms spare","Unable to determine","Not stated","Not applicable","Total",
"SA2 (EN)",
"Lithgow Surrounds",0,9,8,62,378,915,1059,494,109,98,49,955,4125,
"Mudgee",0,4,6,66,575,1345,1627,744,106,145,108,1012,5740,
"Mudgee Surrounds - East",0,0,7,20,185,453,521,164,42,29,41,519,1982,
"Mudgee Surrounds - West",0,3,16,84,496,1135,1260,633,147,124,87,1292,5276,
"Wollangambe - Wollemi",0,0,0,0,0,0,0,0,0,0,0,0,0,
"Blayney",0,4,6,35,341,735,988,429,89,84,42,481,3257,
"Orange",0,8,17,142,1213,2338,2589,766,138,213,160,1567,9142,
"Orange - North",0,7,22,115,812,2266,2771,1514,178,257,91,875,8910,
"Orange Surrounds",0,4,15,61,427,1042,1396,807,194,148,67,732,4888,
"Grafton",0,3,30,165,1259,2332,2506,818,139,222,146,1140,8756,
"Grafton Surrounds",3,8,41,147,906,1495,1943,849,167,184,124,1473,7327,
"Maclean - Yamba - Iluka",0,3,12,121,929,2123,2622,1021,119,160,153,2521,9795,
"Bellingen",0,6,25,54,409,665,680,267,48,97,24,457,2721,
"Coffs Harbour - North",0,4,48,185,1216,2229,2195,810,114,222,123,1066,8214,
"Coffs Harbour - South",0,6,23,163,817,1442,1241,355,57,134,76,940,5242,
"Coramba - Nana Glen - Bucca",0,0,6,28,224,332,438,173,52,45,23,198,1531,
"Dorrigo",0,0,6,24,232,367,486,149,30,35,44,434,1807,
"Korora - Emerald Beach",0,0,6,43,355,890,1293,778,145,114,32,544,4209,
"Sawtell - Boambee",3,4,34,147,1103,2386,2518,1025,136,242,111,969,8679,
"Urunga",0,0,7,32,317,597,611,256,36,67,32,512,2481,
"Woolgoolga - Arrawarra",4,12,48,150,811,1684,1645,657,111,131,120,1097,6462,
"Bourke - Brewarrina",0,0,12,33,199,282,333,135,30,60,62,753,1902,
"Cobar",0,0,4,24,167,380,528,215,27,56,33,920,2354,
"Coonamble",0,0,8,39,201,387,398,193,53,40,42,524,1879,
"Nyngan - Warren",0,0,3,28,213,514,576,235,54,68,50,654,2393,
"Walgett - Lightning Ridge",3,0,14,71,366,514,451,167,44,65,60,1271,3035,
"Broken Hill",0,3,15,134,1059,2344,2799,515,77,214,147,2281,9591,
"Far West",0,6,7,31,122,189,206,92,44,39,36,582,1360,
"Coonabarabran",5,3,14,57,399,769,1011,399,76,69,78,1158,4032,
"Dubbo - East",3,7,21,106,484,1058,1093,610,108,112,71,559,4224,
"Dubbo - South",5,4,26,140,1052,2299,2340,1045,96,223,119,1241,8584,
"Dubbo - West",0,4,22,85,447,1067,1132,585,50,112,66,577,4151,
"Dubbo Surrounds",0,3,11,36,187,453,611,376,111,83,28,357,2256,
"Gilgandra",0,0,7,32,221,450,504,256,51,51,54,550,2173,
"Narromine",0,0,3,44,286,606,785,336,60,87,43,633,2877,
"Wellington",0,6,9,73,415,807,1009,383,85,91,63,846,3784,
"Branxton - Greta - Pokolbin",0,6,14,71,437,1137,1563,849,131,179,37,793,5217,
"Cessnock",8,10,54,218,1432,2841,2508,727,81,269,118,1213,9477,
"Cessnock Surrounds",0,4,10,88,427,864,974,470,124,91,42,679,3789,
"Dungog",0,0,10,70,466,964,1269,528,111,107,64,638,4224,
"Kurri Kurri - Abermain",5,10,47,218,1214,2436,2367,808,65,255,98,700,8220,
"Singleton",3,6,24,108,772,1759,2019,948,132,183,73,786,6806,
"Singleton Surrounds",4,0,8,41,235,408,583,312,63,64,22,479,2213,
"Maitland",0,0,14,64,450,945,997,459,48,116,36,292,3419,
"Maitland - North",0,0,7,23,241,780,1037,659,79,103,16,215,3156,
"East Maitland - Metford",0,3,24,145,970,2059,2232,1004,107,205,78,592,7430,
"Rutherford (North) - Aberglasslyn",0,8,13,91,657,1752,2070,1133,122,232,60,486,6623,
"Rutherford (South) - Telarah",0,0,18,69,477,961,1044,301,24,76,38,384,3400,
"Tenambit - East Maitland",0,0,8,65,493,1462,1377,447,51,124,49,384,4472,
