"HSTRP Whether has had a Stroke","Has had a stroke","Has not had a stroke","Not stated","Total",
"Fairfield",189,16254,1799,18248,
"Fairfield - West",184,19191,1869,21249,
"Greenfield Park - Prairiewood",96,8145,612,8855,
"Horsley Park - Kemps Creek",49,3896,393,4344,
"Smithfield - Wetherill Park",203,17816,1490,19510,
"St Johns Park - Wakeley",118,10375,700,11197,
"Wetherill Park Industrial",0,35,7,37,
"Casula",155,15055,1375,16584,
"Chipping Norton - Moorebank",173,19198,1439,20813,
"Holsworthy - Wattle Grove",122,19400,1614,21129,
"Lurnea - Cartwright",136,11011,1522,12670,
"Warwick Farm",50,5153,731,5937,
"Edmondson Park",28,11211,838,12080,
"Liverpool - East",123,15051,2365,17536,
"Liverpool - West",154,12097,1484,13737,
"Prestons",115,14539,1038,15692,
"Gymea - Grays Point",144,17009,1008,18156,
"Miranda - Yowie Bay",242,19127,1342,20705,
"Sylvania - Taren Point",204,15048,1185,16430,
"Caringbah",92,11825,941,12858,
"Caringbah South",104,12150,764,13015,
"Cronulla - Kurnell - Bundeena",209,22316,1854,24374,
"Lilli Pilli - Port Hacking - Dolans Bay",15,3156,196,3369,
"Woolooware - Burraneer",63,8395,487,8947,
"Heathcote - Waterfall",88,6233,351,6673,
"Illawong - Alfords Point",71,9988,498,10554,
"Menai - Lucas Heights - Woronora",159,19786,977,20927,
"Oyster Bay - Como - Jannali",161,20737,1167,22063,
"Royal National Park",0,31,18,42,
"Sutherland - Kirrawee",247,21615,1370,23238,
"Engadine",147,16253,955,17356,
"Loftus - Yarrawarrah",50,6928,371,7348,
"Woronora Heights",20,3323,191,3539,
"Migratory - Offshore - Shipping (NSW)",0,0,0,0,
"No usual address (NSW)",79,7311,3980,11371,
