sa2_name_2011,in_wslhd,in_metro,pop_size
Tenterfield,0,0,6809
Moree,0,0,8397
Moree Region,0,0,5548
Narrabri,0,0,6929
Narrabri Region,0,0,4809
Gunnedah,0,0,8731
Gunnedah Region,0,0,4521
Quirindi,0,0,7477
Tamworth - East,0,0,19902
Tamworth - North,0,0,13513
Tamworth - West,0,0,5322
Tamworth Region,0,0,17342
Belmont - Bennetts Green,0,0,17143
Belmont South - Blacksmiths,0,0,5618
Charlestown - Dudley,0,0,23554
Glendale - Cardiff - Hillsborough,0,0,22966
Mount Hutton - Windale,0,0,8660
Redhead,0,0,3460
Swansea - Caves Beach,0,0,10730
Valentine - Eleebana,0,0,11967
Warners Bay - Boolaroo,0,0,12761
Bolton Point - Teralba,0,0,8699
Bonnells Bay - Silverwater,0,0,7935
Edgeworth - Cameron Park,0,0,11425
Morisset - Cooranbong,0,0,13842
Toronto - Awaba,0,0,13268
Wangi Wangi - Rathmines,0,0,8708
West Wallsend - Barnsley - Killingworth,0,0,6135
Adamstown - Kotara,0,0,15043
Beresfield - Hexham,0,0,8361
Hamilton - Broadmeadow,0,0,11739
Lambton - New Lambton,0,0,16406
Maryland - Fletcher - Minmi,0,0,11213
Mayfield - Warabrook,0,0,14643
Merewether - The Junction,0,0,13399
Newcastle - Cooks Hill,0,0,10136
Newcastle Port - Kooragang,0,0,16
Shortland - Jesmond,0,0,10081
Stockton - Fullerton Cove,0,0,6120
Wallsend - Elermore Vale,0,0,19038
Waratah - North Lambton,0,0,11860
Wickham - Carrington - Tighes Hill,0,0,7667
Ballina,0,0,16167
Ballina Region,0,0,15694
Bangalow,0,0,5319
Brunswick Heads - Ocean Shores,0,0,7734
Byron Bay,0,0,8654
Evans Head,0,0,4989
Lennox Head - Skennars Head,0,0,7341
Mullumbimby,0,0,7334
Casino,0,0,11834
Casino Region,0,0,6895
Goonellabah,0,0,12716
Kyogle,0,0,7508
Lismore,0,0,15565
Lismore Region,0,0,14769
Kingscliff - Fingal Head,0,0,10927
Murwillumbah,0,0,8239
Murwillumbah Region,0,0,9548
Pottsville,0,0,12138
Tweed Heads,0,0,18193
Tweed Heads - South,0,0,26051
Griffith (NSW),0,0,17901
Griffith Region,0,0,12684
Leeton,0,0,9889
Narrandera,0,0,6123
Tumbarumba,0,0,3388
Tumut,0,0,6295
Tumut Region,0,0,4644
Cootamundra,0,0,7445
Gundagai,0,0,3575
Junee,0,0,5821
Temora,0,0,6326
Wagga Wagga - East,0,0,15910
Wagga Wagga - North,0,0,3490
Wagga Wagga - South,0,0,20870
Wagga Wagga - West,0,0,11773
Wagga Wagga Region,0,0,13989
Berry - Kangaroo Valley,0,0,8285
Callala Bay - Currarong,0,0,3527
Culburra Beach,0,0,4790
Ettrema - Sassafras - Budawang,0,0,39
Huskisson - Vincentia,0,0,3821
North Nowra - Bomaderry,0,0,15236
Nowra,0,0,18105
St Georges Basin - Erowal Bay,0,0,12610
Sussex Inlet - Berrara,0,0,4132
Tomerong - Wandandian - Woollamia,0,0,3295
Ulladulla,0,0,14148
Ulladulla Region,0,0,4642
Bowral,0,1,12151
Hill Top - Colo Vale,0,1,5673
Mittagong,0,1,8104
Moss Vale - Berrima,0,1,8935
Robertson - Fitzroy Falls,0,1,3373
Southern Highlands,0,1,6148
Baulkham Hills (East),1,1,21349
Baulkham Hills (West) - Bella Vista,1,1,18615
Castle Hill,1,1,27458
Cherrybrook,0,1,24362
Glenhaven,1,1,5831
Kellyville,1,1,23762
West Pennant Hills,1,1,12445
Dural - Kenthurst - Wisemans Ferry,1,1,20240
Galston - Laughtondale,0,1,5095
Bilpin - Colo - St Albans,0,1,2638
Kurrajong Heights - Ebenezer,0,1,21439
Pitt Town - McGraths Hill,1,1,9013
Rouse Hill - Beaumont Hills,1,1,18170
Blacktown (East) - Kings Park,1,1,15544
Blacktown (North) - Marayong,1,1,16875
Blacktown (South),1,1,26613
Doonside - Woodcroft,1,1,19505
Lalor Park - Kings Langley,1,1,23968
Seven Hills - Toongabbie,1,1,22510
Glenwood,1,1,15324
Parklea - Kellyville Ridge,1,1,22403
Quakers Hill - Acacia Gardens,1,1,25811
Riverstone - Marsden Park,1,1,11236
Bidwill - Hebersham - Emerton,1,1,18599
Glendenning Dean Park,1,1,8129
Hassall Grove - Plumpton,1,1,19592
Lethbridge Park - Tregear,1,1,16045
Mount Druitt - Whalan,1,1,21720
Prospect Reservoir,1,1,15
Rooty Hill - Minchinbury,1,1,19627
Banksmeadow,0,1,10
Botany,0,1,8883
Mascot - Eastlakes,0,1,19866
Pagewood - Hillsdale - Daceyville,0,1,10590
Port Botany Industrial,0,1,0
Sydney Airport,0,1,5
Marrickville,0,1,24611
Petersham - Stanmore,0,1,18807
Sydenham - Tempe - St Peters,0,1,7192
Darlinghurst,0,1,10060
Erskineville - Alexandria,0,1,13896
Glebe - Forest Lodge,0,1,16574
Newtown - Camperdown - Darlington,0,1,21518
Potts Point - Woolloomooloo,0,1,18040
Pyrmont - Ultimo,0,1,18731
Redfern - Chippendale,0,1,16561
Surry Hills,0,1,15344
Sydney - Haymarket - The Rocks,0,1,22758
Waterloo - Beaconsfield,0,1,21089
Bondi - Tamarama - Bronte,0,1,17887
Bondi Beach - North Bondi,0,1,19327
Bondi Junction - Waverly,0,1,15844
Centennial Park,0,1,0
Double Bay - Bellevue Hill,0,1,23929
Dover Heights,0,1,10424
Paddington - Moore Park,0,1,14239
Rose Bay - Vaucluse - Watsons Bay,0,1,11713
Woollahra,0,1,7182
Coogee - Clovelly,0,1,23671
Kensington - Kingsford,0,1,26874
Malabar - La Perouse - Chifley,0,1,21113
Maroubra,0,1,29594
Randwick,0,1,27742
Bankstown,0,1,30835
Bass Hill - Georges Hall,0,1,20069
Chullora,0,1,0
Condell Park,0,1,10186
Greenacre - Mount Lewis,0,1,24311
Padstow,0,1,15631
Panania - Milperra - Picnic Point,0,1,24218
Revesby,0,1,14870
Yagoona - Birrong,0,1,18953
Belmore - Belfield,0,1,18619
Canterbury (South) - Campsie,0,1,26817
Kingsgrove (North) - Earlwood,0,1,22522
Lakemba - Wiley Park,0,1,25208
Punchbowl,0,1,19199
Roselands,0,1,13063
Hurstville,0,1,20152
Mortdale - Penshurst,0,1,22270
Narwee - Beverly Hills,0,1,12762
Oatley - Hurstville Grove,0,1,11946
Peakhurst - Lugarno,0,1,17419
Riverwood,0,1,9456
South Hurstville - Blakehurst,0,1,22603
Arncliffe - Bardwell Valley,0,1,14671
Bexley,0,1,25120
Kingsgrove (South) - Bardwell Park,0,1,12009
Kogarah,0,1,9607
Kogarah Bay - Carlton - Allawah,0,1,14839
Monterey - Brighton-le-Sands - Kyeemagh,0,1,13128
Rockdale - Banksia,0,1,18323
Sans Souci - Ramsgate,0,1,14806
Concord - Mortlake - Cabarita,0,1,19582
Concord West - North Strathfield,0,1,18018
Drummoyne - Rodd Point,0,1,17459
Five Dock - Abbotsford,0,1,19101
Balmain,0,1,14753
Leichhardt - Annandale,0,1,24433
Lilyfield - Rozelle,0,1,13017
Ashfield,0,1,22772
Burwood - Croydon,0,1,21013
Canterbury (North) - Ashbury,0,1,9378
Croydon Park - Enfield,0,1,16385
Dulwich Hill - Lewisham,0,1,15904
Haberfield - Summer Hill,0,1,13235
Homebush,0,1,12517
Strathfield,0,1,26002
Chatswood (East) - Artarmon,0,1,24343
Chatswood (West) - Lane Cove North,0,1,18122
Lane Cove - Greenwich,0,1,24147
St Leonards - Naremburn,0,1,9262
Willoughby - Castle Cove - Northbridge,0,1,24322
Asquith - Mount Colah,0,1,17735
Berowra - Brooklyn - Cowan,0,1,11395
Hornsby - Waitara,0,1,29372
Normanhurst - Thornleigh - Westleigh,0,1,18026
Gordon - Killara,0,1,18753
Lindfield - Roseville,0,1,21171
Pymble,0,1,15736
St Ives,0,1,18644
Turramurra,0,1,18029
Wahroonga - Warrawee,0,1,17247
Cremorne - Cammeray,0,1,18058
Crows Nest - Waverton,0,1,16621
Mosman,0,1,27452
Neutral Bay - Kirribilli,0,1,16712
North Sydney - Lavender Bay,0,1,9514
Balgowlah - Clontarf - Seaforth,0,1,19183
Manly - Fairlight,0,1,20565
Avalon - Palm Beach,0,1,12198
Bayview - Elanora Heights,0,1,10207
Newport - Bilgola,0,1,12898
Warriewood - Mona Vale,0,1,21846
Beacon Hill - Narraweena,0,1,13042
Cromer,0,1,7207
Dee Why - North Curl Curl,0,1,22756
Forestville - Killarney Heights,0,1,12290
Frenchs Forest - Belrose,0,1,24082
Freshwater - Brookvale,0,1,19235
Manly Vale - Allambie Heights,0,1,15900
Narrabeen - Collaroy,0,1,22690
Terrey Hills - Duffys Forest,0,1,3535
Camden - Ellis Lane,0,1,12134
Elderslie - Harrington Park,0,1,16075
Mount Annan - Currans Hill,0,1,24024
Bradbury - Wedderburn,0,1,19153
Campbelltown - Woodbine,0,1,15756
Claymore - Eagle Vale - Raby,0,1,21014
Holsworthy Military Area,0,1,0
Ingleburn - Denham Court,0,1,16589
Leumeah - Minto Heights,0,1,15983
Macquarie Fields - Glenfield,0,1,20931
