sa2,Couple family with no children,Couple family with children,One parent family,Other family,Not applicable
Horsley Park - Kemps Creek,381,593,141,17,336
Smithfield - Wetherill Park,1311,2565,1065,86,1810
St Johns Park - Wakeley,855,1527,612,46,735
Wetherill Park Industrial,0,3,0,0,14
Casula,1040,2410,780,55,1376
Chipping Norton - Moorebank,1572,3125,863,71,1603
Holsworthy - Wattle Grove,1494,3330,766,53,1319
Lurnea - Cartwright,656,1500,796,63,1491
Warwick Farm,413,604,352,50,1339
Edmondson Park,675,2072,314,37,757
Liverpool - East,1394,1839,979,134,3423
Liverpool - West,825,1640,808,75,1694
Prestons,801,2548,619,28,709
Gymea - Grays Point,1793,2699,639,52,1655
Miranda - Yowie Bay,2129,2583,876,90,2927
Sylvania - Taren Point,1743,2165,620,39,1842
Caringbah,1255,1498,630,49,2314
Caringbah South,1278,2012,386,32,1065
Cronulla - Kurnell - Bundeena,3213,2533,881,86,4325
Lilli Pilli - Port Hacking - Dolans Bay,312,560,67,5,166
Woolooware - Burraneer,965,1273,273,19,1022
Heathcote - Waterfall,679,928,242,18,636
Illawong - Alfords Point,1151,1667,285,23,504
Menai - Lucas Heights - Woronora,1947,3321,767,34,1281
Oyster Bay - Como - Jannali,2018,3505,678,55,1722
Royal National Park,0,3,0,0,7
Sutherland - Kirrawee,2487,2731,1032,94,3846
Engadine,1609,2627,672,43,1313
Loftus - Yarrawarrah,731,1165,241,10,509
Woronora Heights,343,613,85,4,145
Migratory - Offshore - Shipping (NSW),0,0,0,0,37
