sa2_name_2021,in_wslhd,in_metro,pop_size,bachelor_above,adv_diploma,high_school_below,managers_professionals,everyone_else,one_family,multi_family,non_family,neg_nil_income,very_low_income,low_income,middle_income,high_income,very_high_income,employed,unemployed,not_in_labour_force,prop_bachelor_above,prop_adv_diploma,prop_high_school_below,prop_managers_professionals,prop_everyone_else,prop_one_family,prop_multi_family,prop_non_family,prop_neg_nil_income,prop_very_low_income,prop_low_income,prop_middle_income,prop_high_income,prop_very_high_income,prop_employed,prop_unemployed,prop_not_in_labour_force
Albury - East,0,0,17831,3285,1396,8029,3317,5683,4681,65,1840,88,1560,975,1705,583,1348,9106,337,3970,0.2349953501681093,0.09986408183704128,0.5743615423134703,0.36442540101076687,0.6243682707097341,0.2695962679260496,0.003743592697114554,0.10597247019524275,0.005122235157159488,0.09080325960419092,0.056752037252619326,0.09924330616996507,0.03393480791618161,0.07846332945285216,0.6514056799484942,0.024107589956363116,0.2839974247084913
Albury - North,0,0,10527,1287,724,5418,1269,3387,2617,55,1464,52,1418,725,943,262,472,4750,251,2963,0.14956420685647878,0.084137129575828,0.6296339337594422,0.2675521821631879,0.7141049968374447,0.2565686274509804,0.005392156862745098,0.14352941176470588,0.005240878855069542,0.14291473493247328,0.0730699455754888,0.09504132231404959,0.026405966539004233,0.047571054222938926,0.5520046484601976,0.02916908773968623,0.34433468913422427
Albury - South,0,0,10519,2431,864,4617,2082,2849,2582,27,1905,72,1474,686,971,262,834,5028,252,3117,0.27262532241785353,0.09689357407199731,0.5177750364472357,0.41416351700815596,0.5667396061269147,0.26162731786401866,0.0027358394974161516,0.19302867565102846,0.007439553626782393,0.15230419508162843,0.07088241372184335,0.100330646827857,0.027071709030791487,0.08617482951022938,0.563866771335651,0.028260625770999213,0.34955702590557364
Albury Surrounds,0,0,12507,1496,860,6259,2113,3536,3173,67,1113,76,1244,659,950,311,766,5759,172,3225,0.1503668710423158,0.08644084832646497,0.6291084531108654,0.36709520500347465,0.6143154968728284,0.2659012821587195,0.005614681974356826,0.0932707617531216,0.00653707207982109,0.10700154825391364,0.05668329606055393,0.08171340099776363,0.02675038706347841,0.06588680543609152,0.578852145944316,0.017288169665292993,0.32415318122424364
Lavington,0,0,15665,1429,1034,8642,1343,5144,3813,94,2569,93,2634,1116,1365,364,490,6623,461,4901,0.11133619010518114,0.08056096610829762,0.67331515387612,0.2026558020220311,0.7762185000754489,0.2521825396825397,0.006216931216931217,0.1699074074074074,0.006277421532230847,0.17779277759028012,0.07532905838677016,0.0921363482956463,0.024569692878839016,0.0330745865676679,0.516010907674328,0.03591741332294507,0.381846513439813
Hay,0,0,2897,203,158,1640,390,876,719,9,404,28,412,169,251,60,113,1297,52,778,0.08353909465020576,0.06502057613168724,0.6748971193415638,0.3002309468822171,0.674364896073903,0.27234848484848484,0.003409090909090909,0.15303030303030302,0.011089108910891089,0.16316831683168317,0.06693069306930693,0.09940594059405941,0.023762376237623763,0.04475247524752475,0.5337448559670782,0.02139917695473251,0.3201646090534979
Wentworth - Buronga,0,0,6511,605,421,3314,883,1788,1640,27,598,58,756,334,478,126,362,2732,129,1774,0.11528201219512195,0.08022103658536585,0.6314786585365854,0.3235617442286552,0.6551850494686698,0.2677551020408163,0.004408163265306122,0.09763265306122448,0.009842185643984388,0.1282877990836586,0.05667741388087562,0.08111318513490583,0.02138129984727643,0.06142881384693705,0.520579268292683,0.02458079268292683,0.33803353658536583
Wentworth-Balranald Region,0,0,3648,248,184,1907,640,974,810,28,349,21,372,186,292,77,153,1649,56,775,0.08384043272481406,0.06220419202163624,0.6446923597025017,0.3885853066180935,0.591378263509411,0.24538018782187215,0.008482278097546198,0.10572553771584368,0.006752411575562701,0.11961414790996784,0.05980707395498392,0.09389067524115756,0.024758842443729903,0.049196141479099675,0.5574712643678161,0.018931710615280595,0.26200135226504395
Corowa,0,0,5595,465,351,3381,541,1785,1473,19,917,51,980,402,493,124,200,2366,89,2059,0.0972396486825596,0.07340025094102885,0.7070263488080301,0.22865595942519018,0.7544378698224852,0.2805714285714286,0.003619047619047619,0.17466666666666666,0.009885636751308394,0.18995929443690637,0.07792207792207792,0.0955611552626478,0.024035665826710604,0.03876720294630742,0.49477206189878714,0.018611459640317858,0.43057298201589295
Corowa Surrounds,0,0,7262,608,428,4097,954,2063,1914,23,860,61,998,428,606,169,308,3088,98,2325,0.10041288191577209,0.07068538398018166,0.6766308835672997,0.308338720103426,0.6667744020685197,0.28537349038318177,0.0034292530192336365,0.12822424332786642,0.009378843788437884,0.1534440344403444,0.06580565805658056,0.09317343173431734,0.0259840098400984,0.047355473554735544,0.5099917423616845,0.016184971098265895,0.38398018166804293
Deniliquin,0,0,7038,675,425,3855,859,2089,1766,14,1069,38,1092,484,569,158,318,3037,126,2150,0.11475688541312479,0.07225433526011561,0.6553893233594016,0.28275181040158,0.6876234364713627,0.26616428033157497,0.0021100226073850793,0.16111529766390353,0.0059375,0.170625,0.075625,0.08890625,0.0246875,0.0496875,0.5163209792587555,0.021421285277116626,0.36552193131587896
Deniliquin Surrounds,0,0,6837,635,445,3648,1433,1667,1730,34,807,64,923,472,516,129,271,3163,86,1851,0.11308993766696349,0.0792520035618878,0.6496883348174533,0.45448778940691403,0.5287028227085315,0.2812093628088427,0.0055266579973992196,0.13117685305591678,0.010770784247728038,0.15533490407270278,0.07943453382699428,0.0868394479973073,0.021709861999326827,0.04560753954897341,0.5633125556544969,0.015316117542297418,0.3296527159394479
Moama,0,0,6930,811,459,3738,972,1975,1888,25,709,45,892,412,527,160,423,3000,106,2241,0.1411908077994429,0.07990947075208914,0.650766016713092,0.32443257676902537,0.6592122830440588,0.2882442748091603,0.003816793893129771,0.10824427480916031,0.006991920447482909,0.13859540087010566,0.06401491609695463,0.08188315724052206,0.024860161591050343,0.06572405220633934,0.5222841225626741,0.018454038997214484,0.39014623955431754
Tocumwal - Finley - Jerilderie,0,0,9778,886,584,5399,1295,2594,2478,40,1290,79,1499,636,727,194,394,3971,126,3239,0.10728990070234924,0.07071930249455075,0.6537902639864374,0.3264431560373078,0.6538946307033022,0.27093811502296083,0.004373496610540126,0.1410452656899191,0.008937662631519403,0.16958932005883018,0.07195384093223216,0.08224912320398235,0.021948184183731193,0.04457517818757778,0.48086703802373454,0.015257931702591427,0.3922257205134415
Armidale,0,0,23967,5650,1500,9586,4082,6160,5440,74,3269,117,2859,1394,2052,561,1386,10398,628,6772,0.2868748413302869,0.07616146230007616,0.4867225184056867,0.3925754952875553,0.5924216195422196,0.23788700367325522,0.0032359629176141333,0.14295084834703517,0.0052173913043478265,0.12749163879598663,0.062162764771460426,0.09150501672240803,0.025016722408026756,0.06180602006688963,0.5279512566641279,0.031886265549631886,0.34384361513074385
Armidale Surrounds - North,0,0,4527,589,262,2084,832,1174,1085,13,523,34,609,255,341,86,188,2049,81,1083,0.1607971607971608,0.07152607152607153,0.5689325689325689,0.4070450097847358,0.5743639921722113,0.2601294653560297,0.0031167585710860706,0.12538959482138576,0.00851916812828865,0.15259333500375846,0.06389376096216487,0.08544224505136558,0.021548484089200702,0.04710598847406665,0.5593775593775594,0.022113022113022112,0.29565929565929566
Armidale Surrounds - South,0,0,5894,1078,470,2731,1028,1694,1612,29,624,27,766,373,518,130,355,2757,106,1681,0.22258930415032005,0.0970472847408631,0.5639066694197812,0.37232886635277074,0.6135458167330677,0.2868327402135231,0.0051601423487544484,0.1110320284697509,0.004914452129595923,0.13942482708409173,0.06789224608663998,0.09428467419002548,0.023662176920276664,0.06461594466690936,0.5692752426182118,0.021887259962832955,0.34709890563700185
Walcha,0,0,3144,325,208,1627,649,754,834,10,389,34,465,191,261,66,130,1434,49,864,0.12395118230358505,0.07932875667429443,0.6205186880244088,0.45321229050279327,0.526536312849162,0.29775080328454123,0.003570153516601214,0.13887897179578723,0.012587930396149574,0.17215845982969272,0.07071455016660497,0.09663087745279526,0.024435394298407995,0.048130322102924845,0.5469107551487414,0.018688024408848206,0.3295194508009153
Glen Innes,0,0,8931,830,527,4790,1088,2166,2207,36,1389,87,1708,538,641,147,285,3342,230,3228,0.10973030142781597,0.06967213114754098,0.633262823902697,0.3255535607420706,0.6481149012567325,0.2648188144948404,0.004319654427645789,0.16666666666666666,0.010814170292106899,0.21230577998756991,0.06687383467992541,0.07967681789931634,0.018272218769422,0.035425730267246734,0.4418297197250132,0.030407191961924908,0.4267583289264939
Inverell,0,0,12057,1020,626,6566,1254,3468,3013,64,1550,100,1804,767,995,238,461,4787,327,3756,0.1051763250154671,0.06454939162713962,0.6770468137760363,0.2620142081069787,0.7246134559130798,0.25902682255845944,0.005502063273727648,0.13325309491059148,0.00884486113568017,0.15956129488767026,0.0678400849106669,0.08800636830001769,0.021050769502918804,0.040774809835485586,0.4936069292637657,0.03371829243142916,0.3872963497628377
Inverell Surrounds - East,0,0,5200,367,318,2804,727,1169,1248,29,539,37,750,295,360,69,140,1943,143,1705,0.08613001642806853,0.07463036845810843,0.6580614879136353,0.3730118009235505,0.5997947665469472,0.25763831544178367,0.0059867877786952935,0.11127167630057803,0.007972419737125619,0.16160310277957338,0.06356388709329885,0.07756948933419522,0.014867485455720749,0.030165912518853696,0.45599624501290775,0.033560197136822345,0.4001408120159587
Inverell Surrounds - West,0,0,5734,488,305,3195,965,1296,1475,25,676,67,919,376,390,84,181,2309,104,1876,0.10284510010537408,0.0642781875658588,0.6733403582718651,0.41720709035884135,0.5603112840466926,0.2758556199738171,0.0046755189826070695,0.12642603328969515,0.01291690765374976,0.17717370348949296,0.07248891459417775,0.07518796992481203,0.016194331983805668,0.03489492963177174,0.48661749209694416,0.021917808219178082,0.39536354056902
Tenterfield,0,0,6810,683,430,3739,887,1469,1740,28,1104,74,1434,478,470,96,201,2429,174,2684,0.11665243381725021,0.07344150298889837,0.638599487617421,0.3647203947368421,0.6040296052631579,0.28651407870904,0.004610571381524782,0.1817882430429771,0.012656062938258937,0.2452539763981529,0.08175132546605096,0.08038310244569864,0.016418676244227808,0.03437660338635198,0.4148590947907771,0.029718189581554227,0.4584116140051238
Moree,0,0,7845,771,401,3584,949,2201,1707,45,915,50,815,422,642,202,451,3217,144,1718,0.12357749639365283,0.06427312069241865,0.5744510338195223,0.29508706467661694,0.6843905472636815,0.23354768094130524,0.006156792994937748,0.12518812423040088,0.007321716210279689,0.11934397422755894,0.06179528481476058,0.09401083613999121,0.029579733489529945,0.0660418802167228,0.5156275044077576,0.02308062189453438,0.27536464176951436
Moree Surrounds,0,0,5356,454,290,2206,916,1238,1039,39,430,29,399,223,343,99,277,2206,64,877,0.10735398439347363,0.06857413100023646,0.5216363206431781,0.41429217548620534,0.5599276345545002,0.21208409879567258,0.007960808328230252,0.0877730149010002,0.006577455205261964,0.09049671127239736,0.05057836244046269,0.07779541846223634,0.022454071217963258,0.06282603765026083,0.5216363206431781,0.015133601324190116,0.20737763064554268
Narrabri,0,0,6898,658,348,3712,867,2316,1734,26,852,51,791,365,589,190,490,3232,130,1697,0.11963636363636364,0.06327272727272727,0.6749090909090909,0.268670591881004,0.7176944530523707,0.2666461633092419,0.00399815469783177,0.1310164539443334,0.008031496062992126,0.12456692913385826,0.05748031496062992,0.09275590551181102,0.029921259842519685,0.07716535433070866,0.5876363636363636,0.023636363636363636,0.30854545454545457
Narrabri Surrounds,0,0,4616,387,230,2323,793,1245,1049,36,440,40,469,232,328,95,246,2072,87,983,0.10519162815982604,0.06251698831204132,0.6314215819516172,0.3832769453842436,0.6017399710004834,0.24126034958601655,0.00827966881324747,0.10119595216191353,0.00975609756097561,0.11439024390243903,0.05658536585365854,0.08,0.023170731707317073,0.06,0.563196520793694,0.02364773036151128,0.26719217178581134
Gunnedah,0,0,9745,862,467,5040,1071,3135,2364,38,1213,43,1117,502,798,256,677,4269,204,2389,0.1145058448459086,0.06203506907545165,0.6695005313496281,0.25129047395588927,0.7355701548568747,0.2537842190016103,0.004079441760601181,0.13022007514761139,0.0047650709219858155,0.12378102836879433,0.055629432624113476,0.0884308510638298,0.028368794326241134,0.07502216312056738,0.5670828905419766,0.02709883103081828,0.31734856535600425
Gunnedah Surrounds,0,0,4369,401,245,2252,776,1259,1107,24,385,35,423,232,360,91,297,2085,82,932,0.11532930687374174,0.07046304285303423,0.6476847857348289,0.3714696026807085,0.6026807084729535,0.2733333333333333,0.005925925925925926,0.09506172839506173,0.008983572895277207,0.1085728952772074,0.059548254620123205,0.09240246406570841,0.02335728952772074,0.07623203285420944,0.5996548748921484,0.02358354903652574,0.268047167098073
Quirindi,0,0,7551,580,371,4119,990,2006,1851,43,953,56,1100,461,549,117,348,3045,190,2234,0.09329258484799742,0.059675084445874216,0.6625382017050024,0.3254437869822485,0.6594345825115056,0.26140375653156334,0.006072588617426917,0.13458551052111284,0.008273009307135471,0.1625055399615896,0.06810459447481164,0.08110503767173881,0.017284680159550894,0.05141084355148471,0.48978607045198647,0.030561364001930193,0.3593373009490108
Tamworth - East,0,0,21360,2277,1356,11456,2603,7072,5396,111,2721,126,2620,1433,1897,558,1095,9842,490,5746,0.13242221576039545,0.0788601337598139,0.6662401861006106,0.26464009760065066,0.7189914599430662,0.26087797331270546,0.005366466834268033,0.13155095726165153,0.006221607742445191,0.12936993877147937,0.07075844361050761,0.09366976101125815,0.027552834287971558,0.05406873395220225,0.5723756906077349,0.028496656004652517,0.3341669089851701
Tamworth - North,0,0,16517,2854,1112,7512,2651,4804,4010,72,2304,101,1917,998,1558,463,1029,7553,331,4352,0.21611388762683628,0.08420414962895653,0.5688323489323035,0.3509863630345558,0.6360386601350457,0.25152104371824624,0.004516088565514646,0.14451483409646868,0.00646896816755268,0.12278229680394542,0.06392109139819381,0.09978863767373343,0.02965477486709793,0.06590661628130404,0.5719369983340906,0.025064364682719976,0.32954717552627594
Tamworth - West,0,0,5998,271,213,3112,316,1782,1378,41,519,27,706,340,434,111,170,2133,232,1532,0.06116000902730761,0.04807041299932295,0.7023245317084179,0.14807872539831302,0.8350515463917526,0.23973556019485037,0.0071329157967988865,0.09029227557411273,0.004903741373047585,0.12822375590265164,0.06175081729022884,0.07882310207046858,0.02015982564475118,0.03087540864511442,0.4813811780636425,0.05235838411193861,0.345745881290905
Tamworth Surrounds,0,0,19038,2118,1274,10041,3066,5824,4987,140,1881,143,2226,1058,1438,478,1175,9046,287,5080,0.13756819953234606,0.08274876591322422,0.6521823850350741,0.3388219692783733,0.6436070284009283,0.2744029932871135,0.007703312424342467,0.10349950478705844,0.008024691358024692,0.12491582491582491,0.059371492704826036,0.08069584736251403,0.026823793490460157,0.06593714927048261,0.5875552091452325,0.018641205507924138,0.32995583268381395
Belmont - Bennetts Green,0,0,17864,2587,1381,9408,2487,5538,4848,125,1962,111,2106,1004,1384,539,1408,8156,371,5706,0.17440841367221735,0.09310321580260231,0.634261444077395,0.3048915042294961,0.6789260757631482,0.27718696397941683,0.00714694110920526,0.11217838765008577,0.006415814114791052,0.12172706779954916,0.05803132766892087,0.07999537598982717,0.031154268539390788,0.0813825790416739,0.5498550529225376,0.025011798017932987,0.38468280186071596
Belmont South - Blacksmiths,0,0,5680,624,410,3256,580,1754,1532,40,803,48,896,386,449,127,343,2374,156,2063,0.12889898781243544,0.0846932451972733,0.672588308200785,0.2446225221425559,0.7397722479966259,0.28110091743119264,0.007339449541284404,0.14733944954128442,0.008945210585165859,0.16697726425642936,0.07193440178904212,0.0836749906820723,0.023667536339918003,0.06392098397316437,0.49039454658128484,0.03222474695310886,0.42615162156579217
Charlestown - Dudley,0,0,25254,5174,2000,11364,4717,7656,6715,149,2782,121,2460,1349,2078,761,2331,12516,544,6502,0.2550276025236593,0.09858044164037855,0.5601340694006309,0.3767872833293394,0.6115504433261443,0.2718843631063244,0.006032877156045024,0.11264069965179367,0.004944224247129489,0.10051893923916153,0.055121971151881666,0.08490990070690148,0.031095492992277204,0.09524782413271769,0.616916403785489,0.026813880126182965,0.32048501577287064
Glendale - Cardiff - Hillsborough,0,0,24588,4266,1862,11994,4075,8004,6608,155,2437,137,2299,1259,2241,826,1945,12201,578,6426,0.21437185929648242,0.0935678391959799,0.6027135678391959,0.3339890172936645,0.656011802311286,0.2732724039535172,0.006409991315495637,0.10078160539266366,0.005713094245204337,0.09587155963302753,0.05250208507089241,0.09345287739783152,0.03444537114261885,0.0811092577147623,0.6131155778894473,0.029045226130653266,0.3229145728643216
Mount Hutton - Windale,0,0,9504,889,598,5196,914,2618,2361,58,1248,57,1422,509,737,223,472,3598,246,3330,0.11512561512561513,0.07744107744107744,0.6728826728826729,0.25431274346132443,0.7284362826933779,0.2531631996568733,0.006219172206733862,0.1338194295517907,0.006242470704194502,0.1557332165151681,0.055744168218157926,0.08071405103493594,0.024422297667287263,0.0516920381119264,0.46594146594146596,0.031857031857031856,0.43123543123543123
Redhead,0,0,3785,778,308,1649,699,920,914,14,486,27,464,146,178,90,400,1646,57,1149,0.24911943643932116,0.09862311879602946,0.5280179314761447,0.4259597806215722,0.5606337599024985,0.24458121487824458,0.0037463205780037465,0.13005084292213004,0.007342942616263258,0.1261898286646723,0.03970628229534947,0.048409029099809625,0.024476475387544192,0.10878433505575197,0.527057316682677,0.01825168107588857,0.3679154658981748
Swansea - Caves Beach,0,0,12559,1780,1016,6511,1706,3415,3495,85,1394,98,1615,747,1003,297,966,5200,267,4607,0.16958841463414634,0.09679878048780488,0.6203315548780488,0.32832948421862973,0.6572363356428021,0.2965885947046843,0.00721317040054311,0.11829599456890699,0.008399040109701748,0.1384127528282482,0.064021254713747,0.08596160438806993,0.025454233801851217,0.08279053822420294,0.4954268292682927,0.02543826219512195,0.4389291158536585
Valentine - Eleebana,0,0,12568,2903,1229,5259,2646,3423,3539,81,843,59,891,560,919,376,1444,6124,209,3569,0.2866594252987064,0.12135874395181198,0.5193048286758172,0.43171806167400884,0.5584924131179638,0.2860722657828793,0.00654757093201843,0.06814323821841403,0.0047866298880415385,0.07228622424144086,0.04543241927632646,0.07455784520525718,0.03050462437124777,0.11715073827681324,0.604720055297719,0.020637898686679174,0.35242421250123435
Warners Bay - Boolaroo,0,0,14694,2733,1351,6996,2589,4403,4021,97,1725,103,1660,840,1186,419,1319,7078,265,4445,0.22304741695911207,0.11025871215212601,0.5709622133355097,0.3655230834392207,0.6216292531413243,0.28032626882320133,0.006762409369771333,0.12025934188510876,0.007253010351383705,0.1168931765368636,0.05915076403070206,0.08351524540525315,0.029504964439124006,0.09288078304344764,0.5776544519709459,0.021627356565739,0.36276830164041457
Bolton Point - Teralba,0,0,10135,1229,727,5297,1153,3015,2568,90,1018,51,1160,558,827,288,595,4253,254,3233,0.14718562874251498,0.08706586826347305,0.63437125748503,0.27103902209685005,0.7087447108603667,0.25861027190332325,0.00906344410876133,0.10251762336354481,0.005213657738703741,0.11858515640973216,0.05704354937640564,0.08454303823349009,0.029441831936209365,0.06082600695154365,0.5093413173652694,0.030419161676646708,0.38718562874251494
Bonnells Bay - Silverwater,0,0,9691,1257,826,5071,1157,2917,2680,75,907,67,1062,623,880,268,560,4157,243,3238,0.15813309850295634,0.1039124418165807,0.6379418794816958,0.27845968712394703,0.7020457280385078,0.2902946273830156,0.008123916811091855,0.09824523396880416,0.007329613827808773,0.11617984903183459,0.06815446887649054,0.09626955475330927,0.029318455311235093,0.06126244393392408,0.5229588627500315,0.030569883004151466,0.40734683608001004
Edgeworth - Cameron Park,0,0,16375,2085,1118,8278,2336,5775,4319,111,1160,60,1245,660,1373,608,1311,8243,327,3581,0.16431554890062258,0.08810780991409882,0.6523760737646781,0.2833919689433459,0.7005944437704719,0.267215244694673,0.006867536967147188,0.07176885479180845,0.003739249657235448,0.07758943038763555,0.04113174622958993,0.08556649632307117,0.03789106319331921,0.08170260501059454,0.6496177791788162,0.025770352273622822,0.28221294034202854
Morisset - Cooranbong,0,0,18129,2360,1347,9569,2215,4972,4483,191,2018,136,2259,982,1342,455,1094,7344,407,6658,0.15599180382047723,0.08903430497719611,0.6324938859144689,0.30181223599945495,0.6774764954353454,0.2556309517021155,0.010891258482066488,0.11507099275816844,0.007839972329509426,0.13022424626736612,0.05660921196748717,0.07736207989854153,0.026229319190638152,0.06306565976825965,0.4854253420582986,0.02690197633683654,0.4400819617952277
Toronto - Awaba,0,0,13961,2094,1174,7188,1750,3814,3744,99,1667,105,1805,856,1114,385,923,5661,341,5262,0.17769857433808553,0.0996266123557366,0.609979633401222,0.309515387336399,0.674566678457729,0.2759433962264151,0.007296580188679245,0.12286261792452831,0.007831729693443723,0.13463116282538973,0.06384724397702693,0.08309092265234579,0.028716342209293654,0.06884463340046244,0.48039714867617106,0.02893754243041412,0.4465376782077393
Wangi Wangi - Rathmines,0,0,9467,1439,863,4826,1227,2792,2725,75,840,42,1017,616,797,253,707,4100,206,3329,0.18071078739168656,0.10837624011051111,0.6060529951023483,0.2992682926829268,0.6809756097560976,0.29895776193088314,0.008228195282501372,0.09215578716401536,0.004662522202486678,0.11289964476021315,0.06838365896980461,0.08847690941385435,0.028086145648312612,0.07848579040852575,0.5148813261333668,0.02586964711792038,0.41805852065804344
West Wallsend - Barnsley - Killingworth,0,0,7254,589,485,4264,762,2819,1970,76,533,34,635,384,657,238,465,3639,143,1899,0.10056342837630186,0.0828068977292129,0.728017756530647,0.20957095709570958,0.7753025302530253,0.2750244311042859,0.010610079575596816,0.07441016333938294,0.004788058019997183,0.08942402478524152,0.05407689057879172,0.09252217997465145,0.03351640613998028,0.0654837346852556,0.6213078367765067,0.02441522963974731,0.32422742018098
Adamstown - Kotara,0,0,16600,4187,1356,6751,3840,4818,4393,71,1761,67,1366,786,1304,483,1859,8739,352,3848,0.3135859796285201,0.10155781905332534,0.5056171360095866,0.43905785501943745,0.5508804024697004,0.2704383156857917,0.004370844619551835,0.10840925880325043,0.004155811934003225,0.08472894181863293,0.04875325641979903,0.08088326510358516,0.02995906215109788,0.11530827440764173,0.6545086878370282,0.026363091671659677,0.28819652486518876
Beresfield - Hexham,0,0,8561,562,442,5261,600,2878,2201,76,1059,53,1246,539,752,196,319,3553,266,2847,0.080527296174237,0.0633328557099871,0.7538329273534891,0.1692047377326565,0.8116187253243091,0.26255517117976857,0.00906596683764762,0.12632709054037933,0.006391702846116739,0.1502653159671973,0.06500241196333816,0.09068982151471297,0.02363724071394115,0.0384708152436083,0.5090987247456655,0.03811434302908726,0.4079381000143287
Hamilton - Broadmeadow,0,0,12772,3504,957,5163,2904,3383,2952,42,2268,81,1530,701,1064,336,1269,6391,363,3468,0.319562243502052,0.08727770177838577,0.47086183310533514,0.45417578980294027,0.5290897716609321,0.24278312361213916,0.0034542314335060447,0.18652849740932642,0.006851632549484013,0.12941972593469803,0.05929622737269497,0.09000169176112333,0.028421586871933684,0.10734224327524954,0.5828545371637027,0.03310533515731874,0.31627906976744186
Lambton - New Lambton,0,0,17343,4454,1362,7075,3964,4851,4493,71,2225,84,1788,866,1331,461,1870,8916,329,4372,0.31465913104909926,0.0962204168138467,0.49982338396326387,0.4445441291914321,0.5440170460917348,0.2652145682073077,0.004191015878637625,0.1313381736615312,0.00500595947556615,0.1065554231227652,0.05160905840286055,0.07932061978545887,0.027473182359952324,0.11144219308700834,0.6298834334157541,0.02324267043447545,0.308866125044154
Maryland - Fletcher - Minmi,0,0,16429,2764,1177,7681,2773,5606,4357,114,920,72,909,678,1355,590,1445,8512,393,3345,0.2193999047467852,0.09342752817907604,0.6096999523733926,0.3257753759398496,0.6585996240601504,0.26817258570813074,0.007016680002461993,0.05662583861635994,0.004461242951855753,0.056323192267178884,0.042010037796641676,0.08395811388561869,0.03655740752215131,0.08953466757543838,0.6756628036196222,0.03119542784568979,0.26551833624384824
Mayfield - Warabrook,0,0,15526,3386,1152,7208,2928,4726,3744,53,2555,101,1816,931,1536,459,1164,7777,424,4210,0.2588289252407889,0.08805992967436171,0.550986087754166,0.3765432098765432,0.6077674897119342,0.24933404368673415,0.003529568460309004,0.1701518380394246,0.006808223795079204,0.12241321199865184,0.06275699359622515,0.10353892821031345,0.030940343781597573,0.07846309403437816,0.5944809662131173,0.03241094633848036,0.3218162360495337
Merewether - The Junction,0,0,14506,4876,1195,5000,4190,3664,3647,50,1895,61,1129,654,1055,381,1995,7946,270,3472,0.4036758009769021,0.09893203079725142,0.4139415514529348,0.5267127592708988,0.4605908233815211,0.2605558333928699,0.0035721940415803385,0.13538615417589484,0.004399567255679769,0.08142805625676162,0.04716913090515687,0.07609087630724846,0.02747926433465561,0.14388748647674,0.6578359135690041,0.022352843778458482,0.28744101332891797
Newcastle - Cooks Hill,0,0,12805,5060,1092,4437,4084,3425,3004,9,3117,83,1383,799,1526,369,1691,7606,352,3055,0.4360941135913126,0.09411359131259157,0.3824011031629751,0.5369445174861951,0.45030239284775175,0.26222067039106145,7.856145251396648e-4,0.2720844972067039,0.007397504456327986,0.1232620320855615,0.07121212121212121,0.1360071301247772,0.03288770053475936,0.15071301247771837,0.6555201241058347,0.030336981815047834,0.2632939756959407
Newcastle Port - Kooragang,0,0,31,0,3,8,4,4,7,0,7,0,0,0,3,0,3,9,0,5,0,0.13636363636363635,0.36363636363636365,0.2,0.2,0.22580645161290322,0,0.22580645161290322,0,0,0,0.10714285714285714,0,0.10714285714285714,0.4090909090909091,0,0.22727272727272727
Shortland - Jesmond,0,0,12593,1971,646,6524,1340,4119,2365,52,1830,100,1413,725,999,297,433,5547,546,3575,0.18019747668678004,0.05906015724995429,0.5964527335893216,0.24131100306140824,0.7417612101566721,0.19298245614035087,0.004243166054671563,0.14932680538555693,0.00830702774547267,0.11737830204352882,0.060225951154676854,0.08298720717727197,0.02467187240405383,0.03596943013789666,0.5071311025781678,0.049917718047174986,0.32684220149936005
Stockton - Fullerton Cove,0,0,8824,1402,721,4299,1277,2192,2356,52,1134,53,1199,507,674,231,689,3519,175,3109,0.19054090785539549,0.09798858385430824,0.5842620277249253,0.3625780806360023,0.6223736513344691,0.2756200280767431,0.006083294337856809,0.1326626111371081,0.00633895467049396,0.14340389905513695,0.06063867958378184,0.08061236694175337,0.027628274129888768,0.08240641071642148,0.4782549605871161,0.023783636857841805,0.422533297091601
Wallsend - Elermore Vale,0,0,20958,3624,1468,10542,3197,6250,5296,119,2756,134,2596,1183,1801,613,1350,9603,543,6514,0.20641339636612177,0.0836133735831862,0.6004442672438344,0.33298614727632536,0.6509738568899073,0.25848016008589975,0.0058079945336522035,0.1345112011323149,0.006613691328167416,0.12812793050688515,0.05838803612852278,0.08888998568678742,0.03025517003109422,0.066630472336015,0.5469613259668509,0.030927835051546393,0.37102010594065044
Waratah - North Lambton,0,0,12883,2778,867,5895,2420,4008,2976,47,1961,85,1426,686,1156,390,952,6513,349,3361,0.25266030013642565,0.07885402455661665,0.5361527967257844,0.3716216216216216,0.6154791154791155,0.23771866762520968,0.003754293473919642,0.15664190430545571,0.006886494369278133,0.11553107024224257,0.05557806043911529,0.09365632342218261,0.031596856517864376,0.0771287369359151,0.5923601637107776,0.031741700773078675,0.3056844020009095
Wickham - Carrington - Tighes Hill,0,0,9171,2917,773,3583,2543,2775,2267,22,1652,65,895,544,986,314,980,5403,259,1923,0.36919377294013417,0.09783571699784838,0.4534869003923554,0.4702292899408284,0.5131286982248521,0.25935247683331425,0.0025168744994851847,0.18899439423406933,0.007526632700324224,0.10363594256600278,0.06299212598425197,0.1141732283464567,0.03635942566002779,0.11347846225104215,0.6838374889254525,0.03278066067586381,0.24338691304898113
Ballina,0,0,18629,2900,1537,9405,2282,4932,4762,87,3231,134,3325,1329,1607,434,883,7318,293,7448,0.17938884077693926,0.0950760856117778,0.5817765681059013,0.3117486338797814,0.6737704918032786,0.26544035674470456,0.004849498327759197,0.18010033444816054,0.007620130793289735,0.18908160363946544,0.07557577480807506,0.09138470287176571,0.024680125106624963,0.05021324992891669,0.45267846096746256,0.01812445874056662,0.4607200296919461
