sa2_name_2021,in_wslhd,in_metro,pop_size,age_0_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_0_19,age_20_39,age_40_59,age_60_plus,male,female,australia,overseas,english,non_english,couple_no_children,couple_with_children,one_parent,other_family,prop_age_0_9,prop_age_10_19,prop_age_20_29,prop_age_30_39,prop_age_40_49,prop_age_50_59,prop_age_0_19,prop_age_20_39,prop_age_40_59,prop_age_60_plus,prop_male,prop_female,prop_australia,prop_overseas,prop_english,prop_non_english,prop_couple_no_children,prop_couple_with_children,prop_one_parent,prop_other_family
Eden,0,0,3425,353,353,247,297,336,451,706,544,787,1397,1667,1757,2692,389,2998,103,468,247,164,16,0.10306569343065694,0.10306569343065694,0.07211678832116789,0.08671532846715328,0.09810218978102189,0.13167883211678832,0.20613138686131388,0.15883211678832118,0.22978102189781022,0.4078832116788321,0.48671532846715326,0.512992700729927,0.785985401459854,0.11357664233576642,0.8753284671532847,0.03007299270072993,0.17333333333333334,0.09148148148148148,0.06074074074074074,0.005925925925925926
Eurobodalla Hinterland,0,0,3525,290,361,279,270,386,643,651,549,1029,1311,1801,1722,2753,357,3072,64,566,281,123,10,0.08226950354609928,0.1024113475177305,0.07914893617021276,0.07659574468085106,0.10950354609929078,0.1824113475177305,0.18468085106382978,0.15574468085106383,0.2919148936170213,0.3719148936170213,0.5109219858156029,0.48851063829787233,0.7809929078014184,0.10127659574468086,0.8714893617021277,0.018156028368794326,0.19769472581208522,0.09814879497031086,0.042961928047502616,0.0034928396786587496
Merimbula - Tura Beach,0,0,11513,919,1137,853,1002,1132,1549,2056,1855,2681,4920,5536,5977,9158,1674,10475,447,1855,948,390,28,0.07982280899852341,0.09875792582298272,0.07409015895075133,0.0870320507252671,0.09832363415269695,0.13454355945452967,0.17858073482150613,0.16112220967601842,0.2328671936072266,0.4273430035611917,0.4808477373403978,0.5191522626596022,0.7954486232954052,0.14540085121167376,0.9098410492486754,0.0388256753235473,0.2016304347826087,0.10304347826086957,0.042391304347826085,0.003043478260869565
Moruya - Tuross Head,0,0,8600,666,815,598,707,810,1268,1481,1305,2078,3732,4292,4307,6785,1034,7665,209,1430,657,331,30,0.07744186046511628,0.09476744186046511,0.06953488372093024,0.0822093023255814,0.0941860465116279,0.1474418604651163,0.1722093023255814,0.15174418604651163,0.2416279069767442,0.433953488372093,0.4990697674418605,0.5008139534883721,0.788953488372093,0.12023255813953489,0.8912790697674419,0.024302325581395348,0.2080908032596042,0.09560535506402794,0.048166472642607684,0.004365541327124563
Narooma - Bermagui,0,0,9888,788,864,544,774,827,1282,1652,1318,2109,4802,4804,5082,7644,1426,8780,364,1689,670,355,20,0.0796925566343042,0.08737864077669903,0.05501618122977346,0.07827669902912622,0.08363673139158576,0.12965210355987056,0.16707119741100324,0.13329288025889968,0.2132888349514563,0.4856391585760518,0.48584142394822005,0.5139563106796117,0.7730582524271845,0.14421521035598706,0.8879449838187702,0.03681229773462783,0.21796360820751065,0.08646276938959865,0.045812362885533614,0.0025809781907342884
Goulburn,0,0,24565,2986,2797,3092,3256,2780,3058,5783,6348,5838,6605,12212,12355,20465,2667,21034,1640,2559,2350,1236,92,0.12155505800936292,0.11386118461225321,0.12587014044372075,0.13254630571951964,0.11316914308976185,0.12448605739873804,0.23541624262161612,0.2584164461632404,0.2376552004884999,0.26887848565031547,0.49713006309790353,0.5029513535518013,0.8330958681050274,0.10856910238143701,0.8562589049460615,0.06676165275798901,0.12648279952550415,0.11615262949782523,0.06109134045077105,0.004547251878212732
Goulburn Surrounds,0,0,13839,1461,1650,1100,1350,1627,2186,3111,2450,3813,4465,7128,6715,11310,1281,12212,483,1936,1445,406,26,0.10557121179275959,0.11922826793843486,0.07948551195895658,0.09755040104053761,0.1175662981429294,0.1579593901293446,0.22479947973119446,0.17703591299949417,0.275525688272274,0.32263891899703734,0.5150661174940386,0.4852229207312667,0.8172555820507262,0.09256449165402124,0.8824337018570706,0.03490136570561457,0.16609471516815374,0.12397048730267674,0.0348318462594372,0.002230610844200412
Yass,0,0,6763,829,864,673,832,818,855,1693,1505,1673,1887,3271,3493,5796,635,6149,271,716,790,296,21,0.12257873724678398,0.127753955345261,0.09951205086500074,0.12302232736951058,0.12095224013011976,0.1264231849770812,0.25033269259204494,0.2225343782345113,0.24737542510720095,0.2790181871950318,0.4836610971462369,0.5164867662280054,0.8570161171077924,0.09389324264379713,0.9092118882152891,0.04007097441963626,0.12413314840499307,0.1369625520110957,0.05131761442441054,0.0036407766990291263
Yass Surrounds,0,0,12713,1606,1792,1033,1336,1921,2028,3398,2369,3949,3004,6330,6381,10538,1423,11529,484,1514,1730,326,22,0.1263273814205931,0.14095807441201919,0.08125540785023204,0.1050892786911036,0.15110516793833084,0.1595217493903878,0.26728545583261226,0.18634468654133565,0.3106269173287186,0.2362935577755054,0.4979155195469205,0.5019271611736018,0.8289152835680013,0.11193266734838354,0.9068669865492016,0.0380712656336034,0.13245844269466317,0.15135608048993876,0.02852143482064742,0.0019247594050743656
Young,0,0,11004,1419,1514,1106,1220,1236,1314,2933,2326,2550,3193,5291,5715,9329,896,9544,751,1194,1069,544,49,0.12895310796074155,0.1375863322428208,0.1005089058524173,0.1108687749909124,0.11232279171210469,0.11941112322791712,0.26653944020356235,0.2113776808433297,0.23173391494002182,0.2901672119229371,0.48082515448927665,0.5193565976008724,0.8477826245001817,0.08142493638676845,0.8673209741912032,0.06824790985096328,0.1308636562911004,0.1171635247698378,0.05962297238053485,0.005370451556334941
Young Surrounds,0,0,7677,861,840,687,692,784,1189,1701,1379,1973,2625,3898,3777,6402,501,6787,221,1028,718,262,26,0.11215318483782728,0.10941774130519734,0.08948808128175069,0.09013937736094829,0.10212322521818419,0.15487820763319005,0.22157092614302462,0.17962745864269897,0.2570014328513742,0.3419304415787417,0.5077504233424515,0.49198905822586947,0.8339194998046112,0.06525986713559985,0.8840692979028266,0.028787286700534064,0.1659134925758554,0.1158812136862492,0.04228534538411879,0.004196255648805681
Avoca Beach - Copacabana,0,0,7513,917,1167,604,701,1095,1179,2084,1305,2274,1848,3729,3781,5857,1415,6894,368,784,1005,314,13,0.12205510448555837,0.15533076001597232,0.0803939837614801,0.09330493810728072,0.1457473712232131,0.1569279914814322,0.2773858645015307,0.17369892186876082,0.3026753627046453,0.24597364568081992,0.49633967789165445,0.5032610142419806,0.779582057766538,0.18834021030214296,0.917609476906695,0.048981764940769335,0.1159077468953282,0.14858072146658782,0.046422235363690126,0.00192193968066233
Box Head - MacMasters Beach,0,0,11042,1152,1283,795,940,1394,1542,2435,1735,2936,3934,5417,5621,8766,1835,10127,488,1495,1357,369,31,0.10432892591921754,0.11619271871037855,0.07199782648071001,0.08512950552436153,0.12624524542655316,0.13964861438145262,0.2205216446295961,0.15712733200507153,0.2658938598080058,0.35627603694982796,0.49058141641007064,0.509056330374932,0.7938779206665459,0.16618366238000362,0.9171345770693715,0.04419489222966854,0.15613577023498695,0.14172323759791122,0.038537859007832895,0.003237597911227154
Calga - Kulnura,0,0,4716,404,535,489,485,570,852,939,974,1422,1393,2445,2274,3526,753,3908,392,559,530,165,17,0.08566581849024597,0.11344359626802375,0.10368956743002544,0.10284139100932994,0.12086513994910941,0.1806615776081425,0.1991094147582697,0.20653095843935537,0.3015267175572519,0.2953774385072095,0.5184478371501272,0.4821882951653944,0.7476675148430874,0.15966921119592875,0.8286683630195081,0.08312128922815945,0.14094805849722641,0.13363590519415028,0.0416036308623298,0.004286434694906707
