sa2,Has dementia (including Alzheimer's),Does not have dementia (including Alzheimer's),Not stated
Albury - North,102,9360,1061
Albury - South,143,9479,900
Albury Surrounds,80,11134,1291
Lavington,117,14105,1447
Hay,34,2447,415
Wentworth - Buronga,57,5604,855
Wentworth-Balranald Region,24,2986,642
Corowa,66,5052,477
Corowa Surrounds,49,6395,824
Deniliquin,90,6139,807
Deniliquin Surrounds,48,6026,768
Moama,62,6304,567
Tocumwal - Finley - Jerilderie,113,8442,1223
Armidale,139,20977,2846
Armidale Surrounds - North,28,3827,683
Armidale Surrounds - South,33,5379,479
Walcha,31,2731,374
Glen Innes,85,7613,1228
Inverell,106,10557,1399
Inverell Surrounds - East,42,4472,688
Inverell Surrounds - West,65,4996,668
Tenterfield,69,5961,780
Moree,58,6155,1633
Moree Surrounds,13,3867,1470
Narrabri,77,6099,726
Narrabri Surrounds,31,3812,770
Gunnedah,85,8423,1240
Gunnedah Surrounds,30,3780,560
Quirindi,59,6432,1066
Tamworth - East,129,19170,2056
Tamworth - North,256,14654,1605
Tamworth - West,24,4987,988
Tamworth Surrounds,148,17196,1689
Belmont - Bennetts Green,224,16414,1225
Belmont South - Blacksmiths,33,5187,453
Charlestown - Dudley,190,23433,1624
Glendale - Cardiff - Hillsborough,302,22829,1455
Mount Hutton - Windale,165,8384,958
Redhead,110,3382,293
Swansea - Caves Beach,118,11598,846
Valentine - Eleebana,108,11787,675
Warners Bay - Boolaroo,79,13677,926
Bolton Point - Teralba,134,8978,1025
Bonnells Bay - Silverwater,67,8948,680
Edgeworth - Cameron Park,170,15132,1072
Morisset - Cooranbong,413,16411,1299
Toronto - Awaba,192,12704,1065
Wangi Wangi - Rathmines,56,8675,740
West Wallsend - Barnsley - Killingworth,32,6744,476
Adamstown - Kotara,98,15536,968
Beresfield - Hexham,68,7808,690
Hamilton - Broadmeadow,129,11456,1185
Lambton - New Lambton,113,16081,1150
Maryland - Fletcher - Minmi,46,15461,919
Mayfield - Warabrook,233,14163,1132
Merewether - The Junction,98,13480,925
Newcastle - Cooks Hill,51,11775,984
Newcastle Port - Kooragang,0,24,5
Shortland - Jesmond,68,10852,1674
Stockton - Fullerton Cove,132,7942,759
Wallsend - Elermore Vale,421,19080,1461
Waratah - North Lambton,291,11469,1120
Wickham - Carrington - Tighes Hill,36,8526,599
Ballina,334,16672,1625
Ballina Surrounds,160,16791,1373
Bangalow,33,6004,927
Brunswick Heads - Ocean Shores,32,8083,1051
Byron Bay,69,9606,1238
Evans Head,37,4955,655
Lennox Head - Skennars Head,22,8456,752
Mullumbimby,49,7469,1383
Casino,121,10787,1392
Casino Surrounds,52,6258,1072
Goonellabah,155,12316,1119
Kyogle,82,6625,900
Lismore,105,13490,1638
Lismore Surrounds,56,13896,1829
Kingscliff - Fingal Head,161,13450,1203
Murwillumbah,92,8407,1002
Murwillumbah Surrounds,51,8928,1374
Pottsville,139,12557,1389
Tweed Heads,305,18137,2122
Banora Point,253,14852,1223
Terranora - North Tumbulgum,19,3042,264
Tweed Heads South,204,7520,704
Griffith (NSW),182,18376,2008
Griffith Surrounds,42,10809,1904
Leeton,96,9183,1055
Narrandera,73,5052,774
Tumbarumba,15,3016,485
Tumut,57,5946,664
Tumut Surrounds,10,4184,547
Cootamundra,100,6898,711
Gundagai,27,3202,493
Junee,49,4968,1336
Temora,66,6001,535
