sa2,Has asthma,Does not have asthma,Not stated
Old Bar - Manning Point - Red Head,1232,10216,1037
Taree,2512,16326,2283
Taree Surrounds,1283,10605,1149
Wingham,605,4286,498
Albury - East,1746,14933,1151
Albury - North,1136,8332,1061
Albury - South,1033,8594,900
Albury Surrounds,1240,9981,1291
Lavington,1672,12548,1447
Hay,320,2160,415
Wentworth - Buronga,606,5052,855
Wentworth-Balranald Region,291,2719,642
Corowa,589,4529,477
Corowa Surrounds,736,5703,824
Deniliquin,734,5497,807
Deniliquin Surrounds,623,5452,768
Moama,616,5757,567
Tocumwal - Finley - Jerilderie,1056,7499,1223
Armidale,2257,18863,2846
Armidale Surrounds - North,408,3445,683
Armidale Surrounds - South,612,4794,479
Walcha,275,2494,374
Glen Innes,869,6832,1228
Inverell,1202,9464,1399
Inverell Surrounds - East,469,4049,688
Inverell Surrounds - West,537,4525,668
Tenterfield,630,5406,780
Moree,699,5513,1633
Moree Surrounds,383,3498,1470
Narrabri,739,5441,726
Narrabri Surrounds,475,3376,770
Gunnedah,959,7548,1240
Gunnedah Surrounds,449,3363,560
Quirindi,738,5749,1066
Tamworth - East,2515,16781,2056
Tamworth - North,1740,13169,1605
Tamworth - West,704,4301,988
Tamworth Surrounds,2101,15246,1689
Belmont - Bennetts Green,1824,14813,1225
Belmont South - Blacksmiths,570,4653,453
Charlestown - Dudley,2382,21247,1624
Glendale - Cardiff - Hillsborough,2522,20611,1455
Mount Hutton - Windale,1252,7299,958
Redhead,319,3172,293
Swansea - Caves Beach,1210,10506,846
Valentine - Eleebana,1150,10741,675
Warners Bay - Boolaroo,1465,12294,926
Bolton Point - Teralba,1102,8009,1025
Bonnells Bay - Silverwater,1047,7963,680
Edgeworth - Cameron Park,1741,13563,1072
Morisset - Cooranbong,1803,15027,1299
Toronto - Awaba,1496,11400,1065
Wangi Wangi - Rathmines,927,7801,740
West Wallsend - Barnsley - Killingworth,813,5961,476
Adamstown - Kotara,1454,14179,968
Beresfield - Hexham,1028,6837,690
Hamilton - Broadmeadow,1215,10370,1185
Lambton - New Lambton,1618,14580,1150
Maryland - Fletcher - Minmi,1698,13815,919
Mayfield - Warabrook,1630,12766,1132
Merewether - The Junction,1161,12414,925
Newcastle - Cooks Hill,1087,10738,984
Newcastle Port - Kooragang,4,22,5
Shortland - Jesmond,1254,9665,1674
Stockton - Fullerton Cove,777,7292,759
Wallsend - Elermore Vale,2212,17285,1461
Waratah - North Lambton,1237,10527,1120
Wickham - Carrington - Tighes Hill,861,7711,599
Ballina,1515,15491,1625
Ballina Surrounds,1576,15377,1373
Bangalow,441,5592,927
Brunswick Heads - Ocean Shores,598,7517,1051
Byron Bay,635,9041,1238
Evans Head,533,4457,655
Lennox Head - Skennars Head,658,7824,752
Mullumbimby,489,7020,1383
Casino,1371,9529,1392
Casino Surrounds,679,5636,1072
Goonellabah,1623,10854,1119
Kyogle,693,6018,900
Lismore,1642,11953,1638
Lismore Surrounds,1147,12808,1829
Kingscliff - Fingal Head,1213,12396,1203
Murwillumbah,916,7590,1002
Murwillumbah Surrounds,731,8245,1374
Pottsville,994,11702,1389
Tweed Heads,1577,16867,2122
Banora Point,1440,13662,1223
Terranora - North Tumbulgum,254,2802,264
Tweed Heads South,891,6831,704
Griffith (NSW),1819,16743,2008
Griffith Surrounds,1405,9450,1904
Leeton,1187,8096,1055
Narrandera,668,4460,774
Tumbarumba,333,2697,485
Tumut,764,5233,664
Tumut Surrounds,455,3743,547
Cootamundra,841,6155,711
Gundagai,329,2895,493
Junee,667,4349,1336
Temora,757,5313,535
Wagga Wagga - East,1925,13821,1178
Wagga Wagga - North,570,4523,505
Wagga Wagga - South,2617,18119,1786
Wagga Wagga - West,1399,9382,1185
Wagga Wagga Surrounds,1853,14161,1772
Berry - Kangaroo Valley,719,8035,732
Callala Bay - Currarong,317,3047,285
Culburra Beach,444,4300,357
Ettrema - Sassafras - Budawang,4,55,8
Huskisson - Vincentia,354,4104,390
North Nowra - Bomaderry,1593,13183,1320
Nowra,2247,17277,3063
St Georges Basin - Erowal Bay,1532,12361,1368
Sussex Inlet - Berrara,407,3795,496
Tomerong - Wandandian - Woollamia,295,3039,371
Ulladulla,1412,14242,1375
Ulladulla Surrounds,441,4846,530
Bowral,982,11645,999
Hill Top - Colo Vale,620,5354,420
Mittagong,889,9294,737
Moss Vale - Berrima,962,8735,954
Robertson - Fitzroy Falls,322,3174,338
Southern Highlands,570,6098,580
Baulkham Hills - East,1533,22103,1092
Baulkham Hills (West) - Bella Vista,1312,19388,987
Glenhaven,435,5598,334
West Pennant Hills,834,11327,528
Castle Hill - Central,510,6822,337
Castle Hill - East,331,4797,545
Castle Hill - North,788,10839,568
Castle Hill - South,632,9290,491
Castle Hill - West,292,4707,182
Cherrybrook,1137,17178,768
Kellyville - East,1166,15845,694
Kellyville - West,577,10241,561
Dural - Kenthurst - Wisemans Ferry,1471,19587,1421
Galston - Laughtondale,363,4644,419
Bilpin - Colo - St Albans,202,2292,349
Kurrajong Heights - Ebenezer,1794,18964,1404
Pitt Town - McGraths Hill,807,9714,896
Box Hill - Nelson,624,9167,492
North Kellyville,962,15474,969
Rouse Hill - Beaumont Hills,1088,15799,692
Blacktown (East) - Kings Park,983,14557,1495
Blacktown (North) - Marayong,1437,17511,1630
Doonside - Woodcroft,1739,19889,1754
Lalor Park - Kings Langley,2117,21315,1934
Blacktown - South,895,10765,984
Blacktown - West,1141,14570,1431
Seven Hills - Prospect,1051,12785,1030
Toongabbie - West,727,10058,790
Glenwood,1027,14198,610
Acacia Gardens,252,3325,93
Quakers Hill,1698,21550,1424
Kellyville Ridge - The Ponds,1341,18802,911
Marsden Park - Shanes Park,784,13823,924
Riverstone,1066,11656,1124
Schofields (West) - Colebee,547,8875,592
Schofields - East,1278,22297,1549
Stanhope Gardens - Parklea,788,10421,1821
Bidwill - Hebersham - Emerton,2035,13853,2646
Glendenning - Dean Park,681,7110,575
Hassall Grove - Plumpton,1648,18113,1660
Lethbridge Park - Tregear,2357,16412,2787
Mount Druitt - Whalan,1786,18725,2413
Prospect Reservoir,0,7,4
Rooty Hill - Minchinbury,1662,19210,1953
Banksmeadow,17,395,92
Botany,901,11091,972
Pagewood - Hillsdale - Daceyville,922,12688,1152
Port Botany Industrial,0,3,0
Sydney Airport,0,17,4
Eastlakes,591,7714,640
Mascot,1012,19019,1540
Petersham - Stanmore,1821,16653,1431
Sydenham - Tempe - St Peters,701,7077,501
Marrickville - North,1015,10420,873
Marrickville - South,1164,12137,973
Darlinghurst,762,8887,968
Erskineville - Alexandria,1624,16294,1213
Glebe - Forest Lodge,1631,16953,1673
Potts Point - Woolloomooloo,1289,14861,2041
Surry Hills,1134,13226,1471
Camperdown - Darlington,748,6998,584
Chippendale,405,6663,739
Newtown (NSW),1299,12394,977
Pyrmont,727,10810,1120
Redfern,1086,11305,1280
Rosebery - Beaconsfield,677,10745,870
Sydney (North) - Millers Point,413,6834,750
Sydney (South) - Haymarket,542,17667,1724
Ultimo,344,6441,630
Waterloo,1118,13572,1691
Zetland,690,11165,763
Bondi - Tamarama - Bronte,1166,16381,1508
Bondi Beach - North Bondi,1258,17723,1728
Bondi Junction - Waverly,1093,15174,1453
