"sa2_name_2021","in_wslhd","in_metro","pop_size","australia_total","overseas","not_stated_cob","english","non_english","not_stated_lang"
"Roselands",0,1,14577,8191,5705,653,5320,8522,732
"Lakemba",0,1,17092,5471,10230,1381,2829,12442,1793
"Wiley Park",0,1,10135,3446,5862,817,1825,7301,978
"Campsie - North",0,1,11905,3310,7954,621,2219,8907,767
"Campsie - South",0,1,9059,2188,5945,882,1527,6483,1041
"Canterbury - South",0,1,12220,5410,5988,783,4065,7124,996
"Earlwood",0,1,17969,11123,6211,618,8954,8255,723
"Kingsgrove - North",0,1,6261,3621,2371,263,2537,3444,277
"Narwee - Beverly Hills",0,1,13791,6574,6646,558,5107,8075,612
"Oatley - Hurstville Grove",0,1,12594,8251,4002,314,7650,4608,339
"Peakhurst - Lugarno",0,1,20220,13856,5626,716,12446,6792,968
"Riverwood",0,1,11606,4384,6425,767,3545,7217,806
"South Hurstville - Blakehurst",0,1,25259,12136,12110,971,9506,14597,1128
"Hurstville - Central",0,1,12046,2681,8837,515,1753,9662,634
"Hurstville - North",0,1,12109,4758,6972,387,3076,8426,602
"Mortdale - Oatley",0,1,14715,9336,4923,425,8893,5330,515
"Penshurst",0,1,9528,4076,4938,496,3556,5350,644
"Kingsgrove (South) - Bardwell Park",0,1,12973,7504,5011,408,5663,6842,460
"Kogarah",0,1,13051,4978,7369,687,4220,7807,1005
"Kogarah Bay - Carlton - Allawah",0,1,16200,7659,7873,658,6182,9186,804
"Monterey - Brighton-le-Sands - Kyeemagh",0,1,13896,7450,5637,815,6303,6710,879
"Rockdale - Banksia",0,1,19853,7380,11429,1004,6208,12361,1266
"Sans Souci - Ramsgate",0,1,16659,10615,5194,872,9484,6212,957
"Arncliffe - Bardwell Valley",0,1,16579,7822,7579,1153,6322,8869,1377
"Bexley - North",0,1,10145,5774,4006,374,4147,5326,682
"Bexley - South",0,1,15831,6876,8320,624,5140,9786,872
"Wolli Creek",0,1,10731,2493,7615,620,2788,7206,736
"Concord - Mortlake - Cabarita",0,1,23113,14232,8109,745,13942,8397,754
"Drummoyne - Rodd Point",0,1,18366,12488,5133,704,13288,4317,731
"Five Dock - Abbotsford",0,1,20933,13415,6736,742,13634,6338,926
"Concord West - North Strathfield",0,1,12842,6690,5521,622,6422,5740,665
"Rhodes",0,1,11453,2697,8210,490,2404,8444,565
"Balmain",0,1,15579,10279,4641,599,13162,1780,624
"Lilyfield - Rozelle",0,1,13824,9293,3934,560,11173,2043,582
"Annandale (NSW)",0,1,9464,6531,2426,473,7659,1298,508
"Leichhardt",0,1,17532,11885,5011,598,13532,3321,670
"Canterbury (North) - Ashbury",0,1,11999,6532,5077,388,6338,5157,458
"Croydon Park - Enfield",0,1,17434,9821,6739,820,8850,7711,862
"Dulwich Hill - Lewisham",0,1,17948,11326,5691,904,12283,4716,922
"Haberfield - Summer Hill",0,1,13520,9034,4052,393,9505,3583,459
"Homebush",0,1,20822,5618,13987,1163,4719,14753,1343
"Strathfield South",0,1,3636,1823,1653,105,1453,2025,135
"Ashfield - North",0,1,11456,5118,5871,448,5309,5600,549
"Ashfield - South",0,1,12246,5802,6038,433,5713,6009,530
"Burwood (NSW)",0,1,15942,3722,11254,917,2931,12011,998
"Croydon",0,1,10993,5541,5040,390,4946,5633,420
"Strathfield - East",0,1,16420,4353,11209,858,3802,11528,1045
"Strathfield - West",0,1,9253,4648,4298,328,3697,5191,350
"Chatswood (West) - Lane Cove North",0,1,21294,10478,10045,712,11620,8849,820
"St Leonards - Naremburn",0,1,11903,5836,5608,444,7118,4259,507
"Artarmon",0,1,9406,4398,4662,330,4753,4264,372
"Castle Cove - Northbridge",0,1,13440,8761,4349,325,10108,2976,373
"Chatswood - East",0,1,19601,6586,12291,724,6640,12110,836
"Greenwich - Riverview",0,1,12928,8458,4131,318,10076,2489,372
"Lane Cove",0,1,15888,9260,6147,446,10737,4584,514
"Willoughby",0,1,12996,8237,4397,336,8928,3670,382
"Asquith - Mount Colah",0,1,22057,13627,8035,407,15079,6478,481
"Berowra - Brooklyn - Cowan",0,1,11790,8887,2759,150,10267,1326,200
"Normanhurst - Thornleigh - Westleigh",0,1,19158,12105,6727,295,13215,5454,460
"Hornsby - East",0,1,11943,4421,7053,409,4292,7075,531
"Hornsby - West",0,1,10629,5852,4445,307,6164,4089,353
"Wahroonga (West) - Waitara",0,1,11877,4646,6753,431,4812,6565,510
"Gordon - Killara",0,1,22433,10595,11185,584,11545,10218,683
"Lindfield - Roseville",0,1,24599,14049,9953,588,15593,8334,642
"Pymble",0,1,17221,9883,6975,340,11157,5623,429
"St Ives",0,1,21665,10978,10290,384,13970,7229,468
"Turramurra",0,1,20251,12435,7444,357,14687,5097,449
"Wahroonga (East) - Warrawee",0,1,18191,10852,6908,392,12769,4961,472
"Cremorne - Cammeray",0,1,18905,11578,6689,574,14616,3641,635
"Crows Nest - Waverton",0,1,17916,10250,7129,518,12867,4490,598
"Neutral Bay - Kirribilli",0,1,17183,9848,6440,869,12866,3404,895
"North Sydney - Lavender Bay",0,1,12441,5982,5702,726,7876,3800,753
"Mosman - North",0,1,13763,8193,5022,500,10636,2551,528
"Mosman - South",0,1,14565,9229,4913,393,12039,2078,456
"Balgowlah - Clontarf - Seaforth",0,1,20732,13586,6599,494,17307,2872,537
"Manly - Fairlight",0,1,22438,12913,8598,869,18257,3204,958
"Avalon - Palm Beach",0,1,13052,9622,2986,406,11830,773,434
"Bayview - Elanora Heights",0,1,11243,7997,2822,412,9825,979,437
"Newport - Bilgola",0,1,13681,10065,3222,364,12340,924,396
"Mona Vale - Warriewood (North)",0,1,14634,10397,3568,640,12208,1564,848
"North Narrabeen - Warriewood (South)",0,1,10874,8019,2521,373,9259,1181,415
"Beacon Hill - Narraweena",0,1,14547,9747,4315,424,10847,3166,532
"Cromer",0,1,8046,5818,1937,264,6757,992,280
"Forestville - Killarney Heights",0,1,13161,8439,4354,357,9460,3284,388
"Freshwater - Brookvale",0,1,21828,14073,6979,741,17569,3462,786
"Manly Vale - Allambie Heights",0,1,17550,11656,5478,381,14359,2692,478
"Terrey Hills - Duffys Forest",0,1,3786,2833,862,85,3334,352,98
"Belrose",0,1,8652,6043,2461,143,7080,1382,167
"Collaroy - Collaroy Plateau",0,1,13980,9995,3464,469,11685,1787,491
"Dee Why (South) - North Curl Curl",0,1,9116,6005,2826,298,7305,1478,335
"Dee Why - North",0,1,17816,8705,8497,587,10332,6760,758
"Frenchs Forest - Oxford Falls",0,1,17175,11845,5020,281,14001,2819,334
"Narrabeen - Wheeler Heights",0,1,11241,8108,2696,408,9608,1131,469
"Camden - Ellis Lane",0,1,13295,11099,1745,428,12097,726,460
"Currans Hill",0,1,6445,5037,1270,135,5108,1119,199
"Elderslie - Narellan",0,1,14019,11486,2078,414,12099,1464,452
"Harrington Park",0,1,11241,8742,2251,233,8936,2029,277
"Mount Annan",0,1,19040,15216,3329,448,15926,2564,535
"Spring Farm",0,1,9539,7755,1582,183,7831,1508,231
"Bradbury - Wedderburn",0,1,20011,14098,4694,1197,14240,4471,1302
"Campbelltown - Woodbine",0,1,22084,12722,7927,1393,12913,7616,1555
"Claymore - Eagle Vale - Raby",0,1,20236,13465,5680,1072,13265,5748,1190
"Holsworthy Military Area",0,1,5,0,0,0,0,5,0
"Leumeah - Minto Heights",0,1,16729,11170,4713,806,11520,4297,913
"Minto - St Andrews",0,1,21335,11473,8761,1103,10362,9504,1447
"Rosemeadow - Glen Alpine",0,1,21155,14368,5489,1275,14857,4839,1409
"Denham Court - Bardia",0,1,14868,7496,6885,448,5962,8254,643
"Glenfield",0,1,10536,4847,5210,487,4260,5531,733
"Ingleburn",0,1,16720,8862,6962,836,8693,7017,991
"Macquarie Fields",0,1,14198,7481,5682,1000,6917,6132,1137
"Bargo",0,1,5934,5010,655,252,5348,319,257
"Douglas Park - Appin",0,1,11112,9220,1231,627,9870,591,642
"Picton - Tahmoor - Buxton",0,1,18987,15969,2078,910,17106,956,910
"The Oaks - Oakdale",0,1,9808,8145,1070,577,8699,574,509
"Blackheath - Megalong Valley",0,1,5764,4202,1191,351,5027,403,332
"Blaxland - Warrimoo - Lapstone",0,1,18993,15811,2780,387,17505,1058,408
"Blue Mountains - North",0,1,7,4,4,0,7,0,0
"Katoomba - Leura",0,1,13348,9680,3036,582,11432,1296,602
"Lawson - Hazelbrook - Linden",0,1,11445,9213,1891,325,10417,690,312
"Springwood - Winmalee",0,1,21964,18101,3274,575,20241,1065,618
"Wentworth Falls",0,1,6428,4782,1264,352,5639,405,357
"Blue Mountains - South",0,1,8,5,0,0,4,0,4
"Cambridge Park",0,1,16004,12557,2598,856,13407,1662,907
"Emu Plains - Leonay",0,1,13914,11410,2099,405,12516,937,483
"Glenmore Park - Regentville",0,1,21002,16357,4164,466,17296,3141,537
"Jamisontown - South Penrith",0,1,17326,13400,3094,787,14529,1989,809
"Kingswood - Werrington",0,1,24625,15356,7589,1654,15596,7224,1780
"Mulgoa - Luddenham - Orchard Hills",0,1,12040,9338,2351,329,9457,2220,356
"Penrith",0,1,17966,11816,4372,1751,12922,3236,1772
"Warragamba - Silverdale",0,1,6025,5219,590,192,5336,454,206
"Cranebrook - Castlereagh",0,1,17029,13700,2550,752,14576,1644,798
"Jordan Springs - Llandilo",0,1,13388,8957,4070,371,8754,4186,427
"Richmond - Clarendon",0,1,15239,11971,2431,860,12938,1386,908
"Windsor - Bligh Park",0,1,15264,12430,2026,780,13317,1124,808
"Yarramundi - Londonderry",0,1,7504,5930,1102,426,5278,734,1465
"Erskine Park",0,1,6486,4586,1636,242,4761,1474,261
"St Clair",0,1,19942,13692,5379,853,14150,4885,919
"Colyton - Oxley Park",0,1,13028,8065,4000,939,8022,3969,1027
"St Marys - North St Marys",0,1,17325,10183,5269,1861,10606,4783,1944
"Rookwood Cemetery",1,1,3,3,0,0,3,0,0
"Auburn - Central",1,1,19487,5262,12574,1646,2236,15277,1923
"Auburn - North",1,1,10592,2000,7954,609,935,8840,784
"Auburn - South",1,1,8860,3621,4521,723,1588,6432,824
"Berala",1,1,8610,3071,5013,485,1825,6236,538
"Lidcombe",1,1,21197,6484,13784,909,4137,15821,1206
"Regents Park",1,1,5138,2116,2808,226,1297,3589,254
"Silverwater - Newington",1,1,9246,4725,4210,306,3271,4359,1587
"Wentworth Point - Sydney Olympic Park",1,1,20412,6432,12906,1037,5821,13384,1183
"Ermington - Rydalmere",1,1,24641,12900,10550,1146,11613,11696,1288
"Oatlands - Dundas Valley",1,1,18508,9130,8456,870,7869,9629,967
"Carlingford - East",1,1,11622,5388,6001,244,4653,6608,332
"Carlingford - West",1,1,19251,8105,10612,542,6317,12270,630
"Chester Hill - Sefton",0,1,20842,9774,9462,1605,5511,13005,2295
"Fairfield - East",0,1,15742,6479,7837,1395,3642,10517,1585
"Granville - Clyde",1,1,23250,8395,13029,1836,5154,15973,2126
"Guildford - South Granville",1,1,22386,10406,9497,2461,5185,14547,2638
"Guildford West - Merrylands West",1,1,22929,11202,9936,1788,7971,12958,1990
"Smithfield Industrial",1,1,10,6,3,0,5,6,0
"Yennora Industrial",1,1,12,0,6,0,3,8,0
"Greystanes - South",1,1,16645,10734,5210,704,9454,6338,825
"Merrylands - Holroyd",1,1,23806,9443,12130,2210,6376,14998,2467
"Pemulwuy - Greystanes (North)",1,1,10893,6427,4046,394,5701,4610,569
"South Wentworthville",1,1,7305,3612,3171,523,2719,4014,584
"North Parramatta",1,1,22878,9182,12219,1472,9110,12070,1609
"North Rocks",1,1,8451,4878,3313,210,4734,3455,236
"Northmead",1,1,20275,9081,10216,981,8862,10252,1116
"Toongabbie - Constitution Hill",1,1,22853,11845,9858,1128,11233,10373,1246
"Winston Hills",1,1,11199,7685,3360,158,7797,3197,181
"Pendle Hill - Girraween",1,1,13939,4871,8248,798,3571,9295,1017
"Wentworthville - Westmead",1,1,21568,6037,14068,1438,4681,15207,1672
"Parramatta - North",1,1,12062,2249,9020,740,2381,8827,831
"Parramatta - South",1,1,9867,2411,6895,547,2071,7181,635
"Rosehill - Harris Park",1,1,9034,2224,6236,531,1970,6459,600
"Pennant Hills - Cheltenham",0,1,21737,13170,8085,467,13715,7407,617
"Epping (East) - North Epping",1,1,14404,6145,7867,360,5949,8034,417
"Epping (NSW) - West",1,1,18690,7099,11073,473,5814,12301,552
"Gladesville - Huntleys Point",0,1,15456,10165,4849,433,10887,3971,584
"Hunters Hill - Woolwich",0,1,9844,6805,2609,366,7349,1758,724
"Macquarie Park - Marsfield",0,1,23818,8822,14026,969,9141,13533,1107
"North Ryde - East Ryde",0,1,15622,8204,6818,576,8207,6588,777
"West Ryde - Meadowbank",0,1,20102,8903,10581,600,8540,10803,748
"Putney",0,1,4163,2747,1261,126,2745,1287,122
"Denistone",0,1,6969,3904,2883,149,3637,3152,176
"Eastwood",1,1,18974,7148,11134,679,5702,12564,729
"Ryde - North",0,1,20291,10446,9097,720,10072,9370,820
"Ryde - South",0,1,11972,4994,6467,470,4750,6619,606
"Ashcroft - Busby - Miller",0,1,17962,9599,6622,1735,6740,9340,1869
"Austral - Greendale",0,1,12533,7215,4488,795,5800,5646,1062
"Badgerys Creek",0,1,25,16,10,0,19,9,0
"Cecil Hills",0,1,6906,3646,3012,207,2617,3977,299
"Green Valley",0,1,12919,5783,6604,528,3547,8650,705
"Hinchinbrook",0,1,13038,6536,5979,470,4435,7932,635
"Hoxton Park - Carnes Hill - Horningsea Park",0,1,13263,6902,5876,475,5118,7466,636
"West Hoxton - Middleton Grange",0,1,17194,9726,6866,564,7541,8837,799
"Cobbitty - Bringelly",0,1,4761,3714,813,206,3876,626,218
"Gledswood Hills - Gregory Hills",0,1,14299,9509,4355,391,8716,5047,537
"Leppington - Catherine Field",0,1,12559,7527,4589,429,6469,5596,505
"Oran Park",0,1,17624,10964,6032,660,9946,6868,818
"Bonnyrigg Heights - Bonnyrigg",0,1,17154,7235,9158,760,4234,11944,990
"Bossley Park - Abbotsbury",0,1,19690,8969,9844,860,6750,11777,1187
"Cabramatta - Lansvale",0,1,24101,7419,15237,1451,3600,18731,1758
"Cabramatta West - Mount Pritchard",0,1,18249,8058,8997,1172,4948,11976,1301
"Canley Vale - Canley Heights",0,1,22261,7953,13046,1227,3800,16942,1475
"Edensor Park",0,1,10279,4498,5379,362,2884,6791,602
"Fairfield",0,1,18248,5026,11979,1249,2885,13826,1559
"Fairfield - West",0,1,21249,7386,12642,1185,4332,15282,1620
"Greenfield Park - Prairiewood",0,1,8855,3433,5053,349,1946,6352,543
"Horsley Park - Kemps Creek",0,1,4344,2852,1228,250,2421,1652,261
"Smithfield - Wetherill Park",0,1,19510,8328,10262,900,6179,12148,1171
"St Johns Park - Wakeley",0,1,11197,4312,6491,373,2355,8330,507
"Wetherill Park Industrial",0,1,37,7,25,5,10,19,5
"Casula",0,1,16584,8424,7349,761,6298,9290,961
"Chipping Norton - Moorebank",0,1,20813,13076,6880,805,11072,8833,898
"Holsworthy - Wattle Grove",0,1,21129,13990,6455,668,13426,6607,1078
"Lurnea - Cartwright",0,1,12670,6242,5292,1116,4216,7271,1180
"Warwick Farm",0,1,5937,2041,3299,604,1715,3583,624
"Edmondson Park",0,1,12080,5331,6146,593,3881,7438,750
"Liverpool - East",0,1,17536,5436,10176,1880,4079,11383,2099
"Liverpool - West",0,1,13737,5148,7475,1079,3601,8891,1186
"Prestons",0,1,15692,8308,6723,630,6176,8700,817
"Gymea - Grays Point",0,1,18156,14554,3169,417,15845,1845,452
"Miranda - Yowie Bay",0,1,20705,14457,5442,792,15393,4437,852
"Sylvania - Taren Point",0,1,16430,11559,4264,582,11011,4623,776
"Caringbah",0,1,12858,9552,2729,542,10328,1929,598
"Caringbah South",0,1,13015,10712,1900,388,11548,1035,396
"Cronulla - Kurnell - Bundeena",0,1,24374,19214,4151,1006,21132,2071,1142
"Lilli Pilli - Port Hacking - Dolans Bay",0,1,3369,2877,385,60,3021,278,59
"Woolooware - Burraneer",0,1,8947,7332,1374,204,7898,840,210
"Heathcote - Waterfall",0,1,6673,5728,762,147,6045,328,310
"Illawong - Alfords Point",0,1,10554,7904,2445,176,7699,2623,220
"Menai - Lucas Heights - Woronora",0,1,20927,16848,3741,320,17472,3014,446
"Oyster Bay - Como - Jannali",0,1,22063,17069,4413,535,18764,2691,587
"Royal National Park",0,1,42,28,0,16,31,0,16
"Sutherland - Kirrawee",0,1,23238,17034,5463,734,18127,4069,1037
"Engadine",0,1,17356,14729,2251,357,15857,1087,402
"Loftus - Yarrawarrah",0,1,7348,6281,894,144,6792,387,139
"Woronora Heights",0,1,3539,2991,484,37,3261,214,56
"Migratory - Offshore - Shipping (NSW)",0,0,0,0,0,0,0,0,0
"No usual address (NSW)",0,0,11371,5910,1853,3545,6417,1106,3803
