"sa2_name_2021","in_wslhd","in_metro","pop_size","australia_total","overseas","not_stated_cob","english","non_english","not_stated_lang"
"Maclean - Yamba - Iluka",0,0,17533,14445,1861,1217,15957,516,1035
"Bellingen",0,0,6168,4699,935,511,5366,285,511
"Coffs Harbour - North",0,0,18099,13941,2940,1215,14915,1958,1202
"Coffs Harbour - South",0,0,11305,8148,2162,958,8881,1424,990
"Coramba - Nana Glen - Bucca",0,0,3950,3212,404,303,3490,185,283
"Dorrigo",0,0,3250,2545,329,348,2846,80,304
"Korora - Emerald Beach",0,0,10262,8278,1607,333,9308,593,351
"Sawtell - Boambee",0,0,20066,16732,2295,1038,18140,842,1032
"Urunga",0,0,4907,4067,444,371,4453,109,328
"Woolgoolga - Arrawarra",0,0,14463,11030,2672,759,11552,2105,782
"Bourke - Brewarrina",0,0,3428,2652,134,610,2723,118,560
"Cobar",0,0,4129,3177,267,653,3339,190,608
"Coonamble",0,0,3926,3226,110,577,3309,77,537
"Nyngan - Warren",0,0,4591,3843,252,480,4001,148,432
"Walgett - Lightning Ridge",0,0,5534,3620,423,1464,3819,241,1432
"Broken Hill",0,0,17588,15119,862,1567,15480,570,1513
"Far West",0,0,2288,1778,82,420,1845,20,407
"Coonabarabran",0,0,7921,6280,463,1173,6608,162,1121
"Dubbo - East",0,0,10633,8764,928,930,8891,785,951
"Dubbo - South",0,0,19628,15684,2411,1480,15832,2261,1529
"Dubbo - West",0,0,10317,8351,997,944,8584,786,931
"Dubbo Surrounds",0,0,5963,5110,213,617,5362,55,549
"Gilgandra",0,0,4398,3700,140,550,3817,57,514
"Narromine",0,0,6458,5278,242,927,5455,99,885
"Wellington",0,0,8769,7161,623,954,6876,244,1635
"Branxton - Greta - Pokolbin",0,0,12770,11124,1156,501,11824,461,486
"Cessnock",0,0,23495,20527,1710,1228,20213,624,2660
"Cessnock Surrounds",0,0,9145,7859,743,531,8479,169,480
"Dungog",0,0,9541,8492,491,530,9027,82,417
"Kurri Kurri - Abermain",0,0,20631,18535,1106,970,19132,513,980
"Singleton",0,0,17018,14527,1511,928,15368,687,943
"Singleton Surrounds",0,0,5332,4500,310,484,4787,74,446
"Maitland",0,0,8611,7508,732,329,7764,495,352
"Maitland - North",0,0,8727,7818,650,258,8213,241,262
"East Maitland - Metford",0,0,17981,15318,1872,772,15963,1206,791
"Rutherford (North) - Aberglasslyn",0,0,17730,15331,1618,772,15988,972,748
"Rutherford (South) - Telarah",0,0,7976,6957,533,460,7196,320,447
