sa2,Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Bachelor Degree Level,Advanced Diploma and Diploma Level,Certificate III & IV Level,Secondary Education - Years 10 and above,Certificate I & II Level,Secondary Education - Years 9 and below,Supplementary Codes,Not stated,Not applicable
Dural - Kenthurst - Wisemans Ferry,1173,362,3369,2030,3202,5314,11,1068,823,1054,4074
Galston - Laughtondale,312,104,859,518,773,1219,6,263,188,276,918
Bilpin - Colo - St Albans,119,51,283,248,563,618,4,150,65,303,442
Kurrajong Heights - Ebenezer,663,347,2054,1895,4684,5423,14,1354,595,850,4292
Pitt Town - McGraths Hill,233,125,951,890,2316,2909,8,755,315,539,2383
Box Hill - Nelson,880,183,2026,831,1043,1539,3,324,223,311,2929
North Kellyville,1678,308,3476,1396,1311,2951,0,444,355,677,4806
Rouse Hill - Beaumont Hills,1455,315,3390,1526,1642,3873,0,629,432,405,3911
Blacktown (East) - Kings Park,1300,233,2694,1420,1658,3798,14,825,591,1343,3150
Blacktown (North) - Marayong,1263,208,2900,1489,2150,5071,18,1335,614,1331,4203
Doonside - Woodcroft,1327,261,3944,1656,2170,5790,17,1297,754,1482,4687
Lalor Park - Kings Langley,1376,379,3429,1910,3072,6219,15,1582,802,1567,5012
Blacktown - South,680,153,1605,980,1315,3266,10,832,421,819,2568
Blacktown - West,983,162,2323,1270,1714,4333,10,1148,587,1340,3264
Seven Hills - Prospect,1006,198,2288,1149,1663,3701,9,902,477,820,2642
Toongabbie - West,1143,174,1954,798,980,2481,3,590,329,693,2425
Glenwood,1614,263,3251,1231,1221,3488,3,566,452,422,3310
Acacia Gardens,293,61,700,301,386,796,0,133,101,93,818
Quakers Hill,2089,361,4247,1919,2623,5079,8,972,658,990,5732
Kellyville Ridge - The Ponds,2028,351,4137,1603,1572,3922,4,622,492,678,5643
Marsden Park - Shanes Park,1545,219,3196,1050,1098,2415,3,424,287,654,4644
Riverstone,822,183,1958,927,1764,2896,11,727,337,795,3426
Schofields (West) - Colebee,976,152,2111,644,798,1754,0,278,191,407,2699
Schofields - East,2940,376,5341,1713,1676,3826,6,593,491,1134,7042
Stanhope Gardens - Parklea,1158,225,2433,861,907,2345,0,480,295,1666,2654
Bidwill - Hebersham - Emerton,239,72,852,794,1855,5673,24,1803,558,2010,4649
Glendenning - Dean Park,303,58,1091,644,1039,2189,0,426,217,492,1903
Hassall Grove - Plumpton,742,203,2924,1491,2357,5966,0,1178,625,1191,4731
Lethbridge Park - Tregear,587,151,1380,1024,2220,5994,22,1853,538,2038,5752
Mount Druitt - Whalan,862,149,2351,1298,2066,6211,14,1848,843,1828,5451
Prospect Reservoir,0,0,3,3,0,3,0,0,0,4,0
Rooty Hill - Minchinbury,886,223,3249,1533,2467,5882,11,1416,761,1719,4674
Banksmeadow,53,11,118,42,36,82,0,10,11,87,59
Botany,792,208,2157,1128,1574,2896,5,571,350,806,2482
Pagewood - Hillsdale - Daceyville,1174,220,2505,1195,1553,3441,4,715,452,1100,2403
Port Botany Industrial,0,0,0,0,0,0,0,0,0,0,0
Sydney Airport,6,0,6,0,0,4,0,0,0,4,0
Eastlakes,618,112,1436,674,810,2175,3,704,430,592,1395
Mascot,2502,288,5390,2172,1677,4249,7,646,617,1493,2535
Petersham - Stanmore,2547,631,5606,1503,1295,3402,5,743,526,1170,2472
Sydenham - Tempe - St Peters,830,205,2114,633,675,1581,4,347,263,378,1251
Marrickville - North,1297,360,3060,887,930,2210,6,676,452,692,1742
Marrickville - South,1415,352,3400,1094,1061,2830,9,902,610,809,1800
Darlinghurst,1638,328,3694,886,573,1683,0,112,217,923,559
Erskineville - Alexandria,3055,659,6515,1518,1123,2586,5,268,377,942,2084
Glebe - Forest Lodge,3485,633,5844,1449,1065,3388,10,515,453,1430,1999
Potts Point - Woolloomooloo,2757,594,5860,1643,1088,2742,8,264,509,1951,770
Surry Hills,2360,473,5374,1295,827,2467,6,333,383,1431,877
Camperdown - Darlington,1231,232,2518,474,387,2184,0,103,120,471,625
Chippendale,1367,155,2614,615,289,1553,0,77,112,751,278
Newtown (NSW),2144,486,4606,1105,919,2600,9,309,279,800,1417
Pyrmont,1872,346,3673,1162,712,2007,12,223,329,1036,1298
Redfern,1768,366,3953,1054,833,2374,8,459,394,1304,1162
Rosebery - Beaconsfield,1666,243,3425,1044,923,2130,5,334,329,768,1419
Sydney (North) - Millers Point,1368,221,2677,748,323,1221,0,102,198,714,432
Sydney (South) - Haymarket,2439,271,5850,3061,813,3542,19,297,674,1984,984
Ultimo,1134,134,2165,722,347,1426,0,163,202,640,485
Waterloo,2141,353,4682,1350,1104,2900,9,453,413,1696,1270
Zetland,2155,271,4071,1009,809,2141,0,121,266,749,1023
Bondi - Tamarama - Bronte,2252,446,5848,1535,1117,2779,3,401,438,1356,2887
Bondi Beach - North Bondi,2458,457,6650,1534,1140,3097,8,372,484,1426,3090
Bondi Junction - Waverly,2059,418,5103,1312,1089,2712,6,382,438,1512,2685
Centennial Park,0,0,0,0,0,0,0,0,0,0,0
Dover Heights,1098,262,3007,914,574,1983,7,278,261,593,2153
Paddington - Moore Park,2253,438,5054,1020,570,2152,8,245,310,843,1910
Rose Bay - Vaucluse - Watsons Bay,1297,283,3213,852,467,2364,0,332,310,761,2047
Woollahra,1087,194,2403,492,259,1084,0,145,172,480,1151
Bellevue Hill,1801,369,4345,1064,554,2542,4,293,312,844,2301
Double Bay - Darling Point,1400,272,3257,747,379,1688,0,166,257,675,1125
Kensington (NSW),1493,233,2915,880,708,2768,3,279,287,829,1423
Kingsford,1846,250,3114,991,887,2876,3,593,400,784,1870
Maroubra - North,1012,209,2250,778,691,1870,3,470,297,644,1565
Maroubra - South,1075,223,2234,885,962,2207,12,521,295,814,1852
Maroubra - West,979,203,2252,833,857,1964,0,420,347,467,1508
Randwick - North,2078,427,4543,1177,1090,2384,0,385,382,1133,2596
Randwick - South,1683,333,3490,913,853,2372,0,323,265,832,1669
Coogee - Clovelly,2607,584,5939,1467,1372,2851,5,370,428,968,2929
Malabar - La Perouse,804,159,1634,793,1105,2006,3,462,323,1713,1605
Matraville - Chifley,767,186,1899,1070,1568,3319,6,769,449,844,2534
South Coogee,512,112,1111,408,366,1130,0,265,170,427,1109
Bass Hill - Georges Hall,547,161,1977,1514,2220,6615,14,1890,1041,2313,5560
Chullora,111,20,324,106,90,293,0,41,47,92,349
Condell Park,358,93,1272,841,1069,3735,7,920,537,949,2986
Padstow,837,257,2529,1387,1983,4526,10,1049,671,1045,2910
Revesby,763,227,2570,1387,1801,4515,3,1159,695,1187,3354
Yagoona - Birrong,720,161,2456,1485,1899,6408,16,1743,1042,1700,4851
Bankstown - North,992,158,2351,1228,1109,4452,12,1043,720,1290,3626
Bankstown - South,824,131,2289,1219,1204,5338,13,1234,915,1697,3574
Greenacre - North,579,103,1633,871,1152,4023,5,1122,674,1152,3325
Greenacre - South,521,107,1344,835,1059,3723,8,918,632,939,3332
Panania (North) - Milperra,514,134,1451,924,1456,2984,4,693,385,523,2258
Panania (South) - Picnic Point,751,250,2316,1343,2067,3996,9,910,516,659,3168
Belmore - Belfield,873,226,2727,1569,1835,5370,13,1557,1014,1698,3461
Punchbowl,813,155,2210,1424,1694,6190,4,1619,1126,1752,4549
