sa2,Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Bachelor Degree Level,Advanced Diploma and Diploma Level,Certificate III & IV Level,Secondary Education - Years 10 and above,Certificate I & II Level,Secondary Education - Years 9 and below,Supplementary Codes,Not stated,Not applicable
Merrylands - Holroyd,1192,235,2964,1709,1774,5912,19,1537,1329,2279,4847
Pemulwuy - Greystanes (North),620,150,1674,857,1062,2506,7,686,310,616,2406
South Wentworthville,359,64,943,537,694,1839,10,463,312,554,1529
North Parramatta,2757,453,5092,1751,1605,4182,9,791,643,1691,3912
North Rocks,802,197,1771,748,739,1635,5,333,282,274,1675
Northmead,2713,389,4624,1501,1468,3283,3,621,495,1183,3997
Toongabbie - Constitution Hill,1941,382,3751,1713,2216,5171,9,1251,810,1372,4239
Winston Hills,715,261,1960,946,1254,2464,5,491,385,315,2408
Pendle Hill - Girraween,1565,215,2503,864,853,2626,8,712,428,1025,3137
Wentworthville - Westmead,3351,326,4744,1231,1023,3367,12,741,583,1629,4557
Parramatta - North,2335,239,3682,790,408,1404,0,182,235,893,1886
Parramatta - South,1533,133,2293,762,473,1730,6,359,317,673,1590
Rosehill - Harris Park,1402,111,2052,704,467,1579,0,264,286,675,1492
Pennant Hills - Cheltenham,2894,629,5334,1724,1225,3734,8,641,580,838,4137
Epping (East) - North Epping,2375,369,3844,990,595,2257,10,418,357,485,2714
Epping (NSW) - West,2990,460,4807,1338,818,3107,7,467,472,644,3586
Gladesville - Huntleys Point,1451,379,3748,1408,1231,2798,6,652,437,744,2606
Hunters Hill - Woolwich,1097,275,2266,730,478,1847,7,354,245,812,1730
Macquarie Park - Marsfield,4038,492,6331,1689,1232,4217,10,624,647,1261,3270
North Ryde - East Ryde,1896,331,3655,1178,1098,2822,7,557,453,904,2718
West Ryde - Meadowbank,2596,430,5112,1728,1381,3517,4,671,624,866,3169
Putney,347,71,946,368,380,888,5,168,150,147,708
Denistone,844,173,1629,530,470,1290,3,285,226,244,1293
Eastwood,2488,377,4462,1477,1004,3902,4,712,596,946,3002
Ryde - North,1818,351,4257,1668,1830,4243,9,992,653,1005,3464
Ryde - South,1800,249,3214,911,719,1745,0,287,302,704,2035
Ashcroft - Busby - Miller,164,74,735,796,1667,5531,27,1920,896,1824,4337
Austral - Greendale,479,91,1280,766,1576,3143,7,975,470,1023,2725
Badgerys Creek,0,0,6,4,0,9,0,3,0,0,0
Cecil Hills,171,65,917,567,717,2130,0,456,357,307,1220
Green Valley,240,101,1209,887,1263,4106,13,1060,844,685,2519
Hinchinbrook,309,94,1362,1017,1392,3874,7,902,644,571,2856
Hoxton Park - Carnes Hill - Horningsea Park,383,100,1476,1056,1381,3699,9,783,564,625,3198
West Hoxton - Middleton Grange,477,146,1991,1375,1846,4648,8,954,682,705,4352
Cobbitty - Bringelly,151,61,476,420,800,1159,0,274,135,251,1028
Gledswood Hills - Gregory Hills,683,194,1933,1251,1914,2955,8,440,362,462,4086
Leppington - Catherine Field,617,158,1644,983,1496,2871,4,760,422,556,3056
Oran Park,881,192,2210,1358,2170,3733,6,609,429,756,5283
Bonnyrigg Heights - Bonnyrigg,268,79,1600,1116,1467,5436,15,1636,1334,1056,3151
Bossley Park - Abbotsbury,399,160,2024,1407,2042,5636,21,2187,1349,1078,3388
Cabramatta - Lansvale,378,76,2022,1262,1471,8138,28,2761,2187,2079,3696
Cabramatta West - Mount Pritchard,266,93,1456,968,1523,5926,22,1827,1322,1334,3507
Canley Vale - Canley Heights,314,105,2085,1142,1434,7297,36,2494,1845,1638,3877
Edensor Park,180,66,1071,672,1038,3073,9,1100,698,589,1772
Fairfield,289,108,1467,1069,1227,5060,31,2546,1799,1561,3078
Fairfield - West,277,88,1561,1198,1602,6261,26,2737,1887,1344,4261
Greenfield Park - Prairiewood,157,58,804,587,847,2637,11,1040,696,472,1546
Horsley Park - Kemps Creek,96,24,382,285,673,1163,3,496,205,321,693
Smithfield - Wetherill Park,339,118,1550,1200,1908,5520,22,2402,1373,1317,3754
St Johns Park - Wakeley,186,60,1189,684,984,3468,9,1293,881,604,1841
Wetherill Park Industrial,0,0,4,0,6,7,0,3,0,9,5
Casula,606,168,1983,1268,1788,4376,16,1117,694,1077,3500
Chipping Norton - Moorebank,826,200,2641,1697,2527,5231,14,1276,682,1061,4654
Holsworthy - Wattle Grove,1175,302,3132,1842,2666,4845,9,807,551,1243,4546
Lurnea - Cartwright,210,55,742,769,1157,3609,15,1227,657,1148,3073
Warwick Farm,303,43,704,444,549,1406,7,463,276,650,1086
Edmondson Park,922,179,2210,875,854,2474,8,343,323,633,3257
Liverpool - East,1026,162,2303,1383,1515,4041,14,1029,739,1990,3346
Liverpool - West,363,88,1157,957,1227,3662,18,1382,901,1211,2773
Prestons,571,141,1915,1243,1608,4465,4,849,565,801,3531
Gymea - Grays Point,986,392,2940,1795,2606,3907,12,726,587,663,3548
Miranda - Yowie Bay,1024,355,3251,1931,2778,4725,12,1060,692,1249,3631
Sylvania - Taren Point,763,242,2384,1574,1984,4103,9,935,665,1053,2722
Caringbah,549,231,1866,1184,1994,2965,5,551,413,741,2364
Caringbah South,638,231,2093,1303,1750,2836,9,543,476,491,2660
Cronulla - Kurnell - Bundeena,1348,555,4230,2521,3849,5267,9,865,792,1430,3519
Lilli Pilli - Port Hacking - Dolans Bay,210,79,626,313,390,748,3,130,103,94,679
Woolooware - Burraneer,431,199,1663,954,1216,2007,0,321,300,319,1540
Heathcote - Waterfall,262,141,758,588,1193,1526,3,347,205,383,1261
Illawong - Alfords Point,530,190,1793,1012,1487,2516,0,453,441,315,1826
Menai - Lucas Heights - Woronora,956,423,3125,1990,3118,5024,0,865,742,658,4020
Oyster Bay - Como - Jannali,1403,541,3855,2117,2637,4411,8,854,696,857,4685
Royal National Park,3,0,4,3,4,5,0,0,0,12,12
Sutherland - Kirrawee,1418,468,4033,2224,3328,4872,13,1041,722,1187,3928
Engadine,638,310,2113,1614,3044,3850,5,798,528,598,3847
Loftus - Yarrawarrah,330,185,1100,685,1179,1575,0,316,235,203,1542
Woronora Heights,172,89,506,414,574,849,0,119,97,92,632
Migratory - Offshore - Shipping (NSW),0,0,0,0,0,0,0,0,0,0,0
No usual address (NSW),327,109,969,614,1326,2236,19,648,292,3582,1260
