sa2,"Northern European Languages, nfd",Celtic,English,German and Related Languages,Dutch and Related Languages,Scandinavian,Finnish and Related Languages,"Southern European Languages, nfd",French,Greek,Iberian Romance,Italian,Maltese,Other Southern European Languages,"Eastern European Languages, nfd",Baltic,Hungarian,East Slavic,South Slavic,West Slavic,Other Eastern European Languages,"Southwest and Central Asian Languages, nfd",Iranic,Middle Eastern Semitic Languages,Turkic,Other Southwest and Central Asian Languages,"Southern Asian Languages, nfd",Dravidian,Indo-Aryan,Other Southern Asian Languages,"Southeast Asian Languages, nfd",Burmese and Related Languages,Hmong-Mien,Mon-Khmer,Tai,Southeast Asian Austronesian Languages,Other Southeast Asian Languages,"Eastern Asian Languages, nfd",Chinese,Japanese,Korean,Other Eastern Asian Languages,"Australian Indigenous Languages, nfd",Arnhem Land and Daly River Region Languages,Yolngu Matha,Cape York Peninsula Languages,Torres Strait Island Languages,Northern Desert Fringe Area Languages,Arandic,Western Desert Languages,Kimberley Area Languages,Other Australian Indigenous Languages,"Other Languages, nfd",American Languages,African Languages,Pacific Austronesian Languages,Oceanian Pidgins and Creoles,Papua New Guinea Languages,Invented Languages,Sign Languages,Supplementary codes,Not stated
Lurnea - Cartwright,0,0,4216,3,4,0,0,0,13,143,226,133,14,0,0,0,0,32,432,42,6,0,79,3893,94,16,5,43,483,0,0,0,0,833,58,167,0,0,148,0,6,0,0,0,0,0,0,0,0,0,0,10,0,0,47,296,0,0,0,9,42,1180
Warwick Farm,0,6,1715,0,3,0,0,0,10,33,126,27,3,0,0,0,3,15,379,50,14,0,106,700,29,5,10,130,709,0,0,11,0,489,44,151,0,0,247,5,14,0,4,0,0,0,0,0,3,0,0,0,0,0,109,119,0,0,0,0,43,624
Edmondson Park,0,0,3881,9,5,0,0,0,20,71,173,78,4,0,0,0,0,21,491,12,0,0,97,949,152,0,11,598,2765,15,0,10,3,435,76,417,0,0,543,8,51,9,0,0,0,0,6,0,0,0,0,0,0,0,151,202,0,0,0,3,75,750
Liverpool - East,0,0,4079,11,9,0,0,0,28,75,372,77,5,0,0,0,4,22,1679,95,52,0,303,2723,141,29,15,457,2564,4,0,67,0,611,83,525,0,0,637,15,47,7,4,0,0,0,0,0,0,0,0,0,0,0,325,276,0,0,0,4,97,2099
Liverpool - West,0,0,3601,31,4,0,6,0,14,129,313,191,10,0,0,0,5,38,1258,71,12,0,122,3598,80,4,5,147,886,0,0,0,0,937,70,233,0,0,329,0,7,0,0,0,0,0,0,0,0,0,0,10,0,0,127,253,0,0,0,4,46,1186
Prestons,0,0,6176,12,18,0,0,0,27,180,416,170,25,0,0,0,19,21,666,60,20,0,231,1752,568,0,10,311,2054,0,0,17,16,514,167,532,0,0,346,0,16,0,0,0,0,0,0,0,0,0,0,4,0,0,178,293,0,4,0,7,36,817
Gymea - Grays Point,0,6,15845,52,27,18,5,0,49,165,210,103,8,0,0,4,3,142,86,90,11,0,12,81,16,0,5,11,93,0,0,4,0,41,44,90,0,0,397,30,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,11,21,452
Miranda - Yowie Bay,0,6,15393,38,41,11,0,0,70,454,496,218,24,0,0,3,7,227,318,104,26,0,40,226,31,7,9,50,234,0,0,7,0,86,117,280,0,0,1059,80,48,15,0,0,0,0,0,0,0,0,0,5,0,0,27,74,0,0,0,9,21,852
Sylvania - Taren Point,0,6,11011,29,14,15,4,0,42,1209,267,196,30,0,0,0,8,114,475,50,12,0,23,462,29,4,0,6,121,0,0,12,0,49,34,79,0,0,1214,28,21,4,0,0,0,0,0,0,0,0,0,0,0,0,13,39,0,0,0,3,28,776
Caringbah,0,3,10328,34,11,4,0,0,33,173,237,75,0,0,0,5,12,156,138,61,23,0,12,67,10,6,0,56,99,0,0,4,0,61,42,125,0,0,396,26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,0,0,0,10,19,598
Caringbah South,0,0,11548,34,24,20,0,0,40,205,96,99,10,0,0,0,5,23,111,27,6,0,0,76,0,0,0,0,20,0,0,0,0,11,13,23,0,0,163,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,6,12,396
Cronulla - Kurnell - Bundeena,0,0,21132,119,72,43,5,0,76,234,384,139,11,4,0,14,17,85,165,137,3,0,9,61,20,0,0,0,27,0,0,0,0,34,67,65,0,0,146,46,21,0,0,0,0,0,0,0,0,0,0,10,0,0,7,32,0,0,0,5,36,1142
Lilli Pilli - Port Hacking - Dolans Bay,0,0,3021,7,12,6,0,0,16,82,22,30,5,0,0,0,4,11,25,0,0,0,4,16,0,0,0,0,5,0,0,0,0,3,3,3,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
Woolooware - Burraneer,0,4,7898,23,14,13,4,0,18,134,98,72,5,0,0,11,0,31,108,40,0,0,8,39,7,0,0,0,23,0,0,3,0,37,22,23,0,0,69,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,12,210
Heathcote - Waterfall,0,0,6045,30,22,0,0,0,4,16,28,21,0,0,0,0,3,27,6,12,0,0,8,7,0,0,0,14,14,0,0,10,0,0,15,17,0,0,45,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,10,7,310
Illawong - Alfords Point,0,0,7699,14,22,7,3,0,32,504,99,93,8,0,0,0,10,42,390,45,12,0,16,601,37,5,0,4,90,0,0,5,0,91,12,40,0,0,377,5,29,0,0,0,0,0,0,0,0,0,0,5,0,0,0,17,0,0,0,10,15,220
Menai - Lucas Heights - Woronora,0,0,17472,51,71,6,0,0,43,442,262,177,17,0,0,6,7,88,344,69,10,0,18,342,13,5,4,22,153,0,0,0,0,68,40,99,0,0,523,31,20,0,3,0,0,0,0,0,0,0,0,0,0,0,13,20,0,0,0,19,29,446
Oyster Bay - Como - Jannali,0,6,18764,92,69,31,13,0,84,282,198,120,11,0,0,7,15,144,215,79,10,0,26,112,3,0,0,22,113,0,0,4,0,42,42,83,0,0,736,51,15,0,0,0,0,0,0,0,0,0,0,0,0,0,4,31,0,5,0,5,29,587
Royal National Park,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Sutherland - Kirrawee,0,7,18127,59,42,36,14,0,50,219,461,155,7,0,0,3,16,286,247,122,12,0,29,198,27,4,3,78,345,0,0,10,0,93,120,253,0,0,862,98,72,7,0,0,0,0,0,0,0,0,0,0,0,0,33,48,0,0,0,19,37,1037
Engadine,0,0,15857,48,28,11,0,0,40,61,149,50,4,0,0,0,5,80,44,43,0,0,11,30,10,0,0,17,49,0,0,0,0,36,46,71,0,0,158,11,15,0,4,0,0,0,0,0,0,0,0,3,0,0,22,15,0,0,0,6,24,402
Loftus - Yarrawarrah,0,0,6792,11,17,9,0,0,8,24,37,4,4,0,0,6,0,30,11,16,0,0,0,26,12,0,3,0,37,0,0,0,0,9,7,34,0,0,59,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,5,5,139
Woronora Heights,0,0,3261,15,13,0,0,0,9,28,24,21,0,0,0,0,0,22,12,0,0,0,4,3,0,0,0,0,16,0,0,0,0,3,0,15,0,0,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
Migratory - Offshore - Shipping (NSW),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No usual address (NSW),0,0,6417,22,27,9,6,0,72,37,87,25,0,0,0,0,4,19,36,19,4,0,30,96,11,0,6,22,88,0,0,0,0,37,27,84,0,0,213,12,24,0,7,0,0,0,0,0,0,0,0,9,0,0,28,37,0,10,0,0,26,3803
