sa2,"Northern European Languages, nfd",Celtic,English,German and Related Languages,Dutch and Related Languages,Scandinavian,Finnish and Related Languages,"Southern European Languages, nfd",French,Greek,Iberian Romance,Italian,Maltese,Other Southern European Languages,"Eastern European Languages, nfd",Baltic,Hungarian,East Slavic,South Slavic,West Slavic,Other Eastern European Languages,"Southwest and Central Asian Languages, nfd",Iranic,Middle Eastern Semitic Languages,Turkic,Other Southwest and Central Asian Languages,"Southern Asian Languages, nfd",Dravidian,Indo-Aryan,Other Southern Asian Languages,"Southeast Asian Languages, nfd",Burmese and Related Languages,Hmong-Mien,Mon-Khmer,Tai,Southeast Asian Austronesian Languages,Other Southeast Asian Languages,"Eastern Asian Languages, nfd",Chinese,Japanese,Korean,Other Eastern Asian Languages,"Australian Indigenous Languages, nfd",Arnhem Land and Daly River Region Languages,Yolngu Matha,Cape York Peninsula Languages,Torres Strait Island Languages,Northern Desert Fringe Area Languages,Arandic,Western Desert Languages,Kimberley Area Languages,Other Australian Indigenous Languages,"Other Languages, nfd",American Languages,African Languages,Pacific Austronesian Languages,Oceanian Pidgins and Creoles,Papua New Guinea Languages,Invented Languages,Sign Languages,Supplementary codes,Not stated
Chester Hill - Sefton,0,0,5511,10,3,0,0,0,26,191,104,148,0,0,0,0,33,49,172,45,20,0,540,4859,230,3,0,60,575,0,0,99,4,2725,49,244,0,0,2138,19,149,4,0,0,0,0,0,0,0,0,0,0,0,0,170,291,0,0,0,13,74,2295
Fairfield - East,0,0,3642,12,11,0,4,0,18,63,298,102,27,0,0,4,8,29,178,59,11,0,338,3583,117,32,4,23,315,0,0,238,0,2993,169,287,0,0,1127,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,119,274,0,4,0,6,46,1585
Granville - Clyde,0,5,5154,23,0,0,3,0,15,98,204,80,21,0,0,4,3,40,115,21,3,0,1051,4340,551,32,13,346,3947,21,0,56,0,540,86,754,0,0,2703,12,210,14,0,0,0,0,0,0,0,0,0,8,0,0,202,357,0,6,0,10,74,2126
Guildford - South Granville,0,0,5185,6,7,0,0,0,16,95,108,80,16,0,0,5,0,28,107,32,9,0,1302,7776,626,22,9,142,1307,0,0,70,0,468,48,291,0,0,1217,18,116,5,0,0,0,0,0,0,0,0,0,9,0,0,267,278,0,0,0,11,101,2638
Guildford West - Merrylands West,0,0,7971,13,11,3,3,0,33,101,221,209,58,0,0,0,13,43,232,43,12,0,1932,5323,519,31,0,102,1162,4,0,68,0,349,81,480,0,0,1086,7,58,4,0,0,0,0,0,0,0,0,0,0,0,0,297,356,0,0,0,8,90,1990
Smithfield Industrial,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yennora Industrial,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greystanes - South,0,0,9454,16,14,0,0,0,27,340,161,266,319,0,0,0,9,47,410,44,11,0,319,2319,292,5,0,216,423,0,0,30,0,120,26,213,0,0,489,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,24,147,0,0,0,11,26,825
Merrylands - Holroyd,0,0,6376,7,7,3,0,0,31,158,284,190,40,0,0,5,4,47,497,49,32,0,2285,4327,609,48,8,261,2459,0,0,62,0,241,72,471,0,0,1900,8,104,12,4,0,0,0,4,0,0,0,0,0,0,0,298,318,0,5,0,10,107,2467
Pemulwuy - Greystanes (North),0,0,5701,15,3,0,0,0,19,193,147,120,239,0,0,0,4,19,168,32,13,0,285,963,154,12,13,404,812,0,0,16,0,81,20,269,0,0,413,13,54,0,0,0,0,0,0,0,0,0,0,0,0,0,40,65,0,0,0,8,23,569
