"1-digit level FMCF Family Composition","Couple family with no children","Couple family with children","One parent family","Other family","Not applicable","Total",
"Rutherford (North) - Aberglasslyn",1725,2257,886,52,1909,6832,
"Rutherford (South) - Telarah",803,817,520,49,1194,3393,
"Tenambit - East Maitland",1195,1062,571,39,1575,4440,
"Thornton - Millers Forest",1642,2317,608,50,1225,5833,
"Anna Bay",967,642,253,14,1000,2867,
"Lemon Tree Passage - Tanilba Bay",981,596,376,22,1113,3089,
"Nelson Bay Peninsula",3488,1850,938,57,3854,10196,
"Raymond Terrace",1362,1375,1034,69,2453,6300,
"Seaham - Woodville",648,844,139,10,398,2040,
"Tea Gardens - Hawks Nest",1341,296,175,22,1097,2927,
"Williamtown - Medowie - Karuah",1693,1885,644,34,1556,5815,
"Muswellbrook",1165,1266,663,40,2129,5256,
"Muswellbrook Surrounds",487,454,145,18,601,1688,
"Scone",672,671,256,22,1026,2646,
"Scone Surrounds",1087,836,265,11,1431,3637,
"Dapto - Avondale",2670,2746,1362,97,3132,9999,
"Horsley - Kembla Grange",1122,1834,494,20,807,4274,
"Port Kembla Industrial",0,0,0,0,3,3,
"Unanderra - Mount Kembla",1556,2040,644,54,1557,5847,
"Berkeley - Lake Heights - Cringila",1263,1530,905,59,1983,5741,
"Port Kembla - Warrawong",864,921,663,43,1802,4304,
"Windang - Primbee",478,404,197,37,937,2053,
"Illawarra Catchment Reserve",0,0,0,0,0,3,
"Albion Park - Macquarie Pass",1929,2731,828,56,1476,7024,
"Albion Park Rail",778,696,426,38,959,2895,
"Kiama",1366,876,293,36,1345,3912,
"Kiama Downs - Minnamurra",777,796,193,10,571,2347,
"Kiama Hinterland - Gerringong",1094,962,213,23,1028,3320,
"Shellharbour - Flinders",2008,2762,736,47,1658,7209,
"Shellharbour - Oak Flats",1219,1168,568,54,1385,4397,
"Warilla",2168,1902,1483,93,3319,8963,
"Balgownie - Fairy Meadow",2148,2399,989,97,3359,8985,
"Corrimal - Tarrawanna - Bellambi",1609,1718,936,87,2793,7137,
"Figtree - Keiraville",1983,2850,785,76,2713,8402,
"Helensburgh",850,1434,278,18,691,3270,
"Thirroul - Austinmer - Coalcliff",1351,1656,357,22,1243,4636,
"Woonona - Bulli - Russell Vale",1939,2788,852,59,2549,8182,
"Wollongong - East",2445,857,521,84,4567,8475,
"Wollongong - West",1619,1605,645,97,3299,7269,
"Bulahdelah - Stroud",701,490,209,17,914,2329,
"Forster",2299,1036,694,55,3181,7276,
"Forster-Tuncurry Surrounds",1093,589,285,20,1320,3316,
"Tuncurry",1034,356,315,24,1579,3310,
"Kempsey",1503,1175,1015,90,2487,6268,
"Kempsey Surrounds",1213,839,442,42,1830,4367,
"Macksville - Scotts Head",664,457,279,22,970,2388,
"Nambucca Heads",900,443,392,33,1909,3683,
"Nambucca Heads Surrounds",1075,741,365,30,1396,3607,
"South West Rocks",998,399,235,18,1235,2884,
"Lord Howe Island",58,37,10,0,118,225,
"Laurieton - Bonny Hills",3245,1515,728,42,3153,8686,
"Port Macquarie - West",2728,1745,1073,86,4069,9701,
"Port Macquarie Surrounds",723,563,182,14,782,2262,
"Wauchope",1531,1345,688,40,1641,5248,
"Port Macquarie - East",1468,1081,572,39,2513,5670,
"Port Macquarie - South",2377,1806,725,53,2503,7468,
"Gloucester",832,420,229,18,1042,2548,
"Old Bar - Manning Point - Red Head",2014,1099,497,37,2000,5647,
"Taree",2303,1648,1335,106,4064,9453,
"Taree Surrounds",2180,1104,541,46,2189,6057,
"Wingham",610,479,347,26,969,2432,
"Albury - East",1876,2213,666,57,2367,7183,
"Albury - North",1097,948,617,54,1980,4702,
"Albury - South",1251,892,451,41,2352,4984,
"Albury Surrounds",1474,1403,419,18,1662,4976,
"Lavington",1612,1376,941,75,3246,7248,
"Hay",355,249,124,10,626,1373,
"Wentworth - Buronga",767,668,223,23,1051,2741,
"Wentworth-Balranald Region",407,337,99,14,680,1539,
"Corowa",791,452,249,17,1125,2632,
"Corowa Surrounds",1043,688,220,15,1221,3184,
"Deniliquin",889,596,279,32,1486,3283,
"Deniliquin Surrounds",939,669,188,15,1206,3012,
"Moama",1010,727,189,15,1004,2942,
"Tocumwal - Finley - Jerilderie",1392,813,324,31,1866,4422,
"Armidale",2445,2038,1028,88,4303,9900,
"Armidale Surrounds - North",525,436,136,15,834,1949,
"Armidale Surrounds - South",798,611,235,20,900,2570,
"Walcha",488,282,73,10,583,1437,
"Glen Innes",1179,664,403,32,1929,4202,
"Inverell",1371,1049,670,53,2234,5377,
"Inverell Surrounds - East",636,450,193,26,897,2204,
"Inverell Surrounds - West",767,509,231,17,1032,2561,
"Tenterfield",1030,466,283,15,1588,3389,
"Moree",740,630,396,45,1815,3623,
"Moree Surrounds",448,479,172,20,1160,2272,
"Narrabri",767,675,317,28,1272,3060,
"Narrabri Surrounds",495,460,160,16,837,1969,
"Gunnedah",940,993,454,52,1796,4241,
"Gunnedah Surrounds",496,480,159,21,709,1868,
"Quirindi",885,672,336,44,1494,3436,
"Tamworth - East",2336,2013,1165,108,3773,9392,
"Tamworth - North",1705,1621,768,69,3112,7271,
"Tamworth - West",445,516,471,33,941,2409,
"Tamworth Surrounds",2320,2150,736,66,2711,7983,
"Belmont - Bennetts Green",2144,2027,877,57,2499,7605,
"Belmont South - Blacksmiths",693,556,333,32,1040,2659,
"Charlestown - Dudley",2599,3053,1275,79,3472,10484,
"Glendale - Cardiff - Hillsborough",2527,3037,1249,106,3107,10025,
"Mount Hutton - Windale",883,827,698,57,1657,4129,
"Redhead",362,458,114,13,606,1551,
"Swansea - Caves Beach",1649,1330,622,52,1819,5478,
"Valentine - Eleebana",1529,1747,416,25,1094,4808,
"Warners Bay - Boolaroo",1779,1656,735,58,2150,6375,
"Bolton Point - Teralba",1075,1066,570,46,1392,4143,
"Bonnells Bay - Silverwater",1246,1026,530,33,1235,4066,
"Edgeworth - Cameron Park",1508,2265,721,49,1606,6151,
"Morisset - Cooranbong",2113,1903,792,62,2661,7538,
"Toronto - Awaba",1791,1345,754,58,2178,6120,
"Wangi Wangi - Rathmines",1423,1003,418,26,1140,4013,
"West Wallsend - Barnsley - Killingworth",798,941,345,25,751,2873,
"Adamstown - Kotara",1676,2096,674,79,2196,6730,
"Beresfield - Hexham",897,806,603,59,1367,3723,
"Hamilton - Broadmeadow",1276,1176,511,76,2912,5948,
"Lambton - New Lambton",1616,2089,858,73,2672,7312,
"Maryland - Fletcher - Minmi",1384,2451,704,52,1353,5941,
"Mayfield - Warabrook",1584,1402,770,103,3123,6986,
"Merewether - The Junction",1582,1688,418,53,2329,6067,
"Newcastle - Cooks Hill",1788,795,385,56,3693,6717,
"Newcastle Port - Kooragang",3,0,0,0,12,16,
"Shortland - Jesmond",1025,813,530,95,2351,4827,
"Stockton - Fullerton Cove",1204,896,338,27,1518,3982,
"Wallsend - Elermore Vale",2185,2176,1069,108,3395,8935,
"Waratah - North Lambton",1259,1104,641,76,2439,5516,
"Wickham - Carrington - Tighes Hill",1103,756,403,50,2015,4335,
"Ballina",2485,1393,984,73,4209,9147,
"Ballina Surrounds",2292,2047,803,62,2507,7713,
"Bangalow",735,772,252,14,1083,2845,
"Brunswick Heads - Ocean Shores",928,831,511,30,1933,4232,
"Byron Bay",1095,849,385,31,2559,4919,
"Evans Head",762,475,262,21,1241,2767,
"Lennox Head - Skennars Head",1100,1114,345,28,1276,3857,
"Mullumbimby",834,798,429,21,1817,3904,
"Casino",1349,1068,715,59,2247,5434,
"Casino Surrounds",911,681,288,32,1180,3095,
"Goonellabah",1443,1327,789,49,2362,5971,
"Kyogle",995,595,387,24,1523,3530,
"Lismore",1312,1152,1077,83,3489,7119,
"Lismore Surrounds",1952,1656,619,46,2512,6789,
"Kingscliff - Fingal Head",1768,1628,559,35,2495,6483,
"Murwillumbah",952,888,609,38,1700,4187,
"Murwillumbah Surrounds",1275,1006,426,34,1620,4366,
"Pottsville",1589,1585,590,38,2039,5844,
"Tweed Heads",2621,1683,1013,88,4602,10009,
"Banora Point",2038,1649,868,74,2417,7040,
