"1-digit level FMCF Family Composition","Couple family with no children","Couple family with children","One parent family","Other family","Not applicable","Total",
"Harrington Park",774,1935,315,33,550,3599,
"Mount Annan",1412,2934,881,49,1274,6550,
"Spring Farm",781,1508,417,23,603,3337,
"Bradbury - Wedderburn",1399,2364,1420,92,2212,7488,
"Campbelltown - Woodbine",1919,2499,1099,113,3382,9009,
"Claymore - Eagle Vale - Raby",1559,2641,1200,78,1791,7271,
"Holsworthy Military Area",0,0,0,0,0,0,
"Leumeah - Minto Heights",1473,2083,855,86,2060,6556,
"Minto - St Andrews",1371,3049,1056,107,1921,7509,
"Rosemeadow - Glen Alpine",1851,2546,1287,97,2032,7824,
"Denham Court - Bardia",1000,2497,409,38,862,4806,
"Glenfield",721,1587,421,47,843,3621,
"Ingleburn",1291,2298,848,63,1810,6302,
"Macquarie Fields",841,1816,944,73,1663,5341,
"Bargo",629,760,245,13,626,2271,
"Douglas Park - Appin",1024,1675,288,18,793,3798,
"Picton - Tahmoor - Buxton",1935,2420,877,45,2055,7330,
"The Oaks - Oakdale",988,1427,277,13,735,3447,
"Blackheath - Megalong Valley",814,479,291,17,1274,2877,
"Blaxland - Warrimoo - Lapstone",2119,2657,715,44,1751,7292,
"Blue Mountains - North",4,0,0,0,3,9,
"Katoomba - Leura",1711,1070,659,48,3181,6673,
"Lawson - Hazelbrook - Linden",1295,1414,542,31,1516,4792,
"Springwood - Winmalee",2537,2887,841,43,2352,8661,
"Wentworth Falls",876,669,231,23,1047,2847,
"Blue Mountains - South",0,0,0,0,7,7,
"Cambridge Park",1525,1893,1002,69,1796,6287,
"Emu Plains - Leonay",1391,1917,603,39,1443,5394,
"Glenmore Park - Regentville",1669,3286,950,47,1381,7327,
"Jamisontown - South Penrith",1674,2021,1021,72,2298,7088,
"Kingswood - Werrington",1672,3060,1328,131,3506,9705,
"Mulgoa - Luddenham - Orchard Hills",941,1884,387,36,812,4050,
"Penrith",1752,1334,1088,140,4553,8866,
"Warragamba - Silverdale",556,916,199,13,436,2121,
"Cranebrook - Castlereagh",1422,2330,872,53,1529,6203,
"Jordan Springs - Llandilo",928,2211,475,42,847,4504,
"Richmond - Clarendon",1541,1582,816,55,2439,6433,
"Windsor - Bligh Park",1387,1788,923,58,2073,6222,
"Yarramundi - Londonderry",571,883,247,21,525,2257,
"Erskine Park",544,985,262,15,422,2235,
"St Clair",1753,2795,977,51,1598,7172,
"Colyton - Oxley Park",951,1491,865,71,1600,4978,
"St Marys - North St Marys",1166,1695,1171,121,3066,7218,
"Rookwood Cemetery",0,0,0,0,0,4,
"Auburn - Central",1345,2083,605,148,2576,6756,
"Auburn - North",885,978,290,130,1838,4126,
"Auburn - South",493,1187,315,33,797,2829,
"Berala",641,1050,383,70,1080,3223,
"Lidcombe",1987,2463,777,179,2694,8100,
"Regents Park",344,656,215,19,648,1883,
"Silverwater - Newington",682,1258,255,24,718,2936,
"Wentworth Point - Sydney Olympic Park",3283,1923,593,131,4314,10232,
"Ermington - Rydalmere",1965,3465,1043,95,2810,9386,
"Oatlands - Dundas Valley",1500,2577,789,75,2255,7197,
"Carlingford - East",965,1893,421,36,899,4212,
"Carlingford - West",1656,3093,701,76,1463,6999,
"Chester Hill - Sefton",1038,2544,1047,104,2198,6927,
"Fairfield - East",870,1775,826,75,2034,5576,
"Granville - Clyde",1698,2581,867,182,3205,8531,
"Guildford - South Granville",1098,2703,979,91,2641,7508,
"Guildford West - Merrylands West",1351,2767,1106,131,2767,8118,
"Smithfield Industrial",0,0,0,0,13,15,
"Yennora Industrial",0,0,0,0,4,5,
"Greystanes - South",1417,2381,709,53,1268,5832,
"Merrylands - Holroyd",1459,2914,1054,156,3349,8932,
"Pemulwuy - Greystanes (North)",784,1688,434,33,797,3740,
"South Wentworthville",451,992,335,31,789,2602,
"North Parramatta",2101,2602,895,170,4269,10041,
"North Rocks",790,1341,267,18,598,3014,
"Northmead",1911,2708,711,115,3029,8467,
"Toongabbie - Constitution Hill",1911,3134,918,106,2572,8641,
"Winston Hills",1007,1800,366,19,770,3969,
"Pendle Hill - Girraween",833,2215,404,76,1508,5041,
"Wentworthville - Westmead",1528,3300,620,116,2684,8248,
"Parramatta - North",1344,1350,248,120,2540,5595,
"Parramatta - South",852,1124,281,104,1709,4077,
"Rosehill - Harris Park",821,1029,267,66,1769,3946,
"Pennant Hills - Cheltenham",2041,3408,630,58,1771,7903,
"Epping (East) - North Epping",1362,2198,447,63,1482,5549,
"Epping (NSW) - West",1755,2860,658,75,1793,7143,
"Gladesville - Huntleys Point",1628,1987,537,73,2425,6642,
"Hunters Hill - Woolwich",868,1334,253,18,1033,3499,
"Macquarie Park - Marsfield",2744,2390,741,186,4506,10570,
"North Ryde - East Ryde",1533,2193,489,65,1796,6073,
"West Ryde - Meadowbank",2295,2407,684,146,3287,8817,
"Putney",398,659,116,17,308,1489,
"Denistone",651,1106,208,19,535,2524,
"Eastwood",1918,2586,648,82,2324,7556,
"Ryde - North",1762,2757,779,117,2928,8348,
"Ryde - South",1536,1435,356,81,1869,5275,
"Ashcroft - Busby - Miller",797,1811,1393,119,2357,6477,
"Austral - Greendale",1022,1721,458,41,1022,4266,
"Badgerys Creek",8,3,0,0,5,16,
"Cecil Hills",413,1125,285,15,295,2135,
"Green Valley",756,1904,691,50,765,4166,
"Hinchinbrook",696,2055,616,43,628,4039,
"Hoxton Park - Carnes Hill - Horningsea Park",678,2205,536,20,601,4041,
"West Hoxton - Middleton Grange",800,2898,675,33,741,5147,
"Cobbitty - Bringelly",518,682,156,14,369,1741,
"Gledswood Hills - Gregory Hills",1079,2387,470,36,823,4795,
"Leppington - Catherine Field",1095,1940,357,49,862,4304,
"Oran Park",1165,2866,667,44,1104,5846,
"Bonnyrigg Heights - Bonnyrigg",1057,2255,1156,85,1252,5795,
"Bossley Park - Abbotsbury",1379,2905,830,91,1258,6455,
"Cabramatta - Lansvale",1507,2601,1676,240,3064,9083,
"Cabramatta West - Mount Pritchard",1054,2171,1269,96,1856,6445,
"Canley Vale - Canley Heights",1176,2700,1494,167,2315,7851,
"Edensor Park",711,1517,505,49,538,3326,
"Fairfield",1154,2189,1143,149,2163,6790,
"Fairfield - West",1179,2894,1142,104,1617,6932,
"Greenfield Park - Prairiewood",626,1245,458,38,583,2942,
"Horsley Park - Kemps Creek",381,593,141,17,336,1476,
"Smithfield - Wetherill Park",1311,2565,1065,86,1810,6840,
"St Johns Park - Wakeley",855,1527,612,46,735,3782,
"Wetherill Park Industrial",0,3,0,0,14,19,
"Casula",1040,2410,780,55,1376,5652,
"Chipping Norton - Moorebank",1572,3125,863,71,1603,7228,
"Holsworthy - Wattle Grove",1494,3330,766,53,1319,6965,
"Lurnea - Cartwright",656,1500,796,63,1491,4506,
"Warwick Farm",413,604,352,50,1339,2758,
"Edmondson Park",675,2072,314,37,757,3857,
"Liverpool - East",1394,1839,979,134,3423,7772,
"Liverpool - West",825,1640,808,75,1694,5044,
"Prestons",801,2548,619,28,709,4709,
"Gymea - Grays Point",1793,2699,639,52,1655,6834,
"Miranda - Yowie Bay",2129,2583,876,90,2927,8604,
"Sylvania - Taren Point",1743,2165,620,39,1842,6413,
"Caringbah",1255,1498,630,49,2314,5752,
"Caringbah South",1278,2012,386,32,1065,4768,
"Cronulla - Kurnell - Bundeena",3213,2533,881,86,4325,11041,
"Lilli Pilli - Port Hacking - Dolans Bay",312,560,67,5,166,1109,
"Woolooware - Burraneer",965,1273,273,19,1022,3548,
"Heathcote - Waterfall",679,928,242,18,636,2502,
"Illawong - Alfords Point",1151,1667,285,23,504,3622,
"Menai - Lucas Heights - Woronora",1947,3321,767,34,1281,7348,
"Oyster Bay - Como - Jannali",2018,3505,678,55,1722,7983,
"Royal National Park",0,3,0,0,7,11,
"Sutherland - Kirrawee",2487,2731,1032,94,3846,10203,
"Engadine",1609,2627,672,43,1313,6267,
"Loftus - Yarrawarrah",731,1165,241,10,509,2654,
"Woronora Heights",343,613,85,4,145,1187,
"Migratory - Offshore - Shipping (NSW)",0,0,0,0,37,37,
