sa2,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Sales Workers,Machinery Operators and Drivers,Labourers,Inadequately described,Not stated,Not applicable
Urunga,229,384,304,277,209,146,110,221,12,10,2995
Woolgoolga - Arrawarra,939,1065,836,855,660,460,287,1020,50,47,8246
Bourke - Brewarrina,309,216,128,227,140,49,94,146,19,23,2069
Cobar,293,201,353,141,178,109,331,214,17,12,2276
Coonamble,407,205,129,187,144,62,96,222,15,23,2428
Nyngan - Warren,478,248,254,204,184,96,256,292,19,27,2520
Walgett - Lightning Ridge,458,236,141,294,161,80,127,223,20,24,3778
Broken Hill,677,1181,1115,1173,750,637,737,735,83,75,10420
Far West,323,101,32,83,61,23,41,144,5,5,1463
Coonabarabran,731,399,298,340,241,172,206,444,29,35,5027
Dubbo - East,502,923,774,709,652,516,324,580,46,44,5577
Dubbo - South,999,2039,1328,1607,1239,939,530,872,89,80,9899
Dubbo - West,522,821,616,728,571,429,289,536,57,43,5705
Dubbo Surrounds,630,486,475,280,393,212,218,281,24,27,2930
Gilgandra,510,249,206,222,143,135,123,208,11,29,2557
Narromine,591,345,337,319,255,171,293,329,20,38,3756
Wellington,512,401,375,522,320,233,231,446,29,42,5662
Branxton - Greta - Pokolbin,854,910,1230,701,681,495,898,659,75,50,6214
Cessnock,725,897,1512,1402,812,860,1050,1253,83,75,14821
Cessnock Surrounds,543,640,761,506,486,277,424,445,53,37,4960
Dungog,702,652,804,462,523,307,408,476,48,28,5133
Kurri Kurri - Abermain,649,947,1683,1274,1084,847,1157,1235,88,65,11624
Singleton,722,1002,1473,1249,887,687,1368,805,93,53,8680
Singleton Surrounds,389,287,461,210,284,188,434,267,31,24,2765
Maitland,488,717,656,552,498,406,401,414,40,27,4418
Maitland - North,654,1026,675,483,532,365,318,320,46,21,4288
East Maitland - Metford,866,1560,1349,1106,1072,804,709,903,94,47,9470
Rutherford (North) - Aberglasslyn,803,1141,1433,1191,1001,764,956,879,79,49,9423
Rutherford (South) - Telarah,297,443,625,531,378,341,419,482,45,35,4392
Tenambit - East Maitland,440,874,763,587,594,395,364,449,41,21,5573
Thornton - Millers Forest,877,1513,1339,1158,1194,757,748,762,89,43,7403
Anna Bay,297,419,492,362,309,254,155,251,25,20,3851
Lemon Tree Passage - Tanilba Bay,209,292,468,407,254,242,217,332,39,22,4404
Nelson Bay Peninsula,1118,1463,1330,1218,1013,840,388,866,91,72,13574
Raymond Terrace,498,641,951,853,758,589,669,848,55,70,8659
Seaham - Woodville,382,557,536,341,391,218,279,244,32,16,2698
Tea Gardens - Hawks Nest,229,238,258,226,189,149,98,202,28,10,4196
Williamtown - Medowie - Karuah,752,1010,1282,930,913,601,560,707,90,52,8126
Muswellbrook,352,559,1057,572,492,456,978,727,53,53,6976
Muswellbrook Surrounds,315,191,371,182,198,121,346,285,26,14,2027
Scone,309,423,500,310,257,197,357,523,22,23,3119
Scone Surrounds,728,402,653,322,316,208,540,617,34,42,4330
Dapto - Avondale,941,1499,1853,1532,1317,915,956,1139,112,62,13861
Horsley - Kembla Grange,633,1189,987,818,986,539,492,529,69,41,5868
Port Kembla Industrial,0,0,0,0,0,0,0,3,0,0,3
Unanderra - Mount Kembla,796,1693,1041,779,986,563,455,590,57,40,8281
Berkeley - Lake Heights - Cringila,407,735,882,714,639,481,507,773,64,68,8929
Port Kembla - Warrawong,295,544,500,457,388,292,284,535,32,33,6381
Windang - Primbee,151,253,249,220,223,126,142,170,8,16,2677
Illawarra Catchment Reserve,0,0,0,0,0,0,0,0,0,0,0
Albion Park - Macquarie Pass,935,1638,1681,1352,1338,914,877,882,92,43,9264
Albion Park Rail,256,340,491,506,359,272,326,337,27,30,3984
Kiama,565,1086,476,435,391,228,144,212,34,20,5194
Kiama Downs - Minnamurra,373,763,462,346,322,202,139,175,29,17,3246
Kiama Hinterland - Gerringong,686,1045,551,452,404,207,117,252,26,28,4363
Shellharbour - Flinders,1144,1962,1438,1170,1322,894,666,743,113,56,9839
Shellharbour - Oak Flats,442,742,827,657,633,455,383,476,50,31,5903
Warilla,617,1001,1323,1184,914,711,706,1041,80,60,12754
Balgownie - Fairy Meadow,1144,2595,1293,1248,1246,776,555,766,88,58,11741
Corrimal - Tarrawanna - Bellambi,735,1689,1098,990,903,500,449,624,52,45,8958
Figtree - Keiraville,1272,3122,1260,1346,1271,945,573,758,90,44,12093
Helensburgh,648,1226,786,568,623,298,215,301,49,28,4394
Thirroul - Austinmer - Coalcliff,984,2194,684,612,592,301,144,233,54,25,6141
Woonona - Bulli - Russell Vale,1377,2765,1316,1207,1147,619,435,631,73,42,11151
Wollongong - East,1108,2728,845,1102,1038,647,316,507,82,49,7603
Wollongong - West,828,2396,963,1083,923,670,441,645,78,60,8460
Bulahdelah - Stroud,356,249,327,228,198,145,202,311,28,35,3156
Forster,535,971,693,834,585,613,185,569,31,66,9636
Forster-Tuncurry Surrounds,346,432,439,320,259,240,141,306,27,33,4435
Tuncurry,175,271,291,360,225,220,99,232,11,25,4466
Kempsey,489,726,637,990,533,534,377,699,44,56,10572
Kempsey Surrounds,579,617,493,539,356,268,239,574,29,53,5733
Macksville - Scotts Head,218,286,243,309,200,142,101,240,16,30,3414
Nambucca Heads,184,336,300,383,231,222,119,307,16,29,4995
Nambucca Heads Surrounds,521,529,452,473,314,263,210,376,23,44,4905
South West Rocks,228,299,272,303,220,181,77,259,15,16,3755
Lord Howe Island,63,24,37,14,30,17,4,44,5,0,209
Laurieton - Bonny Hills,718,1192,1053,1026,757,578,382,708,45,52,11975
Port Macquarie - West,872,1654,1113,1475,1027,945,379,835,89,84,12672
Port Macquarie Surrounds,452,335,345,276,274,170,157,284,25,29,2943
Wauchope,572,802,895,853,701,560,388,560,58,41,7373
Port Macquarie - East,699,1489,702,792,635,533,170,502,42,28,6174
Port Macquarie - South,818,1852,944,1054,975,654,273,551,71,40,10043
Gloucester,362,247,280,250,182,153,192,286,9,39,3310
Old Bar - Manning Point - Red Head,546,1095,732,672,538,442,209,448,34,50,7719
Taree,684,1118,950,1261,748,895,453,1019,54,79,13857
Taree Surrounds,774,756,664,612,477,394,368,600,38,68,8294
Wingham,169,270,287,354,190,192,173,310,17,22,3410
Albury - East,1110,2207,1316,1207,1147,809,523,681,67,42,8729
Albury - North,497,772,718,729,593,462,343,542,53,32,5784
Albury - South,750,1332,616,570,630,409,219,405,49,37,5492
Albury Surrounds,1214,899,833,586,674,402,413,628,47,64,6751
Lavington,550,793,1082,1048,740,715,627,932,78,65,9038
Hay,257,133,184,122,134,110,97,229,3,20,1598
Wentworth - Buronga,472,411,392,320,328,212,191,345,26,36,3782
Wentworth-Balranald Region,497,143,173,136,135,71,158,301,19,13,2001
Corowa,256,285,353,298,219,223,180,512,18,18,3229
Corowa Surrounds,628,326,461,317,345,230,301,409,33,41,4168
Deniliquin,371,488,438,451,358,274,219,349,50,35,4000
Deniliquin Surrounds,1104,329,309,233,306,154,205,460,25,39,3684
Moama,442,530,471,408,352,283,166,295,26,28,3934
Tocumwal - Finley - Jerilderie,810,485,524,450,426,286,340,568,39,38,5811
Armidale,1301,2781,1207,1381,1179,885,397,1111,80,68,13569
Armidale Surrounds - North,583,249,221,164,189,143,110,347,21,22,2483
Armidale Surrounds - South,524,504,379,310,341,186,140,338,25,18,3133
Walcha,490,159,132,119,126,71,87,219,17,13,1712
Glen Innes,665,423,401,419,363,305,202,476,35,32,5589
Inverell,512,742,647,718,477,534,267,825,49,42,7271
Inverell Surrounds - East,537,190,190,237,156,130,122,334,15,37,3251
Inverell Surrounds - West,671,294,227,235,220,144,159,311,21,25,3421
Tenterfield,562,325,269,266,265,176,180,313,33,36,4378
Moree,386,563,421,400,419,277,344,340,34,34,4629
Moree Surrounds,706,210,165,178,232,89,228,346,18,30,3145
Narrabri,358,509,484,352,359,295,457,369,20,27,3671
Narrabri Surrounds,555,238,219,182,196,127,267,254,18,21,2547
Gunnedah,448,623,639,502,433,351,698,512,33,31,5483
Gunnedah Surrounds,550,226,234,173,161,102,321,268,20,21,2280
Quirindi,613,377,347,332,296,189,407,435,34,22,4509
Tamworth - East,1012,1591,1436,1342,1180,966,681,1467,85,65,11524
Tamworth - North,798,1853,932,1008,849,642,439,934,64,39,8964
Tamworth - West,157,159,314,271,192,230,175,600,16,15,3864
Tamworth Surrounds,1639,1427,1315,999,1058,738,712,1002,98,70,9989
Belmont - Bennetts Green,858,1629,1398,1058,1103,713,475,791,66,57,9707
Belmont South - Blacksmiths,208,372,416,350,302,252,164,270,26,18,3309
Charlestown - Dudley,1344,3373,1851,1578,1694,959,584,990,103,55,12735
Glendale - Cardiff - Hillsborough,1278,2797,1796,1675,1651,1059,768,1055,93,42,12387
Mount Hutton - Windale,315,599,581,532,479,361,239,426,25,38,5910
Redhead,219,480,231,213,199,113,60,104,14,9,2144
Swansea - Caves Beach,635,1071,843,751,645,427,287,462,52,29,7363
Valentine - Eleebana,884,1762,820,648,834,513,241,367,37,24,6439
Warners Bay - Boolaroo,829,1760,937,916,997,649,379,525,58,25,7611
Bolton Point - Teralba,383,770,709,635,511,369,354,437,42,28,5881
Bonnells Bay - Silverwater,456,701,697,548,564,368,323,417,47,33,5536
Edgeworth - Cameron Park,829,1507,1343,1070,1121,819,629,793,88,51,8132
Morisset - Cooranbong,821,1394,1242,931,838,552,609,800,80,71,10790
Toronto - Awaba,646,1104,895,744,734,480,419,542,48,35,8307
Wangi Wangi - Rathmines,450,777,744,553,512,306,321,356,54,29,5367
West Wallsend - Barnsley - Killingworth,291,471,728,500,460,332,359,440,30,25,3618
Adamstown - Kotara,1107,2733,1071,1018,1079,742,351,557,57,29,7854
Beresfield - Hexham,251,349,581,487,388,309,423,690,35,37,5015
Hamilton - Broadmeadow,827,2077,628,899,702,497,213,444,64,41,6378
Lambton - New Lambton,1096,2868,962,1017,1105,769,357,641,74,34,8426
Maryland - Fletcher - Minmi,845,1928,1235,1120,1168,761,597,725,100,33,7917
Mayfield - Warabrook,763,2165,986,1105,920,601,435,679,78,47,7750
Merewether - The Junction,1263,2927,753,912,843,580,208,368,56,34,6551
Newcastle - Cooks Hill,1122,2962,660,952,812,476,206,319,54,30,5199
Newcastle Port - Kooragang,4,0,4,0,0,0,0,0,0,0,11
Shortland - Jesmond,291,1049,727,1031,531,720,434,676,46,39,7040
Stockton - Fullerton Cove,428,849,555,455,435,238,217,292,33,18,5302
Wallsend - Elermore Vale,887,2310,1354,1337,1182,842,623,912,91,57,11357
Waratah - North Lambton,616,1804,838,967,777,541,332,553,43,40,6371
Wickham - Carrington - Tighes Hill,732,1811,630,753,566,331,165,330,64,21,3763
Ballina,796,1486,1050,1155,793,745,330,859,45,57,11309
Ballina Surrounds,1331,1799,1182,1083,1000,801,400,924,65,90,9649
Bangalow,707,950,398,318,273,264,78,231,32,35,3679
Brunswick Heads - Ocean Shores,556,1044,642,570,392,358,125,381,53,38,5000
Byron Bay,967,1376,748,753,401,455,125,499,74,61,5449
Evans Head,294,367,312,322,215,159,169,335,22,18,3430
Lennox Head - Skennars Head,754,1393,625,552,491,444,125,303,30,29,4505
Mullumbimby,608,1005,498,464,275,307,136,347,41,31,5171
Casino,423,464,595,670,501,435,390,1029,25,38,7729
Casino Surrounds,592,327,365,365,313,218,253,507,37,36,4371
Goonellabah,602,1200,807,842,843,636,328,737,51,35,7518
Kyogle,478,437,380,364,292,200,208,411,32,37,4774
