sa2,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Sales Workers,Machinery Operators and Drivers,Labourers,Inadequately described,Not stated,Not applicable
Bankstown - North,480,1279,584,682,776,507,523,643,94,66,11351
Bankstown - South,457,1211,693,725,885,527,599,738,82,74,12441
Greenacre - North,546,999,536,390,719,407,352,362,56,52,10217
Greenacre - South,462,868,435,383,622,388,265,304,64,57,9562
Panania (North) - Milperra,684,1142,653,495,901,456,299,327,57,32,6291
Panania (South) - Picnic Point,1121,1849,845,648,1384,585,365,424,94,48,8633
Belmore - Belfield,892,1736,936,894,1229,681,530,646,96,88,12604
Punchbowl,581,1194,755,763,970,668,688,684,110,111,15014
Roselands,727,1296,677,545,924,547,403,409,64,42,8927
Lakemba,321,906,499,619,497,547,555,634,78,76,12361
Wiley Park,228,539,328,416,350,399,412,361,48,39,7020
Campsie - North,401,885,582,596,508,434,330,631,55,74,7410
Campsie - South,218,591,392,515,314,296,241,526,37,56,5883
Canterbury - South,713,1452,552,538,806,473,306,427,82,55,6814
Earlwood,1438,2427,856,566,1214,657,287,403,101,74,9952
Kingsgrove - North,381,626,288,186,408,278,140,162,19,29,3752
Narwee - Beverly Hills,688,1517,588,543,924,485,382,412,79,54,8114
Oatley - Hurstville Grove,998,2092,526,454,963,472,191,261,44,29,6551
Peakhurst - Lugarno,1395,2516,1051,793,1577,709,421,443,107,53,11171
Riverwood,362,988,485,452,605,410,370,427,59,59,7385
South Hurstville - Blakehurst,1653,3158,1181,1206,1661,1094,491,998,133,147,13527
Hurstville - Central,499,1423,588,850,634,670,281,750,59,72,6227
Hurstville - North,610,1314,547,499,783,490,306,442,70,76,6967
Mortdale - Oatley,1101,2211,738,668,1151,565,278,423,83,55,7434
Penshurst,434,1171,511,542,674,416,251,474,46,29,4985
Kingsgrove (South) - Bardwell Park,862,1690,596,435,953,473,285,368,55,42,7215
Kogarah,705,1999,672,719,827,507,308,585,75,45,6617
Kogarah Bay - Carlton - Allawah,941,2078,842,732,1138,727,403,642,93,56,8543
Monterey - Brighton-le-Sands - Kyeemagh,978,1549,687,549,1001,516,386,389,93,64,7682
Rockdale - Banksia,1014,2248,1113,1201,1215,948,558,1217,116,88,10121
Sans Souci - Ramsgate,1257,1895,847,609,1274,714,342,415,83,60,9172
Arncliffe - Bardwell Valley,998,2065,822,659,1080,600,452,671,99,61,9081
Bexley - North,548,1032,497,351,679,339,285,304,55,44,6007
Bexley - South,785,1860,768,814,1008,672,456,786,76,67,8546
Wolli Creek,802,2346,593,494,862,495,241,450,76,79,4296
Concord - Mortlake - Cabarita,2436,3668,909,757,1799,921,268,440,144,77,11681
Drummoyne - Rodd Point,2245,3545,678,596,1317,720,149,302,117,51,8654
Five Dock - Abbotsford,2301,3593,878,711,1534,779,256,401,121,70,10299
Concord West - North Strathfield,1028,2162,650,536,990,443,187,359,55,43,6389
Rhodes,1011,2890,462,408,863,442,159,226,72,61,4863
Balmain,2218,3695,405,433,851,484,66,145,74,29,7184
Lilyfield - Rozelle,1976,3117,467,406,828,472,112,194,63,31,6152
Annandale (NSW),1136,2409,326,343,579,332,66,120,50,21,4077
Leichhardt,2103,4103,670,687,1046,604,169,264,88,41,7765
Canterbury (North) - Ashbury,969,2059,515,484,851,431,219,324,50,52,6042
Croydon Park - Enfield,1192,2378,783,646,1284,629,321,470,105,56,9573
Dulwich Hill - Lewisham,1781,4163,834,733,1294,591,270,402,75,44,7771
Haberfield - Summer Hill,1315,3045,519,508,948,494,164,244,67,28,6175
Homebush,1090,3577,1051,1094,1314,897,625,1071,137,163,9800
Strathfield South,266,579,160,135,273,119,75,101,12,17,1893
Ashfield - North,706,2194,574,680,781,443,235,522,57,47,5225
Ashfield - South,781,2245,578,546,764,410,187,437,63,48,6194
Burwood (NSW),797,2293,676,834,857,660,323,803,105,131,8464
Croydon,756,1769,446,381,745,410,162,331,61,50,5868
Strathfield - East,804,2651,806,1045,857,807,299,1315,91,120,7625
Strathfield - West,821,1740,323,226,689,350,108,147,49,34,4773
Chatswood (West) - Lane Cove North,2186,4795,842,774,1398,725,219,418,104,63,9757
St Leonards - Naremburn,1680,3402,381,409,772,358,63,136,74,25,4607
Artarmon,815,2228,301,323,599,295,80,162,49,30,4529
Castle Cove - Northbridge,1592,2612,262,344,690,409,65,131,110,31,7198
Chatswood - East,1610,3573,643,681,1132,735,170,381,111,87,10470
Greenwich - Riverview,1562,3070,307,393,777,416,45,141,96,37,6092
Lane Cove,1851,3647,520,552,1044,538,105,208,85,48,7289
Willoughby,1425,2476,354,393,802,486,132,194,67,24,6658
Asquith - Mount Colah,1778,3878,1238,1153,1643,788,365,614,72,50,10476
Berowra - Brooklyn - Cowan,1061,1863,765,578,888,423,179,351,44,23,5627
Normanhurst - Thornleigh - Westleigh,1725,3680,791,762,1252,626,189,378,69,40,9645
Hornsby - East,666,2195,582,784,802,478,225,546,62,53,5548
Hornsby - West,750,1959,496,453,670,313,134,275,51,28,5504
Wahroonga (West) - Waitara,844,2305,402,486,707,330,113,263,40,57,6329
Gordon - Killara,2167,4528,537,631,1331,778,148,280,136,61,11832
Lindfield - Roseville,2607,5213,514,708,1321,784,144,298,158,58,12786
Pymble,1997,3550,406,471,1040,558,83,238,97,51,8727
St Ives,2312,3760,551,619,1249,786,157,255,113,66,11814
Turramurra,2110,3815,465,605,1189,616,127,263,89,41,10926
Wahroonga (East) - Warrawee,1895,3571,414,632,1086,558,89,239,102,53,9545
Cremorne - Cammeray,2622,4573,507,599,1213,621,115,225,111,44,8272
Crows Nest - Waverton,2383,5191,570,579,1341,590,91,203,105,43,6825
Neutral Bay - Kirribilli,2251,4465,534,578,1182,623,95,191,117,41,7112
North Sydney - Lavender Bay,1768,3540,336,361,876,398,57,135,109,40,4826
Mosman - North,1669,2739,298,407,777,492,62,150,123,46,6999
Mosman - South,1842,3148,292,433,773,514,82,139,128,33,7171
Balgowlah - Clontarf - Seaforth,2715,3762,608,741,1107,782,133,253,114,49,10465
Manly - Fairlight,3188,5360,774,849,1205,833,183,296,156,56,9546
Avalon - Palm Beach,1400,1845,720,503,672,478,111,271,85,37,6929
Bayview - Elanora Heights,1213,1486,584,409,668,426,131,245,60,25,5993
Newport - Bilgola,1551,2135,872,583,827,581,160,330,85,22,6527
Mona Vale - Warriewood (North),1325,1825,965,645,928,634,220,338,70,47,7636
North Narrabeen - Warriewood (South),1107,1483,765,590,740,479,203,283,62,22,5140
Beacon Hill - Narraweena,1300,1767,882,683,979,639,287,509,61,49,7395
Cromer,712,1000,517,359,535,299,145,225,53,17,4186
Forestville - Killarney Heights,1337,2097,498,514,813,498,151,239,50,25,6949
Freshwater - Brookvale,2633,4112,1358,1050,1391,913,349,502,121,74,9320
Manly Vale - Allambie Heights,1903,2756,914,815,1102,752,270,368,77,39,8560
Terrey Hills - Duffys Forest,391,457,262,151,232,157,56,96,6,7,1967
Belrose,865,1174,383,306,578,369,115,184,27,23,4634
Collaroy - Collaroy Plateau,1451,1991,1002,701,958,602,248,364,76,43,6548
Dee Why (South) - North Curl Curl,942,1483,565,559,605,395,155,268,39,19,4077
Dee Why - North,1563,2652,1330,1308,1145,957,509,957,106,60,7227
Frenchs Forest - Oxford Falls,1850,2649,928,696,1146,714,243,382,63,36,8468
Narrabeen - Wheeler Heights,992,1511,794,537,713,468,177,243,44,22,5758
Camden - Ellis Lane,922,1318,943,704,895,509,384,415,56,40,7115
Currans Hill,379,535,570,361,486,272,339,313,42,27,3133
Elderslie - Narellan,1017,1312,1066,745,1064,602,502,541,50,52,7059
Harrington Park,957,1179,799,596,946,634,369,345,67,37,5315
Mount Annan,1296,1804,1450,1124,1632,943,866,777,89,72,8995
Spring Farm,607,966,768,661,758,452,433,375,64,32,4418
Bradbury - Wedderburn,697,1130,1068,1007,1139,694,984,906,92,71,12232
Campbelltown - Woodbine,834,1980,1096,1083,1326,781,1042,913,117,97,12824
Claymore - Eagle Vale - Raby,814,1271,1179,1024,1381,829,1081,910,127,80,11544
Holsworthy Military Area,0,0,0,0,0,0,0,0,0,0,0
Leumeah - Minto Heights,636,1170,914,808,1033,590,841,782,99,71,9792
Minto - St Andrews,741,1473,1031,1111,1264,753,1069,1000,128,99,12656
Rosemeadow - Glen Alpine,950,1349,1094,957,1258,818,933,905,112,67,12693
Denham Court - Bardia,867,1925,674,618,1002,505,511,417,90,70,8193
Glenfield,449,1260,488,536,701,282,424,402,73,48,5881
Ingleburn,678,1441,767,822,1091,598,773,760,100,75,9611
Macquarie Fields,349,875,547,683,721,429,613,616,67,50,9242
Bargo,356,339,532,273,359,230,303,328,45,34,3131
Douglas Park - Appin,837,888,944,501,814,405,433,429,58,58,5738
Picton - Tahmoor - Buxton,1151,1374,1727,1003,1238,757,831,955,81,61,9807
The Oaks - Oakdale,748,694,940,465,706,347,428,398,47,43,4982
Blackheath - Megalong Valley,328,765,312,293,262,141,92,170,23,22,3362
Blaxland - Warrimoo - Lapstone,1466,2983,1108,966,1267,575,346,564,76,37,9604
Blue Mountains - North,0,0,0,0,0,0,0,0,0,0,3
Katoomba - Leura,770,1738,643,782,604,399,205,441,56,28,7682
Lawson - Hazelbrook - Linden,689,1577,787,739,674,359,256,387,41,24,5909
Springwood - Winmalee,1421,3121,1425,1219,1371,754,472,717,107,38,11321
Wentworth Falls,358,838,293,314,307,201,81,153,22,23,3842
Blue Mountains - South,0,0,0,0,0,0,0,0,0,0,0
Cambridge Park,681,1009,1126,884,1201,598,920,774,94,48,8659
Emu Plains - Leonay,949,1500,973,761,1127,531,471,467,77,51,7026
Glenmore Park - Regentville,1573,2125,1624,1209,1976,1035,914,795,136,46,9569
Jamisontown - South Penrith,861,1332,1261,929,1331,692,810,797,91,68,9160
Kingswood - Werrington,1039,2131,1283,1304,1682,882,1332,1096,136,105,13626
Mulgoa - Luddenham - Orchard Hills,1053,1146,888,561,1030,484,505,468,68,41,5796
Penrith,868,1726,990,954,1247,707,775,765,104,65,9755
Warragamba - Silverdale,391,411,606,288,533,220,359,305,25,27,2860
Cranebrook - Castlereagh,984,1323,1363,890,1372,737,807,745,93,58,8654
Jordan Springs - Llandilo,893,1390,799,807,1065,559,698,472,79,60,6568
Richmond - Clarendon,822,1215,1133,865,896,593,570,670,74,69,8332
Windsor - Bligh Park,825,1065,1316,846,1047,599,777,807,87,56,7856
Yarramundi - Londonderry,464,319,608,306,481,230,418,282,37,23,4332
Erskine Park,359,505,507,335,630,285,419,316,32,23,3080
St Clair,901,1310,1374,947,1698,866,1265,920,108,95,10468
Colyton - Oxley Park,440,652,601,614,807,410,883,600,89,54,7889
St Marys - North St Marys,476,853,794,806,985,508,1172,813,88,59,10781
Rookwood Cemetery,0,0,0,0,0,0,0,0,0,0,0
Auburn - Central,425,1033,797,922,613,595,605,1115,109,176,13100
Auburn - North,184,573,521,684,285,408,397,979,61,121,6389
Auburn - South,242,553,337,271,374,202,267,266,28,58,6260
Berala,249,680,346,319,404,220,317,477,56,73,5464
Lidcombe,916,2392,1174,985,1144,724,614,1127,139,172,11814
Regents Park,170,364,222,215,261,115,177,209,39,34,3335
Silverwater - Newington,727,1237,339,319,566,276,148,171,43,38,5379
Wentworth Point - Sydney Olympic Park,1961,4509,954,775,1673,860,402,445,130,112,8593
Ermington - Rydalmere,1613,3049,1435,962,1744,889,568,722,115,86,13456
Oatlands - Dundas Valley,1251,2367,803,690,1274,625,360,463,101,80,10501
Carlingford - East,786,1857,425,398,775,412,138,248,50,45,6485
Carlingford - West,1187,3017,813,670,1267,617,319,425,96,79,10765
Chester Hill - Sefton,557,1230,737,650,901,475,678,663,85,106,14765
Fairfield - East,271,704,558,472,604,331,608,567,60,66,11501
Granville - Clyde,679,1692,965,1091,1031,774,695,1279,120,155,14769
Guildford - South Granville,495,1052,730,643,817,454,547,564,108,109,16865
Guildford West - Merrylands West,748,1380,1010,791,1156,612,751,686,113,112,15591
Smithfield Industrial,0,0,0,0,0,0,0,0,0,0,6
Yennora Industrial,0,0,5,0,0,0,0,0,0,0,10
Greystanes - South,856,1371,804,563,1234,600,494,518,101,52,10055
Merrylands - Holroyd,815,1665,944,870,1209,681,726,838,120,100,15842
Pemulwuy - Greystanes (North),789,1254,513,373,890,364,299,258,50,38,6066
South Wentworthville,324,633,314,234,470,219,233,203,55,32,4596
North Parramatta,1385,4088,909,957,1687,736,592,623,131,66,11705
North Rocks,668,1331,412,299,587,302,108,185,44,25,4483
Northmead,1261,3762,817,844,1365,695,578,589,117,81,10160
Toongabbie - Constitution Hill,1201,2897,1064,882,1614,727,782,729,122,99,12737
Winston Hills,954,1565,555,446,818,419,177,255,42,33,5937
Pendle Hill - Girraween,617,1927,498,450,898,336,548,492,74,82,8020
Wentworthville - Westmead,1026,3775,729,775,1293,650,733,642,125,114,11707
Parramatta - North,682,3145,408,539,740,372,296,406,55,70,5353
Parramatta - South,423,1693,378,451,536,349,419,525,53,73,4977
Rosehill - Harris Park,358,1202,404,462,486,346,512,508,71,49,4635
Pennant Hills - Cheltenham,1950,4250,704,751,1435,701,167,369,86,62,11270
Epping (East) - North Epping,1072,3318,507,475,904,468,150,257,68,38,7142
Epping (NSW) - West,1303,3869,644,627,1201,590,202,360,85,61,9749
Gladesville - Huntleys Point,1822,2892,662,600,1155,568,149,278,72,33,7220
Hunters Hill - Woolwich,1147,1643,219,261,564,295,55,98,61,22,5472
Macquarie Park - Marsfield,1623,5062,949,930,1662,977,334,517,113,98,11554
North Ryde - East Ryde,1330,3134,655,525,1111,582,173,308,67,72,7663
West Ryde - Meadowbank,1467,3996,998,857,1523,709,306,589,104,99,9452
Putney,476,740,170,136,329,184,49,69,14,3,1999
Denistone,549,1301,260,212,451,234,68,149,35,16,3695
Eastwood,1220,3101,827,682,1138,668,276,512,101,82,10359
Ryde - North,1522,3043,1094,889,1492,845,318,536,104,85,10363
Ryde - South,1088,2535,545,430,915,450,163,241,58,52,5507
Ashcroft - Busby - Miller,251,402,544,557,499,338,742,666,55,81,13815
Austral - Greendale,770,977,702,430,824,428,520,450,64,65,7293
Badgerys Creek,0,4,0,0,0,0,0,3,0,0,11
Cecil Hills,427,594,374,272,552,290,279,262,28,17,3827
Green Valley,384,791,584,420,755,434,646,590,52,66,8203
Hinchinbrook,552,907,661,530,833,437,613,517,69,51,7871
Hoxton Park - Carnes Hill - Horningsea Park,616,1120,642,508,905,500,651,464,74,58,7728
West Hoxton - Middleton Grange,912,1523,879,674,1260,673,749,602,85,53,9783
Cobbitty - Bringelly,368,455,356,262,341,197,162,162,36,18,2403
Gledswood Hills - Gregory Hills,1017,1678,953,735,1152,582,605,451,96,44,6990
Leppington - Catherine Field,777,1325,738,507,871,453,518,445,78,39,6814
Oran Park,1028,1788,1046,905,1205,702,774,633,87,76,9392
Bonnyrigg Heights - Bonnyrigg,515,981,699,524,823,477,822,775,75,57,11406
Bossley Park - Abbotsbury,793,1365,875,607,1206,657,661,603,75,56,12793
Cabramatta - Lansvale,488,1054,817,824,771,645,1256,1333,145,144,16619
Cabramatta West - Mount Pritchard,469,899,688,574,782,514,885,798,95,101,12437
Canley Vale - Canley Heights,520,1149,742,710,903,597,1047,1168,125,117,15180
Edensor Park,373,683,460,330,594,344,385,383,41,41,6656
Fairfield,274,727,520,468,617,369,592,644,58,88,13897
Fairfield - West,430,862,670,522,800,525,785,797,74,90,15697
Greenfield Park - Prairiewood,252,520,331,280,418,238,288,312,40,35,6135
Horsley Park - Kemps Creek,357,296,273,109,354,127,150,155,22,25,2485
Smithfield - Wetherill Park,547,945,790,621,918,506,762,606,73,61,13669
St Johns Park - Wakeley,321,767,442,308,538,277,455,421,43,50,7568
Wetherill Park Industrial,0,0,9,0,0,0,0,0,0,0,21
Casula,715,1325,761,641,961,566,624,539,81,54,10316
Chipping Norton - Moorebank,1265,2079,1105,762,1566,683,687,600,100,71,11884
Holsworthy - Wattle Grove,1453,2610,1350,1387,1810,733,634,560,118,63,10399
Lurnea - Cartwright,222,432,417,372,420,244,463,404,51,53,9589
Warwick Farm,119,382,240,274,248,150,257,302,31,23,3912
Edmondson Park,709,1636,511,574,824,411,417,369,69,41,6518
Liverpool - East,496,1404,678,858,892,482,762,652,92,66,11161
Liverpool - West,296,614,489,505,498,318,479,475,55,60,9949
Prestons,671,1457,776,627,1132,587,766,563,83,53,8973
Gymea - Grays Point,1715,2509,1290,901,1494,751,274,425,84,46,8675
Miranda - Yowie Bay,1626,2565,1252,1059,1481,915,411,587,101,62,10639
Sylvania - Taren Point,1415,1694,823,571,1144,693,310,358,110,65,9265
Caringbah,1040,1568,951,735,1032,538,299,391,75,30,6198
Caringbah South,1387,1640,749,596,1048,534,155,285,59,27,6535
Cronulla - Kurnell - Bundeena,2307,3523,1759,1438,1843,923,457,607,151,69,11293
Lilli Pilli - Port Hacking - Dolans Bay,372,544,184,134,258,135,37,71,16,7,1612
Woolooware - Burraneer,958,1334,551,513,732,392,109,219,63,14,4067
Heathcote - Waterfall,440,754,521,403,531,253,137,227,29,12,3355
Illawong - Alfords Point,946,1441,694,410,905,432,176,253,59,26,5217
Menai - Lucas Heights - Woronora,1847,2794,1471,1041,1887,977,380,554,93,47,9824
Oyster Bay - Como - Jannali,2121,3354,1236,933,1670,851,301,440,93,39,11025
Royal National Park,8,0,0,10,6,0,0,3,0,0,23
Sutherland - Kirrawee,1725,3592,1560,1329,1898,876,493,692,119,58,10898
Engadine,1185,1999,1380,1060,1394,659,335,516,73,30,8717
Loftus - Yarrawarrah,537,1054,539,387,560,286,106,201,22,4,3644
Woronora Heights,333,472,287,218,345,169,56,111,22,9,1513
Migratory - Offshore - Shipping (NSW),0,0,0,0,0,0,0,0,0,0,0
No usual address (NSW),234,500,279,334,236,171,253,419,36,43,8861
