"1-digit level OCCP Occupation","Managers","Professionals","Technicians and Trades Workers","Community and Personal Service Workers","Clerical and Administrative Workers","Sales Workers","Machinery Operators and Drivers","Labourers","Inadequately described","Not stated","Not applicable","Total",
"Avoca Beach - Copacabana",604,1136,471,409,438,293,110,225,33,10,3783,7513,
"Box Head - MacMasters Beach",773,1283,703,516,634,379,163,319,51,24,6198,11042,
"Calga - Kulnura",525,388,340,208,239,123,141,268,27,41,2426,4716,
"Erina - Green Point",850,1549,713,685,834,536,186,446,60,34,8864,14758,
"Gosford - Springfield",1256,2703,1166,1327,1351,892,470,927,109,65,10954,21204,
"Kariong",390,623,548,378,482,358,195,303,39,35,3135,6485,
"Kincumber - Picketts Valley",382,640,448,440,424,258,133,270,28,28,4569,7615,
"Narara",384,829,509,395,501,316,212,337,27,16,3630,7157,
"Niagara Park - Lisarow",504,925,582,470,522,377,218,363,43,16,4181,8205,
"Point Clare - Koolewong",397,829,351,326,408,275,132,228,23,13,3589,6571,
"Saratoga - Davistown",444,745,580,388,447,324,122,247,39,19,3802,7160,
"Terrigal - North Avoca",1214,2127,830,763,910,621,201,396,67,36,7683,14849,
"Umina - Booker Bay - Patonga",1315,1992,1403,1281,1352,848,539,902,93,69,14905,24697,
"Wamberal - Forresters Beach",819,1399,687,594,683,424,164,316,59,27,5504,10675,
"Woy Woy - Blackwall",653,1172,827,705,768,488,332,555,65,58,8721,14346,
"Wyoming",520,995,698,570,641,442,304,549,40,43,6618,11423,
"Bateau Bay - Killarney Vale",1039,1820,1632,1338,1269,908,573,1028,87,66,13071,22825,
"Blue Haven - San Remo",405,450,749,738,598,545,521,710,52,39,6485,11290,
"Budgewoi - Buff Point - Halekulani",353,577,655,588,469,366,313,466,39,17,5888,9728,
"Chittaway Bay - Tumbi Umbi",866,1338,1246,1006,1047,712,530,751,66,41,8409,16006,
"Gorokan - Kanwal - Charmhaven",741,1096,1326,1395,1051,888,811,1152,84,69,13747,22362,
"Jilliby - Yarramalong",334,339,274,189,215,136,101,143,29,15,1635,3420,
"Lake Munmorah - Mannering Park",387,502,697,553,493,427,360,482,39,31,6979,10960,
"Ourimbah - Fountaindale",371,565,336,314,366,215,149,200,26,13,2362,4928,
"Summerland Point - Gwandalan",272,332,499,400,367,264,233,305,23,15,3775,6492,
"The Entrance",772,1158,950,899,759,602,354,695,63,68,9521,15839,
"Toukley - Norah Head",346,614,644,567,460,352,250,417,37,35,6181,9909,
"Tuggerah - Kangy Angy",292,470,386,334,358,224,191,240,27,13,2701,5229,
"Warnervale - Wadalba",1038,1638,1308,1321,1222,968,679,894,87,65,10845,20051,
"Wyong",340,503,471,530,446,314,316,525,38,25,5609,9120,
"Bathurst - East",634,973,857,871,715,520,440,642,57,30,6591,12330,
"Bathurst Surrounds",679,609,516,334,407,206,234,347,40,30,3506,6909,
"Oberon",369,236,308,207,185,121,299,279,38,25,2759,4834,
"Bathurst - South",440,971,591,833,454,458,276,551,42,26,6106,10752,
"Bathurst - West",790,1417,989,1067,889,603,450,704,78,51,7269,14313,
"Condobolin",758,320,289,304,250,135,259,285,12,32,3722,6372,
"Cowra",483,497,515,506,416,390,250,533,24,41,5605,9273,
"Cowra Surrounds",646,310,287,258,215,149,165,319,5,24,3324,5716,
"Forbes",861,669,590,485,419,380,358,579,34,51,5590,10020,
"Grenfell",447,194,148,144,125,88,113,198,7,12,2118,3597,
"Parkes (NSW)",556,756,703,582,566,448,587,515,39,38,6122,10919,
"Parkes Surrounds",433,175,165,129,121,55,112,138,12,29,1901,3262,
"West Wyalong",606,294,372,236,245,158,298,276,17,32,2989,5525,
"Lithgow",428,636,741,666,617,406,520,536,42,44,7744,12385,
"Lithgow Surrounds",508,476,632,493,452,222,407,414,30,25,4785,8448,
"Mudgee",628,937,1069,738,576,517,757,641,42,49,6615,12563,
"Mudgee Surrounds - East",225,134,186,141,96,82,128,143,8,22,2239,3398,
"Mudgee Surrounds - West",895,598,801,433,479,319,621,599,39,50,6241,11072,
"Wollangambe - Wollemi",0,0,0,0,0,0,0,0,0,0,0,0,
"Blayney",616,506,517,396,385,224,332,464,34,31,4001,7517,
"Orange",812,1873,1178,1119,939,662,564,948,76,61,10792,19023,
"Orange - North",1315,2580,1668,1467,1508,937,778,977,107,56,11502,22895,
"Orange Surrounds",1297,1055,841,539,719,354,411,607,54,51,5899,11830,
"Grafton",665,1115,883,1305,881,760,505,957,57,64,12062,19255,
"Grafton Surrounds",925,840,904,853,680,489,549,849,66,75,10655,16875,
"Maclean - Yamba - Iluka",764,1114,918,890,638,575,327,852,46,81,11329,17533,
"Bellingen",339,742,325,350,242,189,109,240,26,20,3579,6168,
"Coffs Harbour - North",828,1350,1027,1131,961,815,354,916,78,69,10578,18099,
"Coffs Harbour - South",434,943,541,672,563,504,193,606,43,38,6767,11305,
"Coramba - Nana Glen - Bucca",221,329,317,232,229,159,115,212,23,21,2092,3950,
"Dorrigo",293,192,127,128,120,89,88,184,9,20,2003,3250,
"Korora - Emerald Beach",679,1280,623,651,656,449,183,362,43,29,5309,10262,
"Sawtell - Boambee",1014,1733,1147,1310,1061,915,457,985,72,54,11320,20066,
"Urunga",229,384,304,277,209,146,110,221,12,10,2995,4907,
"Woolgoolga - Arrawarra",939,1065,836,855,660,460,287,1020,50,47,8246,14463,
"Bourke - Brewarrina",309,216,128,227,140,49,94,146,19,23,2069,3428,
"Cobar",293,201,353,141,178,109,331,214,17,12,2276,4129,
"Coonamble",407,205,129,187,144,62,96,222,15,23,2428,3926,
"Nyngan - Warren",478,248,254,204,184,96,256,292,19,27,2520,4591,
"Walgett - Lightning Ridge",458,236,141,294,161,80,127,223,20,24,3778,5534,
"Broken Hill",677,1181,1115,1173,750,637,737,735,83,75,10420,17588,
"Far West",323,101,32,83,61,23,41,144,5,5,1463,2288,
"Coonabarabran",731,399,298,340,241,172,206,444,29,35,5027,7921,
"Dubbo - East",502,923,774,709,652,516,324,580,46,44,5577,10633,
"Dubbo - South",999,2039,1328,1607,1239,939,530,872,89,80,9899,19628,
"Dubbo - West",522,821,616,728,571,429,289,536,57,43,5705,10317,
"Dubbo Surrounds",630,486,475,280,393,212,218,281,24,27,2930,5963,
"Gilgandra",510,249,206,222,143,135,123,208,11,29,2557,4398,
"Narromine",591,345,337,319,255,171,293,329,20,38,3756,6458,
"Wellington",512,401,375,522,320,233,231,446,29,42,5662,8769,
"Branxton - Greta - Pokolbin",854,910,1230,701,681,495,898,659,75,50,6214,12770,
"Cessnock",725,897,1512,1402,812,860,1050,1253,83,75,14821,23495,
"Cessnock Surrounds",543,640,761,506,486,277,424,445,53,37,4960,9145,
"Dungog",702,652,804,462,523,307,408,476,48,28,5133,9541,
"Kurri Kurri - Abermain",649,947,1683,1274,1084,847,1157,1235,88,65,11624,20631,
"Singleton",722,1002,1473,1249,887,687,1368,805,93,53,8680,17018,
"Singleton Surrounds",389,287,461,210,284,188,434,267,31,24,2765,5332,
"Maitland",488,717,656,552,498,406,401,414,40,27,4418,8611,
"Maitland - North",654,1026,675,483,532,365,318,320,46,21,4288,8727,
"East Maitland - Metford",866,1560,1349,1106,1072,804,709,903,94,47,9470,17981,
"Rutherford (North) - Aberglasslyn",803,1141,1433,1191,1001,764,956,879,79,49,9423,17730,
"Rutherford (South) - Telarah",297,443,625,531,378,341,419,482,45,35,4392,7976,
"Tenambit - East Maitland",440,874,763,587,594,395,364,449,41,21,5573,10091,
"Thornton - Millers Forest",877,1513,1339,1158,1194,757,748,762,89,43,7403,15899,
"Anna Bay",297,419,492,362,309,254,155,251,25,20,3851,6449,
"Lemon Tree Passage - Tanilba Bay",209,292,468,407,254,242,217,332,39,22,4404,6887,
"Nelson Bay Peninsula",1118,1463,1330,1218,1013,840,388,866,91,72,13574,21972,
"Raymond Terrace",498,641,951,853,758,589,669,848,55,70,8659,14588,
"Seaham - Woodville",382,557,536,341,391,218,279,244,32,16,2698,5693,
"Tea Gardens - Hawks Nest",229,238,258,226,189,149,98,202,28,10,4196,5804,
"Williamtown - Medowie - Karuah",752,1010,1282,930,913,601,560,707,90,52,8126,15020,
"Muswellbrook",352,559,1057,572,492,456,978,727,53,53,6976,12272,
"Muswellbrook Surrounds",315,191,371,182,198,121,346,285,26,14,2027,4083,
"Scone",309,423,500,310,257,197,357,523,22,23,3119,6035,
"Scone Surrounds",728,402,653,322,316,208,540,617,34,42,4330,8194,
"Dapto - Avondale",941,1499,1853,1532,1317,915,956,1139,112,62,13861,24195,
"Horsley - Kembla Grange",633,1189,987,818,986,539,492,529,69,41,5868,12155,
"Port Kembla Industrial",0,0,0,0,0,0,0,3,0,0,3,5,
"Unanderra - Mount Kembla",796,1693,1041,779,986,563,455,590,57,40,8281,15280,
"Berkeley - Lake Heights - Cringila",407,735,882,714,639,481,507,773,64,68,8929,14200,
"Port Kembla - Warrawong",295,544,500,457,388,292,284,535,32,33,6381,9740,
"Windang - Primbee",151,253,249,220,223,126,142,170,8,16,2677,4239,
"Illawarra Catchment Reserve",0,0,0,0,0,0,0,0,0,0,0,9,
"Albion Park - Macquarie Pass",935,1638,1681,1352,1338,914,877,882,92,43,9264,19026,
"Albion Park Rail",256,340,491,506,359,272,326,337,27,30,3984,6920,
"Kiama",565,1086,476,435,391,228,144,212,34,20,5194,8786,
"Kiama Downs - Minnamurra",373,763,462,346,322,202,139,175,29,17,3246,6063,
"Kiama Hinterland - Gerringong",686,1045,551,452,404,207,117,252,26,28,4363,8136,
"Shellharbour - Flinders",1144,1962,1438,1170,1322,894,666,743,113,56,9839,19341,
"Shellharbour - Oak Flats",442,742,827,657,633,455,383,476,50,31,5903,10590,
"Warilla",617,1001,1323,1184,914,711,706,1041,80,60,12754,20397,
"Balgownie - Fairy Meadow",1144,2595,1293,1248,1246,776,555,766,88,58,11741,21519,
"Corrimal - Tarrawanna - Bellambi",735,1689,1098,990,903,500,449,624,52,45,8958,16041,
"Figtree - Keiraville",1272,3122,1260,1346,1271,945,573,758,90,44,12093,22773,
