sa2,Has arthritis,Does not have arthritis,Not stated
Gloucester,719,4138,450
Old Bar - Manning Point - Red Head,1852,9596,1037
Taree,3025,15817,2283
Taree Surrounds,2098,9801,1149
Wingham,739,4154,498
Albury - East,1518,15167,1151
Albury - North,1115,8350,1061
Albury - South,1119,8506,900
Albury Surrounds,1279,9942,1291
Lavington,1830,12390,1447
Hay,303,2176,415
Wentworth - Buronga,619,5037,855
Wentworth-Balranald Region,304,2707,642
Corowa,812,4311,477
Corowa Surrounds,1045,5398,824
Deniliquin,913,5315,807
Deniliquin Surrounds,812,5259,768
Moama,885,5484,567
Tocumwal - Finley - Jerilderie,1456,7097,1223
Armidale,2090,19034,2846
Armidale Surrounds - North,461,3391,683
Armidale Surrounds - South,721,4690,479
Walcha,418,2343,374
Glen Innes,1235,6466,1228
Inverell,1387,9280,1399
Inverell Surrounds - East,722,3786,688
Inverell Surrounds - West,761,4303,668
Tenterfield,1091,4941,780
Moree,582,5632,1633
Moree Surrounds,308,3574,1470
Narrabri,719,5453,726
Narrabri Surrounds,440,3405,770
Gunnedah,958,7547,1240
Gunnedah Surrounds,423,3381,560
Quirindi,895,5598,1066
Tamworth - East,2198,17094,2056
Tamworth - North,1714,13202,1605
Tamworth - West,502,4510,988
Tamworth Surrounds,2244,15098,1689
Belmont - Bennetts Green,2256,14382,1225
Belmont South - Blacksmiths,805,4428,453
Charlestown - Dudley,2385,21240,1624
Glendale - Cardiff - Hillsborough,2553,20581,1455
Mount Hutton - Windale,1287,7262,958
Redhead,457,3032,293
Swansea - Caves Beach,1843,9868,846
Valentine - Eleebana,1338,10555,675
Warners Bay - Boolaroo,1773,11992,926
Bolton Point - Teralba,1293,7813,1025
Bonnells Bay - Silverwater,1203,7810,680
Edgeworth - Cameron Park,1517,13783,1072
Morisset - Cooranbong,2502,14327,1299
Toronto - Awaba,1943,10951,1065
Wangi Wangi - Rathmines,1296,7437,740
West Wallsend - Barnsley - Killingworth,808,5968,476
Adamstown - Kotara,1400,14238,968
Beresfield - Hexham,1194,6678,690
Hamilton - Broadmeadow,1248,10338,1185
Lambton - New Lambton,1711,14483,1150
Maryland - Fletcher - Minmi,1235,14272,919
Mayfield - Warabrook,1593,12804,1132
Merewether - The Junction,1167,12409,925
Newcastle - Cooks Hill,1032,10789,984
Newcastle Port - Kooragang,3,21,5
Shortland - Jesmond,976,9943,1674
Stockton - Fullerton Cove,1256,6815,759
Wallsend - Elermore Vale,2583,16921,1461
Waratah - North Lambton,1149,10617,1120
Wickham - Carrington - Tighes Hill,686,7885,599
Ballina,2553,14451,1625
Ballina Surrounds,1791,15160,1373
Bangalow,420,5617,927
Brunswick Heads - Ocean Shores,754,7359,1051
Byron Bay,674,9005,1238
Evans Head,781,4209,655
Lennox Head - Skennars Head,688,7797,752
Mullumbimby,610,6903,1383
Casino,1572,9330,1392
Casino Surrounds,785,5526,1072
Goonellabah,1581,10887,1119
Kyogle,949,5764,900
Lismore,1518,12072,1638
Lismore Surrounds,1390,12566,1829
Kingscliff - Fingal Head,1551,12061,1203
Murwillumbah,1075,7427,1002
Murwillumbah Surrounds,997,7980,1374
Pottsville,1339,11359,1389
Tweed Heads,2567,15875,2122
Banora Point,2282,12817,1223
Terranora - North Tumbulgum,307,2750,264
Tweed Heads South,1485,6236,704
Griffith (NSW),1634,16927,2008
Griffith Surrounds,1149,9705,1904
Leeton,1018,8263,1055
Narrandera,711,4418,774
