sa2,Has diabetes (excluding gestational diabetes),Does not have diabetes (excluding gestational diabetes),Not stated
Taree Surrounds,866,11032,1149
Wingham,353,4539,498
Albury - East,724,15957,1151
Albury - North,555,8909,1061
Albury - South,436,9184,900
Albury Surrounds,590,10629,1291
Lavington,975,13242,1447
Hay,184,2297,415
Wentworth - Buronga,346,5310,855
Wentworth-Balranald Region,170,2837,642
Corowa,385,4730,477
Corowa Surrounds,440,6006,824
Deniliquin,424,5803,807
Deniliquin Surrounds,356,5714,768
Moama,390,5979,567
Tocumwal - Finley - Jerilderie,595,7964,1223
Armidale,989,20128,2846
Armidale Surrounds - North,195,3658,683
Armidale Surrounds - South,320,5092,479
Walcha,172,2591,374
Glen Innes,554,7147,1228
Inverell,721,9937,1399
Inverell Surrounds - East,349,4171,688
Inverell Surrounds - West,361,4707,668
Tenterfield,446,5589,780
Moree,438,5779,1633
Moree Surrounds,198,3678,1470
Narrabri,415,5762,726
Narrabri Surrounds,227,3618,770
Gunnedah,536,7971,1240
Gunnedah Surrounds,203,3598,560
Quirindi,509,5983,1066
Tamworth - East,1181,18113,2056
Tamworth - North,825,14090,1605
Tamworth - West,314,4696,988
Tamworth Surrounds,1033,16310,1689
Belmont - Bennetts Green,989,15648,1225
Belmont South - Blacksmiths,352,4869,453
Charlestown - Dudley,1170,22452,1624
Glendale - Cardiff - Hillsborough,1345,21786,1455
Mount Hutton - Windale,695,7848,958
Redhead,202,3284,293
Swansea - Caves Beach,733,10978,846
Valentine - Eleebana,496,11395,675
Warners Bay - Boolaroo,781,12983,926
Bolton Point - Teralba,624,8489,1025
Bonnells Bay - Silverwater,585,8421,680
Edgeworth - Cameron Park,890,14416,1072
Morisset - Cooranbong,1196,15636,1299
Toronto - Awaba,902,11994,1065
Wangi Wangi - Rathmines,529,8196,740
West Wallsend - Barnsley - Killingworth,401,6379,476
Adamstown - Kotara,636,14998,968
Beresfield - Hexham,666,7200,690
Hamilton - Broadmeadow,573,11018,1185
Lambton - New Lambton,797,15396,1150
Maryland - Fletcher - Minmi,772,14737,919
Mayfield - Warabrook,875,13522,1132
Merewether - The Junction,413,13163,925
Newcastle - Cooks Hill,363,11463,984
Newcastle Port - Kooragang,0,20,5
Shortland - Jesmond,562,10357,1674
Stockton - Fullerton Cove,566,7506,759
Wallsend - Elermore Vale,1351,18149,1461
Waratah - North Lambton,588,11178,1120
Wickham - Carrington - Tighes Hill,278,8290,599
Ballina,1062,15944,1625
Ballina Surrounds,712,16242,1373
Bangalow,102,5927,927
Brunswick Heads - Ocean Shores,205,7912,1051
Byron Bay,192,9483,1238
Evans Head,265,4723,655
Lennox Head - Skennars Head,203,8286,752
Mullumbimby,189,7328,1383
Casino,872,10032,1392
Casino Surrounds,380,5930,1072
Goonellabah,749,11721,1119
Kyogle,369,6343,900
Lismore,747,12846,1638
Lismore Surrounds,495,13461,1829
Kingscliff - Fingal Head,503,13103,1203
Murwillumbah,436,8061,1002
Murwillumbah Surrounds,353,8616,1374
Pottsville,441,12254,1389
Tweed Heads,866,17578,2122
Banora Point,863,14242,1223
Terranora - North Tumbulgum,98,2962,264
Tweed Heads South,605,7117,704
Griffith (NSW),991,17569,2008
Griffith Surrounds,581,10271,1904
Leeton,494,8785,1055
Narrandera,357,4768,774
Tumbarumba,177,2854,485
Tumut,403,5599,664
Tumut Surrounds,226,3969,547
Cootamundra,578,6422,711
Gundagai,220,3004,493
Junee,367,4647,1336
Temora,410,5659,535
Wagga Wagga - East,862,14879,1178
Wagga Wagga - North,176,4923,505
Wagga Wagga - South,1085,19651,1786
Wagga Wagga - West,656,10121,1185
Wagga Wagga Surrounds,743,15272,1772
Berry - Kangaroo Valley,465,8288,732
Callala Bay - Currarong,233,3126,285
Culburra Beach,387,4360,357
Ettrema - Sassafras - Budawang,4,52,8
Huskisson - Vincentia,268,4187,390
North Nowra - Bomaderry,977,13800,1320
Nowra,1415,18107,3063
