sa2,"Employed, worked full-time","Employed, worked part-time","Employed, away from work","Unemployed, looking for full-time work","Unemployed, looking for part-time work",Not in the labour force,Not stated,Not applicable
Wellington,1894,998,221,138,58,3168,721,1576
Branxton - Greta - Pokolbin,4002,1960,590,128,110,2742,384,2860
Cessnock,4697,3069,909,350,255,8903,1008,4298
Cessnock Surrounds,2261,1528,399,95,96,2604,408,1753
Dungog,2488,1548,366,93,58,2863,356,1772
Kurri Kurri - Abermain,5269,3006,733,356,223,5828,829,4388
Singleton,5316,2435,584,193,173,3953,806,3564
Singleton Surrounds,1497,791,280,47,35,1230,385,1062
Maitland,2487,1376,336,124,108,1962,309,1917
Maitland - North,2613,1502,327,70,77,1989,195,1950
East Maitland - Metford,5067,2843,601,266,199,4895,702,3409
Rutherford (North) - Aberglasslyn,5060,2659,585,204,164,4406,575,4071
Rutherford (South) - Telarah,2081,1232,280,150,102,2118,375,1653
Tenambit - East Maitland,2610,1546,359,121,104,3143,322,1881
Thornton - Millers Forest,5254,2664,574,173,132,3070,313,3716
Anna Bay,1329,1014,252,63,57,2454,333,947
Lemon Tree Passage - Tanilba Bay,1277,959,244,95,68,2821,328,1093
Nelson Bay Peninsula,4080,3493,820,224,199,9230,1061,2870
Raymond Terrace,3380,2005,549,289,178,4539,753,2907
Seaham - Woodville,1733,1020,240,46,30,1343,167,1103
Tea Gardens - Hawks Nest,748,697,172,58,27,3292,381,432
Williamtown - Medowie - Karuah,3972,2338,579,177,145,4115,544,3147
Muswellbrook,3351,1568,371,208,136,3318,618,2697
Muswellbrook Surrounds,1326,593,141,36,25,958,245,761
Scone,1920,841,155,56,37,1562,265,1195
Scone Surrounds,2470,1110,285,76,52,2247,501,1456
Dapto - Avondale,5618,3426,1297,322,204,8099,818,4415
Horsley - Kembla Grange,3630,1965,689,117,106,2513,243,2889
Port Kembla Industrial,0,4,0,0,0,0,0,0
Unanderra - Mount Kembla,3960,2294,751,160,143,4666,554,2751
Berkeley - Lake Heights - Cringila,2748,1840,687,221,152,5159,630,2775
Port Kembla - Warrawong,1743,1167,450,156,106,3816,560,1738
Windang - Primbee,846,538,182,52,35,1741,251,608
Illawarra Catchment Reserve,4,0,0,0,0,0,0,0
Albion Park - Macquarie Pass,5561,3059,1145,175,128,4174,543,4246
