sa2,in_wslhd,pop_size,bachelor_above,adv_diploma,high_school_below,managers_professionals,everyone_else,one_family,multi_family,non_family,neg_nil_income,very_low_income,low_income,middle_income,high_income,very_high_income,employed,unemployed,not_in_labour_force,prop_bachelor_above,prop_adv_diploma,prop_high_school_below,prop_managers_professionals,prop_everyone_else,prop_one_family,prop_multi_family,prop_non_family,prop_neg_nil_income,prop_very_low_income,prop_low_income,prop_middle_income,prop_high_income,prop_very_high_income,prop_employed,prop_unemployed,prop_not_in_labour_force
Armidale,0,23983,5650,1500,9586,4082,6160,5440,74,3269,117,2859,1394,2052,561,1386,10398,628,6772,0.28664197656131096,0.07609963979503831,0.48632743138349144,0.3919723449202996,0.5915114269252929,0.23772067820311135,0.0032337004020276177,0.1428509001922741,0.0052136714050176015,0.1274007397174814,0.062118443919611424,0.09143977541107794,0.0249988859676485,0.061761953567131586,0.5275227030592056,0.031860382527522706,0.3435645071279996
Armidale Surrounds - North,0,4531,589,262,2084,832,1174,1085,13,523,34,609,255,341,86,188,2049,81,1083,0.16062176165803108,0.07144805017725661,0.5683119716389419,0.40625,0.5732421875,0.25988023952095807,0.0031137724550898203,0.1252694610778443,0.00851063829787234,0.15244055068836046,0.06382978723404255,0.0853566958698373,0.021526908635794744,0.047058823529411764,0.5587673847832015,0.02208890100899918,0.29533678756476683
Armidale Surrounds - South,0,5889,1078,470,2731,1028,1694,1612,29,624,27,766,373,518,130,355,2757,106,1681,0.22281934683753618,0.09714758164530798,0.5644894584539065,0.37300435413642963,0.6146589259796807,0.2870881567230632,0.005164737310774711,0.11113089937666963,0.004918928766624158,0.13955183093459647,0.06795408999817817,0.09437055930041902,0.023683731098560756,0.06467480415376207,0.5698635799917321,0.021909880115750312,0.3474576271186441
Arncliffe - Bardwell Valley,0,16579,4599,1307,5891,3063,4284,3780,215,1570,133,1096,642,1385,479,1515,7497,449,4769,0.3310300151155258,0.09407615345857626,0.4240264881595048,0.40850893571619096,0.5713523606295012,0.2366345311130587,0.013459371478652811,0.09828471265806936,0.008519087881117089,0.07020240840379195,0.041122213681783246,0.08871380988982834,0.030681527030489368,0.09704073789392775,0.5396242712157201,0.03231843374361189,0.3432663931476283
Artarmon,0,9402,4257,673,1985,3043,1760,2458,53,1112,63,597,355,789,229,1424,4878,247,2127,0.563841059602649,0.08913907284768212,0.2629139072847682,0.6244613174635748,0.3611738148984199,0.2707943153024127,0.0058389335683595904,0.12250743637765782,0.007032034825315325,0.06663690143989284,0.03962495814264985,0.08806786471704431,0.0255608884920192,0.1589463109722067,0.6460927152317881,0.03271523178807947,0.28172185430463575
Ashcroft - Busby - Miller,0,17970,973,796,9145,653,3346,3615,247,1473,164,2244,875,969,247,413,4149,604,7503,0.07137093816474731,0.05838773564145822,0.6707987970366024,0.15716004813477738,0.80529482551143206,0.20678412080997596,0.014128818213019105,0.08425809403958358,0.00965330507975749,0.13208546706692567,0.05150391429748661,0.05703690623344517,0.01453881923597622,0.024309847548413678,0.3043350693170982,0.04430426171789041,0.5503557544194234
Ashfield - North,0,11446,4668,1107,3294,2900,3235,2660,82,1974,93,1007,682,1287,335,1096,6230,409,2973,0.4635551142005958,0.1099304865938431,0.32711022840119164,0.4661629963028452,0.5200128596688636,0.24435054198052544,0.00753261069263274,0.18133382325923203,0.008650358106222677,0.09366570551576597,0.06343595944563296,0.11970979443772672,0.03115989210306018,0.10194400520881779,0.6186693147964251,0.040615690168818275,0.2952333664349553
Ashfield - South,0,12251,4574,1011,3911,3026,2922,2870,85,1838,123,1075,634,1144,302,1271,6050,399,3829,0.42257945306725797,0.09340354767184035,0.36132668144863267,0.49958725441637775,0.48241703813769193,0.24656357388316152,0.007302405498281787,0.15790378006872852,0.010697512610888851,0.0934945207862237,0.05514002435206123,0.0994955644459906,0.026265437467385633,0.11054096364585145,0.5589430894308943,0.036862527716186255,0.3537509238728751
Asquith - Mount Colah,0,22068,7087,2006,7121,5656,5801,6055,175,1333,90,1093,855,1663,628,2880,11582,437,5121,0.4046708159652829,0.11454348198481128,0.40661223091417803,0.48792270531400966,0.5004313319530711,0.2788395118581626,0.008058945429426664,0.061386138613861385,0.004166088043327316,0.05059482479285284,0.0395778364116095,0.07698004906725918,0.029070036568995046,0.1333148173864741,0.6613372922971507,0.024952892137269457,0.29241135156740705
Auburn - Central,1,19483,3799,1431,7644,1458,4647,3526,315,1410,195,1372,769,1190,369,922,6389,898,7189,0.23558228947042045,0.08873868287238,0.47401711521766093,0.228419238602538,0.7280275732414225,0.18540330213481965,0.016563255862866756,0.07414028814807025,0.010477111540941329,0.07371588222652052,0.04131742961530196,0.06393724478830862,0.019825918762088973,0.04953793251665592,0.3961924841870272,0.05568646905618256,0.4458018107404192
Auburn - North,1,10589,2595,1009,3895,757,3274,2036,122,1195,113,909,520,832,234,471,4197,526,3598,0.28680371352785144,0.11151635720601238,0.43048187444739167,0.18023809523809523,0.7795238095238095,0.20282924885435347,0.012153815501095835,0.11904761904761904,0.011412988587011412,0.0918089081910918,0.05251994748005252,0.08403191596808403,0.023633976366023633,0.04757095242904757,0.46385941644562334,0.05813439434129089,0.39765694076038904
Auburn - South,1,8862,1367,533,3800,795,1717,1639,186,455,63,620,358,474,158,428,2600,284,3423,0.19623887453344818,0.07651449899511915,0.5455067470571346,0.30553420445810914,0.6598770176787087,0.1879802729670834,0.02133272164239018,0.052184883587567385,0.007367559349783651,0.07250613963279148,0.04186644836861186,0.05543211320313414,0.018477371067711378,0.05005262542392703,0.37324145851277635,0.0407694516221648,0.49138673557278206
Austral - Greendale,0,12533,1850,766,5701,1747,3354,2787,225,567,93,635,468,908,346,888,5239,226,3499,0.1886215334420881,0.07809951060358891,0.5812601957585645,0.3333969465648855,0.6400763358778626,0.22702834799608992,0.018328445747800588,0.04618768328445748,0.007714001327140013,0.05267086927670869,0.03881884538818845,0.07531519575315196,0.028699402786994028,0.07365627073656271,0.5341557911908646,0.02304241435562806,0.3567495921696574
Avalon - Palm Beach,0,13057,3916,1365,4425,3245,2755,3479,106,1032,98,716,484,862,306,1971,6122,223,4010,0.3625925925925926,0.12638888888888888,0.4097222222222222,0.5295365535248042,0.4495757180156658,0.28530424799081516,0.008692799737575857,0.08463178612432344,0.008110568567408756,0.05925680708433336,0.04005627741454937,0.07133989903169742,0.025324836547215096,0.16312174128941487,0.5668518518518518,0.020648148148148148,0.3712962962962963
Avoca Beach - Copacabana,0,7511,1860,755,2868,1740,1946,2006,56,463,36,424,328,546,179,944,3731,121,1948,0.311140849782536,0.12629642020742723,0.47975911676145866,0.4667381974248927,0.5219957081545065,0.3068685941563408,0.008566620774055378,0.07082759675692213,0.0055598455598455596,0.06548262548262548,0.05065637065637066,0.08432432432432432,0.027644787644787644,0.1457915057915058,0.6241217798594848,0.02024088323854132,0.3258614921378387
Badgerys Creek,0,18,6,4,12,4,3,9,0,0,0,0,0,0,0,0,8,0,5,0.3333333333333333,0.2222222222222222,0.6666666666666666,0.5714285714285714,0.42857142857142855,0.5,0,0,0,0,0,0,0,0,0.4444444444444444,0,0.2777777777777778
Balgowlah - Clontarf - Seaforth,0,20742,7845,1681,5465,6477,3624,5546,94,1406,88,886,544,1046,386,3657,10265,355,5164,0.4824426542033085,0.10337617612692947,0.33608019187011867,0.6302422886056243,0.3526320910771626,0.27290621001869897,0.004625528983367779,0.06918610372994784,0.004358161648177496,0.04387876386687797,0.02694136291600634,0.0518026941362916,0.019116481774960382,0.18111133122028525,0.6312649898530226,0.021831375684152266,0.3175696451632741
Balgownie - Fairy Meadow,0,21520,4702,1698,9653,3739,5884,5386,122,2669,149,2435,1082,1540,588,1937,9773,468,6851,0.26141101906932784,0.0944015122032579,0.5366653694334798,0.3823499335310359,0.6016975150833419,0.2557090632863315,0.005792147367421545,0.12671509281678772,0.007178993013731631,0.11732112743917128,0.052132016381594794,0.07419898819561552,0.02833052276559865,0.0933269091785112,0.5433368543948407,0.026018791349307832,0.3808861955857008
Ballina,0,18626,2900,1537,9405,2282,4932,4762,87,3231,134,3325,1329,1607,434,883,7318,293,7448,0.17942213697952114,0.09509373259914619,0.581884551135309,0.3118764520978543,0.6740467404674046,0.2654847521882143,0.00485030941629035,0.18013045659809332,0.007621431008986463,0.1891138664543283,0.07558867023091799,0.09140029575702423,0.02468433625298601,0.05022181776817199,0.45276248221246057,0.018127822805172306,0.46080554352533565
Ballina Surrounds,0,18328,3451,1568,8387,3130,5390,4893,153,1776,81,1885,1140,1567,484,1235,8683,291,5407,0.2285581826611034,0.10384793694946685,0.555467249486721,0.3606406268003226,0.6210392902408112,0.27370364155059573,0.008558482966940761,0.0993455277731163,0.004589495155532891,0.10680491812567285,0.06459289478157403,0.08878690010765483,0.0274236500651595,0.06997563601337187,0.5750711967679979,0.019272799523147227,0.35810318564143323
Balmain,0,15584,7370,1133,3448,5913,2384,4245,24,2273,101,1009,551,1100,281,3255,8399,340,3695,0.5690680256350861,0.08748359200061771,0.26623426762412167,0.7039285714285715,0.2838095238095238,0.28883445601143093,0.0016329863237395388,0.1546574130774988,0.006973211819939243,0.06966307649820491,0.038041977354322014,0.07594587130626898,0.019400718033692352,0.2247307373653687,0.6485213497027257,0.02625279901165933,0.2853061539649448
