sa2_name_2021,in_wslhd,in_metro,pop_size,bachelor_above,bachelor_below,denominator_edu,unknown_edu,managers_professionals,everyone_else,denominator_occup,unknown_occup,less_md_income,more_md_income,denominator_income,unknown_income,social_housing,non_social_housing,denominator_housing_type,unknown_housing_type,prop_bachelor_above,prop_bachelor_below,prop_managers_professionals,prop_everyone_else,prop_less_md_income,prop_more_md_income,prop_social_housing,prop_non_social_housing
Korora - Emerald Beach,0,0,10262,2222,5246,8186,727,1959,2924,4953,72,3718,4079,8186,386,0,3692,3830,135,0.2714390422672856,0.6408502321035915,0.39551786795881283,0.5903492832626691,0.4541900806254581,0.4982897630100171,0,0.9639686684073107
Sawtell - Boambee,0,0,20066,2991,11545,16454,1912,2747,5875,8746,126,8811,6600,16454,1034,398,7325,8132,383,0.181779506502978,0.7016530934727118,0.31408643951520693,0.6717356505831237,0.5354928892670475,0.40111826911389326,0.048942449581898674,0.9007624200688638
Urunga,0,0,4907,747,2887,4209,568,613,1267,1912,22,2408,1447,4209,361,63,2009,2237,159,0.1774768353528154,0.6859111427892611,0.3206066945606695,0.6626569037656904,0.5721073889284866,0.3437871228320266,0.028162717925793473,0.8980777827447475
Woolgoolga - Arrawarra,0,0,14463,2114,8320,11922,1488,2004,4118,6217,97,6518,4594,11922,811,83,5414,5861,346,0.17731924173796343,0.6978694849857406,0.3223419655782532,0.6623773524207818,0.5467203489347425,0.38533803053178994,0.01416140590342945,0.9237331513393618
Bourke - Brewarrina,0,0,3428,319,1722,2686,633,525,784,1359,42,1103,1046,2686,527,216,955,1457,281,0.11876396128071481,0.6411020104244229,0.38631346578366443,0.5768947755702722,0.41064780342516755,0.38942665673864485,0.14824982841455045,0.6554564172958133
Cobar,0,0,4129,311,2297,3287,685,494,1326,1853,29,1264,1453,3287,571,122,1396,1811,291,0.09461515059324613,0.6988135077578339,0.266594711279007,0.7155963302752294,0.3845451779738363,0.4420444174018862,0.06736609607951408,0.7708448371065709
Coonamble,0,0,3926,324,2099,3059,638,612,840,1498,38,1460,1091,3059,515,132,1205,1607,262,0.10591696632886564,0.6861719516181759,0.40854472630173566,0.5607476635514018,0.4772801569140242,0.3566525008172605,0.0821406347230865,0.7498444306160548
Nyngan - Warren,0,0,4591,422,2647,3727,659,726,1286,2071,46,1706,1534,3727,504,110,1649,1940,178,0.11322779715588946,0.7102226992218943,0.35055528730082086,0.6209560598744568,0.4577408103031929,0.4115910920311242,0.05670103092783505,0.85
Walgett - Lightning Ridge,0,0,5534,402,2692,4514,1409,694,1026,1756,44,2073,1213,4514,1226,219,1690,2570,651,0.08905626938413824,0.5963668586619406,0.3952164009111617,0.5842824601366743,0.4592379264510412,0.2687195392113425,0.08521400778210117,0.6575875486381323
Broken Hill,0,0,17588,1518,10943,14589,2121,1858,5147,7168,158,7559,5488,14589,1547,194,7196,8023,633,0.10405099732675303,0.7500856809925286,0.2592075892857143,0.7180524553571429,0.5181300980190554,0.37617382959764206,0.02418048111678923,0.8969213511155428
Far West,0,0,2288,174,1271,1868,446,424,384,825,10,892,572,1868,397,136,751,1092,196,0.09314775160599571,0.680406852248394,0.5139393939393939,0.46545454545454545,0.47751605995717344,0.30620985010706636,0.12454212454212454,0.6877289377289377
Coonabarabran,0,0,7921,677,4503,6578,1394,1130,1701,2894,64,3522,1947,6578,1096,91,2794,3407,518,0.10291882031012466,0.6845545758589237,0.39046302695231516,0.587767795438839,0.5354211006384919,0.2959866220735786,0.02670971529204579,0.820076313472263
