sa2,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable
Shellharbour - Flinders,5287,129,1187,195,362
Shellharbour - Oak Flats,2809,96,1061,143,184
Warilla,5275,188,2534,409,476
Balgownie - Fairy Meadow,5386,122,2669,348,457
Corrimal - Tarrawanna - Bellambi,4191,78,2264,277,377
Figtree - Keiraville,5430,129,2156,226,373
Helensburgh,2446,63,482,76,166
Thirroul - Austinmer - Coalcliff,3240,72,905,142,442
Woonona - Bulli - Russell Vale,5450,95,2025,238,397
Wollongong - East,3830,41,3922,410,1179
Wollongong - West,3822,76,2642,361,602
Bulahdelah - Stroud,1339,40,577,201,371
Forster,3978,59,2448,445,1596
Forster-Tuncurry Surrounds,1870,62,777,385,1230
Tuncurry,1663,36,1290,175,710
Kempsey,3503,132,1704,399,449
Kempsey Surrounds,2379,76,1157,446,689
Macksville - Scotts Head,1351,38,671,190,270
Nambucca Heads,1698,34,1402,368,354
Nambucca Heads Surrounds,2076,65,926,282,283
South West Rocks,1596,25,795,313,649
Lord Howe Island,102,0,55,35,56
Laurieton - Bonny Hills,5267,133,2414,409,877
Port Macquarie - West,5411,107,3185,433,783
Port Macquarie Surrounds,1358,57,463,190,178
Wauchope,3358,122,1146,200,256
Port Macquarie - East,3050,49,1884,351,871
Port Macquarie - South,4788,82,1981,202,477
Gloucester,1455,25,727,190,409
Old Bar - Manning Point - Red Head,3491,75,1454,311,732
Taree,5136,130,3032,538,623
Taree Surrounds,3619,125,1488,405,811
Wingham,1364,51,718,115,128
Albury - East,4681,65,1840,257,468
Albury - North,2617,55,1464,316,327
Albury - South,2582,27,1905,264,650
Albury Surrounds,3173,67,1113,357,574
Lavington,3813,94,2569,373,545
Hay,719,9,404,163,257
Wentworth - Buronga,1640,27,598,344,386
Wentworth-Balranald Region,810,28,349,240,347
Corowa,1473,19,917,126,345
Corowa Surrounds,1914,23,860,264,555
Deniliquin,1766,14,1069,314,403
Deniliquin Surrounds,1730,34,807,278,685
Moama,1888,25,709,188,380
Tocumwal - Finley - Jerilderie,2478,40,1290,407,632
Armidale,5440,74,3269,584,1099
Armidale Surrounds - North,1085,13,523,221,356
Armidale Surrounds - South,1612,29,624,140,274
Walcha,834,10,389,133,343
Glen Innes,2207,36,1389,382,597
Inverell,3013,64,1550,421,425
Inverell Surrounds - East,1248,29,539,248,356
Inverell Surrounds - West,1475,25,676,229,387
Tenterfield,1740,28,1104,356,737
Moree,1707,45,915,701,536
Moree Surrounds,1039,39,430,585,457
Narrabri,1734,26,852,259,395
Narrabri Surrounds,1049,36,440,293,268
Gunnedah,2364,38,1213,370,430
Gunnedah Surrounds,1107,24,385,221,319
Quirindi,1851,43,953,379,470
Tamworth - East,5396,111,2721,524,676
Tamworth - North,4010,72,2304,469,574
Tamworth - West,1378,41,519,254,250
Tamworth Surrounds,4987,140,1881,457,864
