sa2,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable
Sylvania - Taren Point,4260,151,1434,200,482
Caringbah,3331,54,1942,221,502
Caringbah South,3473,112,786,106,159
Cronulla - Kurnell - Bundeena,6449,134,3572,453,1264
Lilli Pilli - Port Hacking - Dolans Bay,879,35,102,15,41
Woolooware - Burraneer,2395,67,825,78,235
Heathcote - Waterfall,1758,52,510,42,86
Illawong - Alfords Point,2811,155,329,41,105
Menai - Lucas Heights - Woronora,5661,200,909,95,179
Oyster Bay - Como - Jannali,5901,174,1309,177,320
Royal National Park,3,0,0,0,4
Sutherland - Kirrawee,6155,99,3325,276,825
Engadine,4720,117,1060,67,236
Loftus - Yarrawarrah,1991,79,387,35,67
Woronora Heights,985,30,94,9,31
Migratory - Offshore - Shipping (NSW),0,0,0,0,31
