sa2,Has kidney disease,Does not have kidney disease,Not stated
Albury - South,124,9503,900
Albury Surrounds,128,11089,1291
Lavington,194,14026,1447
Hay,34,2448,415
Wentworth - Buronga,90,5566,855
Wentworth-Balranald Region,44,2966,642
Corowa,86,5039,477
Corowa Surrounds,98,6340,824
Deniliquin,83,6145,807
Deniliquin Surrounds,80,5999,768
Moama,106,6266,567
Tocumwal - Finley - Jerilderie,136,8417,1223
Armidale,200,20923,2846
Armidale Surrounds - North,47,3808,683
Armidale Surrounds - South,69,5340,479
Walcha,34,2733,374
Glen Innes,112,7588,1228
Inverell,120,10542,1399
Inverell Surrounds - East,59,4454,688
Inverell Surrounds - West,57,5003,668
Tenterfield,117,5916,780
Moree,86,6124,1633
Moree Surrounds,38,3844,1470
Narrabri,98,6079,726
Narrabri Surrounds,50,3798,770
Gunnedah,133,8378,1240
Gunnedah Surrounds,45,3764,560
Quirindi,117,6376,1066
Tamworth - East,271,19029,2056
Tamworth - North,216,14699,1605
Tamworth - West,66,4943,988
Tamworth Surrounds,259,17086,1689
Belmont - Bennetts Green,230,16408,1225
Belmont South - Blacksmiths,71,5151,453
Charlestown - Dudley,274,23354,1624
Glendale - Cardiff - Hillsborough,274,22859,1455
Mount Hutton - Windale,160,8388,958
Redhead,73,3420,293
Swansea - Caves Beach,184,11533,846
Valentine - Eleebana,137,11755,675
Warners Bay - Boolaroo,168,13595,926
Bolton Point - Teralba,148,8964,1025
Bonnells Bay - Silverwater,146,8868,680
Edgeworth - Cameron Park,184,15123,1072
Morisset - Cooranbong,307,16519,1299
Toronto - Awaba,227,12664,1065
Wangi Wangi - Rathmines,110,8617,740
West Wallsend - Barnsley - Killingworth,79,6698,476
Adamstown - Kotara,162,15472,968
Beresfield - Hexham,132,7740,690
Hamilton - Broadmeadow,143,11445,1185
Lambton - New Lambton,189,16008,1150
Maryland - Fletcher - Minmi,158,15350,919
Mayfield - Warabrook,204,14193,1132
Merewether - The Junction,132,13443,925
Newcastle - Cooks Hill,95,11726,984
Newcastle Port - Kooragang,0,24,5
Shortland - Jesmond,121,10799,1674
Stockton - Fullerton Cove,129,7944,759
Wallsend - Elermore Vale,319,19183,1461
Waratah - North Lambton,148,11617,1120
Wickham - Carrington - Tighes Hill,78,8488,599
Ballina,330,16678,1625
Ballina Surrounds,193,16762,1373
Bangalow,35,5998,927
Brunswick Heads - Ocean Shores,60,8058,1051
Byron Bay,62,9613,1238
Evans Head,76,4919,655
Lennox Head - Skennars Head,49,8438,752
Mullumbimby,37,7472,1383
Casino,223,10684,1392
Casino Surrounds,86,6221,1072
Goonellabah,208,12269,1119
Kyogle,110,6602,900
Lismore,188,13406,1638
Lismore Surrounds,124,13833,1829
