"2-digit level ANC1P Ancestry 1st Response","Oceanian, nfd","Australian Peoples","New Zealand Peoples","Melanesian and Papuan","Micronesian","Polynesian","North-West European, nfd","British","Irish","Western European","Northern European","Southern and Eastern European, nfd","Southern European","South Eastern European","Eastern European","North African and Middle Eastern, nfd","Arab","Jewish","Peoples of the Sudan","Other North African and Middle Eastern","South-East Asian, nfd","Mainland South-East Asian","Maritime South-East Asian","North-East Asian, nfd","Chinese Asian","Other North-East Asian","Southern and Central Asian, nfd","Southern Asian","Central Asian","Peoples of the Americas, nfd","North American","South American","Central American","Caribbean Islander","Sub-Saharan African, nfd","Central and West African","Southern and East African","Inadequately described","So described, nfd","Not stated","Total",
"SA2 (UR)",
"Rutherford (North) - Aberglasslyn",0,6379,48,8,0,39,0,7909,853,369,20,0,207,66,96,0,31,0,3,9,0,43,143,0,84,30,0,307,4,0,19,15,3,0,0,7,90,31,52,857,17730,
"Rutherford (South) - Telarah",0,2906,26,3,0,16,0,3517,418,168,7,0,103,13,62,0,8,0,0,0,0,14,48,0,33,3,0,91,4,0,5,6,0,0,0,14,9,5,14,487,7976,
"Tenambit - East Maitland",3,3336,21,0,0,18,0,5002,643,209,16,0,84,36,87,0,4,0,9,0,0,20,41,0,52,11,0,39,0,0,5,6,0,0,0,11,19,6,15,411,10091,
"Thornton - Millers Forest",0,5499,52,0,0,42,0,7113,753,328,13,0,221,87,95,0,18,0,6,16,0,41,104,0,160,67,0,549,12,4,13,27,0,0,0,14,101,18,47,514,15899,
"Anna Bay",3,1755,21,6,0,4,0,3334,377,183,15,0,134,36,55,0,8,0,0,6,0,21,18,0,22,0,0,17,0,0,11,15,0,0,0,0,10,4,7,382,6449,
"Lemon Tree Passage - Tanilba Bay",0,2212,28,0,0,8,0,3332,364,205,11,0,110,36,44,0,9,0,0,9,0,11,28,0,33,0,0,10,0,0,6,5,0,0,0,0,15,9,0,385,6887,
"Nelson Bay Peninsula",0,5691,64,3,0,23,0,11012,1471,615,48,0,511,340,213,4,56,7,0,28,0,80,114,0,130,25,0,166,8,0,38,56,4,3,0,14,76,16,25,1127,21972,
"Raymond Terrace",0,5222,31,5,0,41,0,6417,737,332,26,0,175,77,71,0,13,0,5,0,0,43,123,0,87,15,0,89,0,0,14,13,3,0,0,11,25,22,21,990,14588,
"Seaham - Woodville",0,2013,6,0,0,5,0,2732,298,136,11,0,75,44,36,0,3,0,0,0,0,0,8,0,3,0,0,7,0,0,8,0,5,0,0,0,10,7,4,284,5693,
"Tea Gardens - Hawks Nest",0,1495,17,0,0,0,0,2950,351,155,21,0,63,36,57,0,8,0,0,3,0,9,17,0,43,3,0,39,0,0,10,3,0,0,0,0,20,9,10,471,5804,
"Williamtown - Medowie - Karuah",0,5392,33,0,0,25,0,6973,724,370,25,0,251,85,100,0,15,0,0,8,0,44,51,0,76,14,0,49,3,3,15,15,0,4,0,0,40,26,6,670,15020,
"Muswellbrook",0,4648,47,8,0,13,0,4911,554,199,5,0,130,39,27,0,21,0,0,8,0,46,134,0,82,12,0,169,0,0,4,11,0,0,0,15,50,27,24,1091,12272,
"Muswellbrook Surrounds",0,1485,5,0,0,3,0,1850,242,75,0,0,38,7,9,0,0,0,0,3,0,12,10,0,12,0,0,12,0,0,4,0,0,0,0,0,9,6,0,296,4083,
"Scone",0,1935,20,41,0,12,0,2728,361,109,3,0,66,3,26,0,4,0,0,4,0,6,82,0,123,10,0,47,0,0,3,21,0,0,0,0,14,17,3,386,6035,
"Scone Surrounds",0,2930,25,0,0,4,0,3715,496,163,8,0,74,14,22,0,6,0,0,0,0,8,21,0,23,0,0,45,0,0,3,3,0,0,0,0,7,0,5,613,8194,
"Dapto - Avondale",0,6765,88,3,0,63,0,11379,1120,691,61,0,1109,644,178,0,71,0,0,74,0,108,237,0,135,31,0,157,5,6,25,97,8,3,0,16,44,16,32,1020,24195,
"Horsley - Kembla Grange",4,3319,54,0,0,27,0,5168,471,310,21,0,719,604,100,0,55,0,4,44,0,46,127,0,190,26,0,373,10,3,8,57,7,0,0,11,25,10,16,353,12155,
"Port Kembla Industrial",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
"Unanderra - Mount Kembla",4,3787,48,0,0,14,0,5862,721,409,52,0,1079,1240,149,3,230,3,8,78,0,72,104,0,190,26,0,240,8,3,16,127,6,0,0,3,40,8,29,712,15280,
"Berkeley - Lake Heights - Cringila",8,3213,59,6,0,74,0,3985,449,321,25,3,1434,1650,135,23,784,0,0,211,5,188,142,0,117,29,0,121,11,0,11,93,9,0,0,53,64,34,50,896,14200,
"Port Kembla - Warrawong",3,2029,67,0,0,94,0,2710,307,227,25,4,1234,1475,105,3,115,0,10,94,0,131,97,0,57,14,0,81,0,0,11,39,3,0,0,49,68,27,24,649,9740,
"Windang - Primbee",0,1209,13,0,0,8,0,1735,249,124,8,0,271,198,47,0,21,0,0,5,0,21,17,0,10,0,0,12,0,0,6,10,0,0,0,0,3,4,0,266,4239,
"Illawarra Catchment Reserve",0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,
"Albion Park - Macquarie Pass",0,5539,58,0,3,31,0,8758,885,625,30,0,954,407,102,3,59,0,0,55,0,47,134,0,131,8,0,212,6,6,23,97,4,0,0,14,32,35,30,728,19026,
"Albion Park Rail",0,2022,28,0,0,9,0,3213,315,261,20,0,263,116,57,0,11,0,0,15,0,29,60,0,17,6,0,49,5,0,0,25,0,0,0,3,0,8,3,367,6920,
"Kiama",0,2121,25,0,0,12,0,4293,732,236,34,0,267,133,83,0,12,0,0,11,0,35,35,0,95,16,0,37,0,0,30,24,6,0,0,0,29,7,3,501,8786,
"Kiama Downs - Minnamurra",0,1666,32,0,0,10,0,3045,436,170,27,0,158,89,42,3,7,0,0,0,0,11,17,0,38,3,0,11,0,0,9,7,0,0,0,0,16,5,3,248,6063,
"Kiama Hinterland - Gerringong",0,2180,41,0,0,3,0,4101,700,203,23,0,214,72,62,0,19,4,0,5,0,17,20,0,39,3,0,25,0,0,17,15,0,5,0,0,13,0,5,357,8136,
"Shellharbour - Flinders",0,4856,76,0,0,29,0,7920,938,495,40,4,1334,1497,179,3,147,5,0,135,0,89,99,0,152,34,0,180,5,5,18,98,5,0,0,4,69,14,22,876,19341,
"Shellharbour - Oak Flats",0,2724,44,0,0,14,0,4240,516,419,31,0,668,688,110,4,57,0,0,67,0,74,52,0,86,10,0,107,4,0,13,33,3,0,0,10,18,12,31,557,10590,
"Warilla",0,5845,111,3,0,43,0,8225,877,576,49,0,1095,1045,169,14,86,4,6,170,0,133,150,0,74,15,0,109,6,4,18,109,9,0,0,8,26,30,12,1379,20397,
"Balgownie - Fairy Meadow",0,4751,50,6,0,80,0,8083,1120,586,36,3,2053,820,253,20,317,0,6,327,0,274,146,0,530,60,0,533,17,3,40,128,18,0,0,30,52,40,40,1109,21519,
"Corrimal - Tarrawanna - Bellambi",6,4087,73,4,0,105,0,6844,880,490,40,3,919,520,175,10,170,0,3,75,0,157,142,0,146,30,0,179,15,0,22,87,3,5,0,17,48,33,20,733,16041,
"Figtree - Keiraville",0,4990,74,9,0,42,0,8302,1170,589,57,6,1311,1728,257,19,421,5,6,202,0,184,145,0,788,79,0,879,16,0,39,130,9,5,0,26,81,47,76,1082,22773,
"Helensburgh",0,2644,34,0,0,5,0,4493,653,241,24,0,210,90,62,0,11,0,0,17,0,25,30,0,79,9,0,41,0,0,23,22,4,0,0,0,20,12,10,362,9135,
"Thirroul - Austinmer - Coalcliff",0,2940,49,0,0,8,0,5877,1045,404,42,0,386,190,182,0,39,6,0,21,0,36,31,0,101,28,0,51,0,0,21,41,0,0,0,0,20,6,17,398,11957,
"Woonona - Bulli - Russell Vale",0,5821,39,0,0,33,0,9873,1384,653,57,0,775,262,201,4,115,6,0,34,0,79,94,0,134,28,0,139,0,0,42,69,7,3,0,15,65,22,25,775,20761,
"Wollongong - East",6,2754,38,0,0,47,0,5851,936,459,38,4,1001,853,205,15,332,6,4,229,0,292,196,0,687,129,0,629,27,3,37,119,18,0,0,24,57,18,36,952,16020,
"Wollongong - West",0,3031,36,0,0,65,0,5345,861,377,33,0,731,1746,125,16,369,0,5,171,0,391,204,0,655,79,0,903,30,3,28,93,12,4,0,53,72,38,59,997,16551,
"Bulahdelah - Stroud",0,1809,14,0,0,4,0,2390,253,111,10,0,61,12,15,0,0,0,0,0,0,3,22,0,12,0,0,15,0,0,7,0,4,0,0,0,9,0,6,477,5235,
"Forster",3,4590,35,0,0,12,0,7163,822,316,38,0,250,75,88,4,39,3,0,12,0,46,92,0,68,20,0,118,3,0,12,17,5,0,0,4,26,22,11,837,14709,
"Forster-Tuncurry Surrounds",0,2106,12,5,0,0,0,3317,388,169,16,0,124,29,39,0,5,3,0,14,0,16,24,0,24,11,0,18,0,0,16,3,0,4,0,0,11,9,7,618,6988,
"Tuncurry",0,2164,15,0,0,3,0,2956,354,124,14,0,121,32,48,0,4,0,0,6,0,10,41,0,47,3,0,50,0,0,3,12,0,0,0,0,4,4,0,366,6376,
"Kempsey",0,6043,30,0,0,26,0,6019,701,254,22,0,120,38,35,0,20,0,0,3,0,26,99,0,78,0,0,85,0,0,16,7,5,0,0,0,11,7,6,2014,15654,
"Kempsey Surrounds",0,3171,23,0,0,14,0,4348,493,247,9,0,90,22,37,0,5,0,0,0,0,25,50,0,60,9,0,22,0,0,10,10,0,0,0,0,15,9,4,790,9472,
"Macksville - Scotts Head",0,1818,12,0,0,3,0,2392,300,102,13,0,60,14,18,0,10,3,0,4,0,5,20,0,19,6,0,60,0,0,5,4,0,0,0,0,3,10,0,324,5189,
"Nambucca Heads",0,2342,14,3,0,4,0,3229,401,163,15,0,83,32,39,0,8,0,0,0,0,24,28,0,22,6,0,53,0,0,14,3,0,0,0,0,9,7,4,590,7111,
"Nambucca Heads Surrounds",0,2583,12,0,0,0,0,3842,469,184,11,0,113,27,43,0,9,0,0,0,0,11,24,0,20,3,0,43,0,0,4,3,0,0,0,0,9,14,8,656,8102,
"South West Rocks",0,1711,6,0,0,0,0,2775,381,120,6,0,60,15,47,0,3,0,0,6,0,13,33,0,23,5,0,24,0,0,0,4,0,0,0,0,4,0,0,380,5628,
"Lord Howe Island",0,133,3,0,0,5,0,178,34,15,0,0,5,0,3,0,0,0,0,0,0,0,0,0,11,4,0,0,0,0,3,3,0,0,0,0,0,0,0,39,445,
"Laurieton - Bonny Hills",0,5713,34,0,0,15,0,9490,1210,451,37,0,241,61,97,0,12,0,0,8,0,31,35,0,77,4,0,36,6,5,39,21,0,0,0,0,20,48,8,777,18484,
"Port Macquarie - West",0,6453,54,6,0,23,0,9831,1151,491,54,0,355,82,133,0,42,7,0,39,0,86,206,0,175,27,0,420,7,9,20,22,5,0,0,3,86,33,31,1295,21147,
"Port Macquarie Surrounds",0,1748,13,0,0,3,0,2480,312,134,16,0,55,24,32,0,5,0,0,0,0,4,15,0,22,3,0,6,0,0,4,4,0,0,0,0,9,6,0,393,5301,
"Wauchope",0,4638,35,0,0,5,0,6073,634,267,16,0,136,35,42,0,18,0,0,0,0,31,41,0,55,0,0,23,0,0,18,10,0,0,0,0,23,8,0,687,12796,
"Port Macquarie - East",0,3298,27,0,0,11,0,5764,907,309,23,0,186,63,70,0,34,3,0,19,0,43,62,0,96,40,0,135,14,0,20,32,5,3,0,3,26,13,14,556,11764,
"Port Macquarie - South",0,4969,42,0,0,8,0,8737,1329,484,37,0,284,102,108,0,40,0,0,11,0,39,73,0,127,20,0,88,5,0,22,19,0,0,0,4,45,15,8,644,17284,
"Gloucester",0,1878,13,0,0,3,0,2551,275,87,8,0,44,16,21,0,5,0,0,3,0,3,19,0,16,3,0,12,0,0,8,0,3,0,0,0,9,0,0,329,5310,
"Old Bar - Manning Point - Red Head",0,3931,28,0,0,9,0,5940,709,377,29,0,198,69,84,0,11,0,0,13,0,27,48,0,57,9,0,60,0,0,22,16,0,0,0,4,28,9,5,797,12476,
"Taree",0,7787,31,0,0,9,0,9008,899,405,44,0,195,59,65,4,64,0,0,7,0,63,175,0,140,18,0,274,0,0,26,14,0,0,0,14,17,23,30,1747,21123,
"Taree Surrounds",0,4257,21,0,0,6,0,6297,760,322,27,0,215,38,63,0,9,0,0,5,0,22,29,0,31,10,0,31,4,0,9,15,0,3,0,0,18,14,14,818,13044,
"Wingham",0,1902,7,0,0,3,0,2613,222,100,0,0,73,3,26,0,0,0,0,0,0,10,17,0,22,5,0,3,0,0,0,7,0,0,0,0,6,4,0,353,5395,
"Albury - East",0,5161,34,0,0,20,0,8029,1403,704,22,0,298,120,106,0,32,3,9,15,0,97,111,0,153,30,0,557,0,0,15,21,3,0,0,10,47,26,37,761,17831,
"Albury - North",0,3039,21,0,0,3,0,4427,725,418,24,0,155,52,68,0,18,3,0,8,0,64,86,0,52,4,0,397,0,0,10,13,0,0,0,25,27,24,28,831,10527,
"Albury - South",0,2659,14,0,0,10,0,4820,873,407,25,0,208,131,108,0,17,0,0,3,0,40,55,0,66,17,0,293,0,0,9,14,0,0,0,28,25,21,9,665,10519,
"Albury Surrounds",0,3995,22,0,0,18,0,5437,878,718,6,0,125,26,46,0,16,0,0,0,0,19,33,0,26,9,0,48,3,0,12,9,0,0,0,9,4,15,3,1033,12507,
"Lavington",5,4455,51,0,0,13,0,6304,946,644,16,4,240,111,102,0,23,0,0,9,0,82,207,0,81,11,0,1059,5,0,13,3,0,0,0,147,28,33,15,1054,15665,
"Hay",0,979,11,0,0,16,0,1205,151,29,0,0,61,16,3,0,0,0,0,3,0,6,4,0,7,0,0,36,0,0,0,0,0,0,0,0,10,0,3,339,2897,
"Wentworth - Buronga",0,2222,15,23,0,25,0,2514,322,144,4,0,225,47,22,0,8,0,0,9,0,14,37,0,17,6,0,28,0,0,0,0,0,0,0,6,4,7,0,814,6511,
"Wentworth-Balranald Region",0,939,0,15,0,45,0,1382,192,58,0,0,279,10,7,0,0,0,0,0,0,24,65,0,45,0,0,26,0,0,0,0,0,0,0,0,0,3,0,548,3648,
"Corowa",0,1746,11,0,0,0,0,2704,363,146,4,0,85,18,35,0,0,0,0,0,0,7,50,0,22,0,0,15,0,0,0,0,0,0,0,0,0,4,4,358,5595,
"Corowa Surrounds",0,2158,9,0,0,0,0,3465,549,195,7,0,96,22,32,0,0,0,0,0,0,11,30,0,16,17,0,18,0,0,3,0,0,0,0,5,5,9,0,621,7262,
"Deniliquin",0,2436,17,0,0,7,0,3014,385,138,7,0,120,19,10,0,8,0,0,3,0,9,22,0,46,4,0,79,0,0,3,0,0,0,0,0,19,6,0,693,7038,
"Deniliquin Surrounds",0,2234,13,0,0,3,0,3114,412,149,3,0,104,8,16,0,0,0,0,0,0,11,89,0,19,0,0,11,0,0,0,0,0,0,0,0,6,3,0,638,6837,
"Moama",0,2102,15,0,0,0,0,3298,462,155,11,0,198,18,18,0,0,0,0,0,0,25,33,0,34,14,0,60,0,0,0,0,0,0,0,0,6,3,0,468,6930,
"Tocumwal - Finley - Jerilderie",0,2842,15,0,5,3,0,4469,702,214,7,0,185,28,32,0,26,0,0,0,0,7,47,0,45,0,0,84,0,0,4,8,0,0,0,0,17,12,6,1009,9778,
"Armidale",4,6914,48,14,0,41,7,9444,1514,539,43,0,200,59,90,4,413,0,3,168,0,118,170,0,339,58,0,885,7,12,51,41,5,0,0,41,124,228,73,2317,23967,
"Armidale Surrounds - North",0,1506,11,24,0,38,0,1984,236,63,9,0,17,8,17,0,4,0,0,0,0,11,7,0,28,7,0,6,0,0,8,0,0,0,0,0,0,5,0,538,4527,
"Armidale Surrounds - South",0,2087,14,0,0,0,0,2700,415,155,7,0,33,11,14,0,5,0,0,0,0,18,7,0,29,13,0,4,0,0,3,8,0,0,0,0,4,3,11,341,5894,
"Walcha",0,1108,8,0,0,4,0,1393,188,66,0,0,27,7,0,0,0,0,0,0,0,0,4,0,6,0,0,4,0,0,8,0,0,0,0,0,3,0,0,310,3144,
"Glen Innes",0,2852,8,3,0,5,0,4016,509,183,25,0,56,15,25,0,9,0,0,0,0,7,28,0,45,7,0,75,0,0,6,0,0,0,0,0,10,9,0,1019,8931,
"Inverell",0,4469,17,7,0,94,0,5040,560,206,12,0,110,15,28,0,18,0,0,0,0,50,134,0,91,20,0,55,0,0,9,31,0,0,0,7,6,25,11,1050,12057,
"Inverell Surrounds - East",0,1939,5,0,0,0,0,2136,254,123,3,0,65,8,17,0,0,0,0,0,0,0,14,0,13,0,0,4,0,0,24,9,0,0,0,0,0,0,0,584,5200,
"Inverell Surrounds - West",0,2109,13,3,0,4,0,2529,326,101,9,0,30,5,8,0,0,0,0,0,0,0,3,0,15,0,0,8,0,0,4,0,0,0,0,0,0,3,6,547,5734,
"Tenterfield",10,2094,16,3,0,4,0,3008,538,216,11,0,93,15,24,0,8,0,0,0,0,5,24,0,16,9,0,32,0,0,8,0,0,0,0,0,13,4,5,649,6810,
"Moree",0,3213,7,0,0,25,0,2381,323,83,8,0,39,48,16,0,26,0,0,5,0,26,47,0,57,5,0,93,0,0,3,4,0,0,0,0,15,9,12,1410,7845,
"Moree Surrounds",0,1716,4,0,0,4,0,1783,304,103,0,0,15,4,3,0,0,0,0,0,0,4,23,0,9,6,0,4,0,0,0,3,0,0,0,0,17,0,0,1323,5356,
"Narrabri",0,3034,14,8,0,8,0,2625,333,87,4,0,25,9,11,0,0,0,0,0,0,8,50,0,36,6,0,52,3,0,3,0,0,0,0,3,7,3,7,559,6898,
"Narrabri Surrounds",0,1794,10,0,0,4,0,1698,264,71,4,0,21,13,12,0,0,0,0,0,0,0,14,0,10,9,0,7,0,0,10,0,0,0,0,0,3,13,0,672,4616,
"Gunnedah",0,4008,21,8,0,30,0,3745,485,135,8,0,65,10,27,0,5,0,0,3,0,10,89,0,54,16,0,46,0,0,5,8,0,0,4,0,24,5,12,921,9745,
"Gunnedah Surrounds",0,1735,4,4,0,0,0,1800,231,48,4,0,16,10,0,0,0,0,0,0,0,0,11,0,16,3,0,11,0,0,0,0,4,0,0,0,8,0,0,455,4369,
"Quirindi",0,2948,10,0,0,0,0,3080,341,104,3,0,41,14,14,0,9,0,0,3,0,6,17,0,33,6,0,45,0,0,0,0,0,0,0,0,0,0,13,870,7551,
"Tamworth - East",0,8248,51,0,0,43,0,8707,1116,351,22,0,184,34,38,3,19,3,0,15,0,194,152,0,317,21,0,267,3,5,15,14,0,0,0,8,39,24,25,1436,21360,
"Tamworth - North",0,5612,19,5,0,14,0,6645,1004,279,28,0,133,30,31,4,66,0,4,21,0,194,183,0,222,21,0,636,0,0,18,3,3,0,0,18,39,20,42,1213,16517,
"Tamworth - West",8,2684,25,0,0,17,0,1848,160,59,0,0,38,0,11,0,0,0,0,0,0,57,187,0,67,0,0,29,0,0,0,0,0,0,0,0,17,8,0,758,5998,
"Tamworth Surrounds",0,7105,19,0,0,0,0,8799,975,380,9,0,129,33,43,0,18,5,0,12,0,13,39,0,61,3,0,81,0,0,16,3,0,0,0,0,29,18,4,1239,19038,
"Belmont - Bennetts Green",0,5651,43,0,0,18,0,8916,999,413,21,0,275,105,129,0,24,0,8,16,0,40,68,0,166,20,0,121,3,0,30,18,3,0,0,11,40,12,20,696,17864,
"Belmont South - Blacksmiths",0,1904,12,0,0,8,0,2779,324,114,8,0,58,25,38,0,0,0,0,0,0,17,29,0,24,3,0,16,0,0,0,4,0,0,0,0,8,3,3,285,5680,
"Charlestown - Dudley",5,7749,55,4,0,82,0,11782,1615,580,47,0,530,417,196,7,33,0,3,26,0,83,119,0,357,85,0,291,9,0,41,50,3,0,0,6,47,25,32,965,25254,
"Glendale - Cardiff - Hillsborough",0,7808,43,6,0,104,0,11411,1457,622,35,5,410,289,289,3,61,4,0,49,0,115,157,0,266,39,0,264,5,0,24,37,7,6,0,6,41,24,27,965,24588,
"Mount Hutton - Windale",0,3306,16,0,0,27,0,4232,446,191,9,0,125,70,66,0,15,0,4,3,0,39,48,0,69,29,0,66,0,0,3,17,0,0,0,12,21,9,0,670,9504,
"Redhead",0,1160,3,0,0,4,0,1879,191,116,5,0,63,35,13,0,12,0,0,0,0,0,8,0,20,4,0,3,0,0,4,4,0,0,0,0,10,3,4,237,3785,
"Swansea - Caves Beach",0,3825,52,0,0,13,0,6294,718,318,29,0,253,80,103,0,24,0,0,15,0,27,75,0,70,21,0,40,4,0,7,17,0,4,0,0,28,17,14,515,12559,
"Valentine - Eleebana",0,3673,24,0,0,16,0,6568,713,364,10,0,164,121,112,0,26,0,0,17,0,25,31,0,134,24,0,92,0,7,19,15,0,3,0,5,54,4,12,322,12568,
"Warners Bay - Boolaroo",0,4299,29,9,3,26,0,7235,840,396,25,0,285,184,154,0,37,5,0,9,0,44,65,0,153,23,0,207,4,3,17,22,3,0,0,0,39,14,16,552,14694,
"Bolton Point - Teralba",0,3329,33,0,0,48,0,4671,529,259,12,0,114,57,79,0,7,0,10,7,0,42,29,0,57,9,0,78,0,0,11,3,4,5,0,0,32,8,6,698,10135,
"Bonnells Bay - Silverwater",0,3069,21,0,0,28,0,4743,486,276,21,0,170,65,72,0,22,0,0,5,0,16,40,0,68,10,0,49,10,0,16,22,0,6,0,0,40,16,17,402,9691,
"Edgeworth - Cameron Park",5,5449,30,3,0,81,0,7055,651,348,13,0,210,160,125,0,43,0,13,34,0,70,149,0,229,53,0,707,8,3,12,21,6,0,0,19,74,27,48,737,16375,
"Morisset - Cooranbong",0,5503,84,9,0,130,0,8729,875,434,43,0,363,115,102,0,42,5,3,17,0,49,106,0,85,38,0,122,9,0,25,32,6,5,0,3,93,27,20,1029,18129,
"Toronto - Awaba",0,4406,41,3,0,41,0,6924,747,349,23,0,175,75,116,4,9,0,0,5,0,52,68,0,102,15,0,53,5,0,18,26,0,0,0,0,35,17,17,639,13961,
"Wangi Wangi - Rathmines",0,2843,26,0,0,12,0,4826,520,272,29,0,120,64,63,0,12,0,0,9,0,39,28,0,74,12,0,16,4,0,14,11,4,4,0,0,23,12,4,433,9467,
"West Wallsend - Barnsley - Killingworth",0,2649,10,0,0,14,0,3513,333,166,9,0,75,34,59,3,3,4,0,3,0,11,28,0,14,0,0,31,0,0,8,0,0,3,0,0,8,12,5,261,7254,
"Adamstown - Kotara",0,4736,40,0,0,14,0,7793,1183,364,26,0,440,472,124,4,39,0,3,18,0,67,90,0,250,68,0,208,3,7,22,30,6,4,0,4,33,20,15,528,16600,
"Beresfield - Hexham",0,3133,27,0,0,59,0,3857,360,193,5,0,92,26,47,0,8,4,0,0,0,42,66,0,134,0,0,45,0,0,5,9,5,0,0,0,7,9,5,420,8561,
"Hamilton - Broadmeadow",0,3192,34,0,0,23,0,5495,1002,281,30,0,427,503,99,0,30,0,0,24,0,68,62,0,176,56,0,210,5,0,10,30,5,6,0,9,31,19,21,916,12772,
"Lambton - New Lambton",0,4882,45,0,0,27,0,8099,1184,387,27,0,345,382,154,7,46,0,9,26,0,61,104,0,257,66,0,355,29,5,23,28,5,0,0,18,31,15,35,688,17343,
"Maryland - Fletcher - Minmi",0,4991,47,20,0,39,0,6608,658,304,21,0,259,276,143,21,223,0,14,56,0,116,227,0,384,99,0,1026,29,0,12,32,5,0,0,38,83,25,95,570,16429,
"Mayfield - Warabrook",0,4238,59,13,0,98,0,6914,1084,381,17,0,313,322,153,5,34,0,5,14,0,158,160,0,238,61,0,213,11,7,20,26,7,3,0,31,39,34,29,849,15526,
"Merewether - The Junction",0,3829,23,0,0,21,0,7134,1164,346,45,6,399,288,126,3,31,6,0,24,0,43,61,0,159,48,0,147,0,0,25,31,0,10,0,3,33,14,9,474,14506,
"Newcastle - Cooks Hill",0,2699,28,0,0,13,0,6284,1055,365,74,0,288,168,148,12,77,7,10,46,0,60,102,0,209,59,0,215,0,4,49,61,8,4,0,0,46,17,31,655,12805,
"Newcastle Port - Kooragang",0,7,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,31,
"Shortland - Jesmond",0,3020,27,5,0,55,0,4464,566,184,14,0,165,129,49,9,189,0,11,71,0,142,158,0,569,68,0,650,221,6,13,26,0,0,0,102,95,45,101,1430,12593,
"Stockton - Fullerton Cove",0,2615,17,0,0,17,0,4258,567,198,15,0,97,57,66,0,6,0,0,6,0,29,51,0,57,15,0,35,0,0,26,13,3,0,0,0,34,12,16,614,8824,
"Wallsend - Elermore Vale",0,6034,41,3,0,54,0,9039,1120,411,19,0,363,550,259,6,164,0,10,51,0,115,218,0,409,113,0,516,64,13,20,34,11,5,0,39,61,68,92,1040,20958,
"Waratah - North Lambton",0,3528,29,0,0,54,0,5438,817,262,19,3,284,267,132,3,66,5,10,20,0,110,108,0,202,40,0,268,33,3,13,24,3,0,0,27,43,15,41,1014,12883,
"Wickham - Carrington - Tighes Hill",0,2427,22,3,0,28,0,4426,735,237,27,0,221,112,71,0,10,0,3,14,0,29,57,0,77,19,0,115,11,7,17,32,0,4,0,0,25,28,12,389,9171,
"Ballina",0,5275,67,7,0,20,0,8883,1321,465,48,0,383,82,82,0,13,3,0,21,0,80,97,0,102,39,0,177,0,0,38,29,3,4,0,0,21,19,16,1329,18629,
"Ballina Surrounds",0,5374,50,9,0,17,0,9062,1215,513,43,0,410,76,89,4,15,0,0,0,0,64,58,0,118,30,0,97,0,0,29,56,0,5,0,4,49,32,26,875,18327,
"Bangalow",0,1418,23,0,0,6,0,3206,551,277,32,0,191,46,78,0,17,12,0,17,0,16,23,0,33,35,0,44,6,0,14,26,0,0,0,0,20,13,9,824,6958,
"Brunswick Heads - Ocean Shores",0,2018,26,3,0,7,5,4180,767,446,56,0,264,59,140,0,20,13,0,36,0,16,53,0,42,42,0,43,0,3,29,58,5,8,0,5,20,16,8,792,9170,
"Byron Bay",0,1997,34,4,0,0,0,4726,840,627,67,0,634,102,161,0,33,19,0,28,0,50,48,0,69,96,0,56,3,0,45,157,11,3,0,0,25,23,21,1017,10914,
"Evans Head",0,1798,15,0,0,8,0,2583,352,109,4,0,96,9,20,0,5,0,0,0,0,12,17,0,16,3,0,21,0,0,12,5,0,0,0,0,16,6,0,542,5643,
"Lennox Head - Skennars Head",0,2290,36,6,0,3,0,4584,864,308,41,0,215,45,77,0,10,9,0,26,0,18,27,0,50,34,0,29,3,0,25,22,4,0,0,0,18,8,8,469,9236,
"Mullumbimby",0,1792,19,0,0,3,0,3858,674,514,35,0,230,54,133,0,15,33,0,68,0,19,32,0,44,50,0,39,0,0,31,41,0,8,0,0,18,7,10,1180,8896,
"Casino",0,4427,38,0,0,3,0,5319,704,217,8,0,148,26,16,0,4,0,0,0,0,19,101,0,40,3,0,46,5,0,13,0,0,0,0,0,12,8,6,1133,12298,
"Casino Surrounds",0,2477,16,16,0,8,0,3141,432,176,6,0,121,15,12,0,7,3,0,0,0,5,44,0,17,6,0,12,0,0,4,0,0,0,0,0,8,10,0,873,7381,
"Goonellabah",0,4363,33,0,0,19,0,6011,902,286,22,0,383,58,61,4,44,3,19,10,0,54,104,0,91,31,0,169,5,0,29,15,0,0,0,4,31,13,14,815,13591,
"Kyogle",0,2350,16,3,0,6,0,3420,520,198,30,0,93,27,35,0,4,4,0,7,0,16,28,0,22,5,0,50,0,0,15,11,0,0,0,0,8,10,6,737,7611,
"Lismore",0,4451,38,12,0,22,0,6799,1169,402,39,0,405,39,44,0,19,0,5,8,0,45,86,0,82,27,0,168,0,4,23,18,0,0,0,9,16,40,22,1230,15229,
"Lismore Surrounds",3,4414,30,8,0,18,0,7139,1170,529,39,0,490,52,86,3,16,5,0,9,0,36,27,0,74,36,0,48,0,0,26,31,3,0,0,0,30,21,3,1439,15786,
