"2-digit level ANC1P Ancestry 1st Response","Oceanian, nfd","Australian Peoples","New Zealand Peoples","Melanesian and Papuan","Micronesian","Polynesian","North-West European, nfd","British","Irish","Western European","Northern European","Southern and Eastern European, nfd","Southern European","South Eastern European","Eastern European","North African and Middle Eastern, nfd","Arab","Jewish","Peoples of the Sudan","Other North African and Middle Eastern","South-East Asian, nfd","Mainland South-East Asian","Maritime South-East Asian","North-East Asian, nfd","Chinese Asian","Other North-East Asian","Southern and Central Asian, nfd","Southern Asian","Central Asian","Peoples of the Americas, nfd","North American","South American","Central American","Caribbean Islander","Sub-Saharan African, nfd","Central and West African","Southern and East African","Inadequately described","So described, nfd","Not stated","Total",
"SA2 (UR)",
"Box Head - MacMasters Beach",0,2986,18,9,0,15,0,5552,829,284,41,0,290,77,112,0,19,4,0,11,0,22,48,0,119,16,0,25,0,0,19,21,3,0,0,0,53,13,7,428,11042,
"Calga - Kulnura",5,1241,18,4,0,12,0,1978,214,114,19,0,305,106,54,0,35,0,0,3,0,13,21,0,81,13,0,30,0,0,12,11,0,0,0,0,13,6,4,393,4716,
"Erina - Green Point",0,3548,54,4,0,13,0,6979,965,432,43,0,375,163,174,0,92,4,0,20,0,82,80,0,293,57,0,169,6,0,20,68,9,0,0,0,103,14,29,948,14758,
"Gosford - Springfield",3,4934,100,11,0,52,0,8660,1331,533,55,0,498,187,306,3,122,4,9,93,5,165,465,0,634,302,0,1035,28,16,30,128,11,3,0,17,111,38,61,1266,21204,
"Kariong",0,1939,30,3,0,18,0,2825,305,142,18,0,190,61,75,6,54,0,0,20,0,25,76,0,111,55,0,158,9,0,13,42,0,0,0,3,36,8,9,247,6485,
"Kincumber - Picketts Valley",0,2108,20,0,0,10,0,3807,503,172,14,0,141,59,86,0,21,3,0,9,0,8,60,0,48,5,0,22,0,4,13,21,0,0,0,0,44,10,0,449,7615,
"Narara",0,2023,33,0,0,31,0,3262,426,150,19,0,161,70,60,0,18,3,0,11,0,44,94,0,153,68,0,192,3,0,7,43,0,3,0,0,45,5,11,208,7157,
"Niagara Park - Lisarow",0,2351,27,0,0,14,0,4000,486,197,36,0,176,52,85,0,20,11,0,21,0,21,78,0,82,60,0,102,0,5,20,18,0,0,0,9,51,8,20,242,8205,
"Point Clare - Koolewong",0,1544,28,0,0,18,0,3157,452,195,20,0,153,57,66,0,34,4,0,13,0,45,66,0,170,52,0,68,6,3,17,34,0,0,0,0,47,0,9,309,6571,
"Saratoga - Davistown",0,2060,21,4,0,8,0,3666,512,168,24,0,151,49,47,0,12,0,0,0,0,10,14,0,37,17,0,24,0,0,6,15,0,0,0,0,21,4,8,292,7160,
