sa2_name_2021,in_wslhd,in_metro,pop_size,arthritis,asthma,cancer,dementia,diabetes,heart_disease,kidney_disease,lung_condition,mental_health,stroke,prop_arthritis,prop_asthma,prop_cancer,prop_dementia,prop_diabetes,prop_heart_disease,prop_kidney_disease,prop_lung_condition,prop_mental_health,prop_stroke
Gosford - Springfield,0,0,21204,2036,2020,704,157,1021,880,242,478,2650,225,0.09601961893982268,0.09526504433125825,0.03320128277683456,0.007404263346538389,0.04815129220901717,0.0415016034710432,0.01141294095453688,0.022542916430862103,0.12497641954348236,0.010611205432937181
Kariong,0,0,6485,458,630,164,22,310,200,60,103,659,33,0.07062451811873555,0.09714726291441789,0.025289128758673864,0.003392444101773323,0.047802621434078645,0.03084040092521203,0.009252120277563608,0.015882806476484195,0.10161912104857364,0.005088666152659985
Kincumber - Picketts Valley,0,0,7615,1054,694,333,107,422,463,116,204,783,123,0.13841103086014445,0.09113591595535128,0.043729481286933686,0.014051214707813526,0.05541694024950755,0.060801050558109,0.015233092580433356,0.026789231779382798,0.10282337491792515,0.016152330925804332
Narara,0,0,7157,650,760,240,31,358,266,80,121,770,75,0.09082017605141819,0.10618974430627358,0.03353360346513903,0.00433142378091379,0.05002095850216571,0.037166410507195755,0.011177867821713008,0.016906525080340924,0.10758697778398771,0.010479251082855945
Niagara Park - Lisarow,0,0,8205,794,815,285,76,363,329,91,150,923,104,0.0967702620353443,0.09932967702620353,0.03473491773308958,0.009262644728823887,0.044241316270566725,0.0400975015234613,0.01109079829372334,0.018281535648994516,0.11249238269347958,0.01267519804996953
Point Clare - Koolewong,0,0,6571,726,595,279,114,375,360,98,167,697,103,0.1104854664434637,0.09054938365545578,0.042459290823314566,0.017348957540709177,0.05706893927864861,0.054786181707502664,0.014914016131486836,0.02541470095875818,0.10607213513924821,0.015674935321868817
Saratoga - Davistown,0,0,7160,774,612,303,65,332,363,60,157,664,82,0.10810055865921787,0.08547486033519552,0.04231843575418994,0.009078212290502794,0.04636871508379888,0.05069832402234637,0.008379888268156424,0.02192737430167598,0.09273743016759776,0.011452513966480447
Terrigal - North Avoca,0,0,14849,1241,1080,520,81,482,580,130,209,1038,134,0.08357465149168294,0.0727321705165331,0.035019193211664086,0.005454912788739982,0.0324600983231194,0.03905986935147148,0.008754798302916022,0.014075021886995758,0.06990369721866792,0.009024176712236515
Umina - Booker Bay - Patonga,0,0,24697,3073,2349,1025,332,1433,1339,315,785,2682,373,0.1244280681864194,0.09511276673280156,0.04150301656071587,0.013442928290885532,0.058023241689274,0.054217111390047375,0.012754585577195611,0.03178523707332875,0.1085961857715512,0.015103048953314168
Wamberal - Forresters Beach,0,0,10675,911,830,388,45,332,427,84,146,739,109,0.08533957845433256,0.07775175644028103,0.03634660421545668,0.004215456674473068,0.031100702576112412,0.04,0.007868852459016393,0.013676814988290398,0.0692271662763466,0.010210772833723654
Woy Woy - Blackwall,0,0,14346,1781,1415,599,273,956,840,218,520,1740,234,0.12414610344346856,0.0986337655095497,0.041753798968353545,0.01902969468841489,0.06663878433012686,0.05855290673358427,0.01519587341419211,0.03624703750174264,0.12128816394813885,0.01631116687578419
Wyoming,0,0,11423,1362,1269,419,197,687,625,165,311,1372,172,0.11923312614899764,0.11109165718287665,0.03668038168607196,0.017245907379847675,0.06014181913682921,0.054714173159415215,0.014444541714085617,0.02722577256412501,0.12010855291954828,0.015057340453471067
Bateau Bay - Killarney Vale,0,0,22825,2621,2155,814,262,1142,1137,252,564,2440,284,0.1148302300109529,0.09441401971522453,0.03566265060240964,0.011478641840087624,0.050032858707557505,0.049813800657174154,0.01104052573932092,0.02470974808324206,0.10690032858707557,0.01244249726177437
Blue Haven - San Remo,0,0,11290,1251,1376,309,70,721,440,157,320,1587,139,0.1108060230292294,0.12187776793622675,0.02736935341009743,0.006200177147918512,0.06386182462356067,0.038972542072630643,0.013906111603188663,0.0283436669619132,0.14056687333923826,0.012311780336581046
Budgewoi - Buff Point - Halekulani,0,0,9728,1439,1006,392,76,682,601,162,401,1232,157,0.14792351973684212,0.10341282894736842,0.04029605263157895,0.0078125,0.07010690789473684,0.06178042763157895,0.01665296052631579,0.04122121710526316,0.12664473684210525,0.016138980263157895
Chittaway Bay - Tumbi Umbi,0,0,16006,1747,1526,586,120,797,728,203,346,1665,152,0.10914657003623641,0.09533924778208172,0.03661127077345995,0.00749718855429214,0.04979382731475697,0.045482943896038984,0.01268274397101087,0.02161689366487567,0.10402349119080345,0.00949643883543671
Gorokan - Kanwal - Charmhaven,0,0,22362,3004,2479,868,281,1554,1242,335,833,3036,366,0.13433503264466506,0.11085770503532778,0.038815848314104284,0.012565960110902424,0.06949288972363832,0.055540649315803596,0.01498077095071997,0.037250693140148464,0.13576603166085324,0.016367051247652267
Jilliby - Yarramalong,0,0,3420,288,250,118,14,133,129,26,66,314,27,0.08421052631578947,0.07309941520467836,0.03450292397660819,0.004093567251461989,0.03888888888888889,0.037719298245614034,0.00760233918128655,0.01929824561403509,0.09181286549707603,0.007894736842105263
Lake Munmorah - Mannering Park,0,0,10960,1992,1147,540,97,935,818,222,481,1310,228,0.18175182481751825,0.10465328467153284,0.04927007299270073,0.00885036496350365,0.08531021897810219,0.07463503649635037,0.020255474452554746,0.04388686131386861,0.11952554744525548,0.020802919708029197
Ourimbah - Fountaindale,0,0,4928,450,525,153,18,194,183,42,71,533,51,0.09131493506493507,0.10653409090909091,0.031047077922077924,0.0036525974025974025,0.03936688311688312,0.037134740259740256,0.008522727272727272,0.014407467532467532,0.10815746753246754,0.010349025974025974
Summerland Point - Gwandalan,0,0,6492,866,647,240,39,416,347,95,201,722,66,0.13339494762784967,0.0996611213801602,0.036968576709796676,0.006007393715341959,0.0640788662969809,0.05345040049291436,0.01463339494762785,0.030961182994454713,0.11121380160197165,0.010166358595194085
The Entrance,0,0,15839,2077,1550,641,112,915,932,239,531,1822,249,0.13113201591009532,0.09785971336574278,0.040469726624155565,0.007071153481911737,0.05776879853526107,0.058842098617336955,0.015089336448008082,0.03352484374013511,0.115032514678957,0.015720689437464488
Toukley - Norah Head,0,0,9909,1458,973,462,178,649,685,176,397,1272,187,0.14713896457765668,0.09819356140882027,0.046624280956706024,0.01796346755474821,0.06549601372489657,0.06912907457866586,0.017761630840649915,0.04006458774851145,0.1283681501665153,0.018871732768190534
Tuggerah - Kangy Angy,0,0,5229,513,513,165,26,269,214,54,112,589,38,0.0981067125645439,0.0981067125645439,0.03155479059093517,0.0049722700325109965,0.051443870720979154,0.04092560719066743,0.010327022375215147,0.0214190093708166,0.11264104035188373,0.007267163893669918
Warnervale - Wadalba,0,0,20051,1816,1954,525,235,1027,722,219,371,2273,211,0.09056904892524063,0.09745149867837015,0.026183232756470998,0.0117201137100394,0.05121939055408708,0.03600817914318488,0.010922148521270759,0.018502817814572838,0.11336092962944491,0.01052316592688644
Wyong,0,0,9120,1055,966,286,60,587,432,125,307,1266,104,0.11567982456140351,0.10592105263157894,0.03135964912280702,0.006578947368421052,0.0643640350877193,0.04736842105263158,0.013706140350877192,0.033662280701754387,0.1388157894736842,0.011403508771929825
Bathurst - East,0,0,12330,1239,1458,370,97,669,485,124,221,1279,117,0.10048661800486618,0.11824817518248175,0.030008110300081103,0.007866991078669911,0.05425790754257907,0.03933495539334955,0.010056772100567721,0.01792376317923763,0.10373073803730738,0.00948905109489051
Bathurst Surrounds,0,0,6909,713,627,267,24,297,280,63,130,534,66,0.10319872629903025,0.090751194094659135,0.03864524533217542,0.0034737299174989146,0.04298740772904907,0.040526849037487336,0.00911854103343465,0.01881603705311912,0.07729049066435084,0.009552757273122015
Oberon,0,0,4834,538,432,172,49,327,211,49,109,388,59,0.11129499379395945,0.08936698386429458,0.03558129913115432,0.010136532892014894,0.06764584195283409,0.04364915184112536,0.010136532892014894,0.02254861398427803,0.08026479106330162,0.01220521307405875
Bathurst - South,0,0,10752,1232,1160,367,215,574,492,98,284,1417,151,0.11458333333333333,0.10788690476190477,0.03413318452380952,0.01999627976190476,0.053385416666666664,0.04575892857142857,0.009114583333333334,0.026413690476190476,0.13178943452380953,0.01404389880952381
Bathurst - West,0,0,14313,1395,1670,444,56,656,510,114,262,1572,136,0.09746384405784951,0.1166771466498987,0.031020750366799413,0.003912527073290016,0.04583246000139733,0.03563194298889122,0.007964787256340389,0.01830503737860686,0.10983022427164117,0.009501851463704325
Condobolin,0,0,6372,719,692,195,71,410,311,78,140,437,72,0.11283741368487131,0.10860012554927809,0.030602636534839925,0.011142498430634024,0.06434400502197113,0.04880728185812932,0.01224105461393597,0.02197112366603892,0.06858129315756434,0.011299435028248588
Cowra,0,0,9273,1197,942,347,137,610,493,113,303,1058,111,0.12908443869297961,0.1015852474927208,0.03742046802545023,0.014774075272295913,0.06578237894963873,0.05316510298716704,0.012185916100506847,0.032675509543836946,0.11409468348970128,0.011970236169524426
Cowra Surrounds,0,0,5716,845,552,231,52,364,283,65,194,571,69,0.14783065080475857,0.09657102869139259,0.040412876137158854,0.009097270818754374,0.06368089573128062,0.04951014695591323,0.011371588523442968,0.033939818054583626,0.09989503149055283,0.012071378586424073
Forbes,0,0,10020,1203,927,392,98,634,534,131,282,936,99,0.12005988023952095,0.09251497005988024,0.03912175648702595,0.009780439121756487,0.06327345309381238,0.053293413173652694,0.013073852295409182,0.0281437125748503,0.09341317365269461,0.009880239520958085
Grenfell,0,0,3597,552,398,151,45,219,238,47,145,363,61,0.15346121768140117,0.11064776202390882,0.04197942730052822,0.012510425354462052,0.060884070058381985,0.06616624965248818,0.013066444259104809,0.04031137058659994,0.10091743119266056,0.016958576591604116
Parkes (NSW),0,0,10919,1199,1200,339,117,636,538,117,251,1178,127,0.10980859053026834,0.10990017400860885,0.031046799157431998,0.010715266965839363,0.05824709222456269,0.04927191134719296,0.010715266965839363,0.02298745306346735,0.10788533748511768,0.011631101749244437
Parkes Surrounds,0,0,3262,401,337,100,31,212,167,46,102,272,48,0.1229307173513182,0.10331085223789087,0.030656039239730228,0.00950337216431637,0.06499080318822809,0.05119558553034948,0.014101778050275904,0.03126916002452483,0.08338442673206621,0.014714898835070508
West Wyalong,0,0,5525,706,482,205,33,313,232,51,136,378,49,0.12778280542986425,0.08723981900452489,0.037104072398190045,0.005972850678733032,0.05665158371040724,0.04199095022624434,0.009230769230769232,0.024615384615384615,0.06841628959276018,0.008868778280542987
Lithgow,0,1,12385,1817,1281,433,167,888,740,127,385,1465,174,0.14670972951150585,0.10343157044812273,0.0349616471538151,0.01348405329027049,0.07169963665724667,0.059749697214372226,0.010254339927331449,0.03108599111828825,0.1182882519176423,0.01404925312878482
Lithgow Surrounds,0,1,8448,1079,742,310,32,506,400,90,243,764,91,0.12772253787878787,0.08783143939393939,0.03669507575757576,0.003787878787878788,0.059895833333333336,0.04734848484848485,0.01065340909090909,0.028764204545454544,0.09043560606060606,0.010771780303030304
Mudgee,0,0,12563,1092,1185,336,104,529,542,119,315,1224,118,0.08692191355567938,0.09432460399586086,0.026745204170978268,0.008278277481493275,0.04210777680490329,0.043142561490089944,0.009472259810554804,0.025073628910292127,0.09742895805142084,0.009392660988617369
Mudgee Surrounds - East,0,0,3398,564,316,144,34,255,209,52,152,333,59,0.16597998822836962,0.09299587992937022,0.04237786933490288,0.010005885815185403,0.07504414361389053,0.061506768687463215,0.015303119482048263,0.04473219540906415,0.09799882283696291,0.017363154796939378
Mudgee Surrounds - West,0,0,11072,1187,1026,352,58,561,573,143,300,910,114,0.10720736994219653,0.09266618497109827,0.031791907514450865,0.0052384393063583815,0.05066835260115607,0.051752167630057806,0.012915462427745664,0.027095375722543353,0.08218930635838151,0.010296242774566474
Wollangambe - Wollemi,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blayney,0,0,7517,798,783,275,46,403,347,67,192,712,81,0.1061593720899295,0.10416389517094586,0.036583743514700014,0.0061194625515498206,0.05361181322336038,0.04616203272582147,0.008913130238126912,0.025542104562990556,0.09471863775442331,0.01077557536251164
Orange,0,0,19023,2215,1907,612,240,1114,1007,244,572,2638,248,0.11643799610997214,0.10024706933711823,0.032171581769437,0.012616306576249802,0.058560689691426165,0.05293591967618146,0.012826578352520632,0.030068864006728698,0.13867423645061241,0.013036850128791463
Orange - North,0,0,22895,1865,2289,599,103,920,793,174,410,2471,165,0.08145883380650797,0.09997816117056126,0.026162917667613014,0.004498798864380869,0.04018344616728543,0.03463638348984494,0.007599912644682245,0.017907840139768507,0.10792749508626337,0.007206813714784888
Orange Surrounds,0,0,11830,1099,1036,404,46,513,501,81,219,955,86,0.09289940828402367,0.08757396449704143,0.034150464919695686,0.0038884192730346575,0.0433643279797126,0.04234995773457312,0.006846999154691462,0.018512256973795434,0.08072696534234995,0.0072696534234995775
Grafton,0,0,19255,2604,2120,742,254,1288,1213,368,677,2519,281,0.13523760062321474,0.11010127239678005,0.03853544533887302,0.013191378862633083,0.06689171643728901,0.06299662425344066,0.019111918982082577,0.035159698779537785,0.1308231628148533,0.014593612048818488
Grafton Surrounds,0,0,16875,2215,1403,676,116,898,906,209,585,1779,188,0.13125925925925927,0.08314074074074074,0.04005925925925926,0.006874074074074074,0.05321481481481481,0.05368888888888889,0.012385185185185185,0.034666666666666665,0.10542222222222222,0.011140740740740741
Maclean - Yamba - Iluka,0,0,17533,2874,1555,927,230,1094,1258,324,666,1835,319,0.16391946614954656,0.08868989904751041,0.05287172759938402,0.013118120116352022,0.06239662350995266,0.07175041350596019,0.018479438772600238,0.037985513032567156,0.10465978440654765,0.01819426224833172
Bellingen,0,0,6168,570,454,197,56,180,210,42,128,640,66,0.09241245136186771,0.07360570687418937,0.031939040207522695,0.009079118028534372,0.029182879377431907,0.03404669260700389,0.006809338521400778,0.020752269779507133,0.10376134889753567,0.010700389105058366
Coffs Harbour - North,0,0,18099,2244,1631,682,154,934,1027,258,588,2118,227,0.1239847505387038,0.09011547599314879,0.03768163986960606,0.008508757389911045,0.051605061053096854,0.05674346648986132,0.014254931211669153,0.03248798276147853,0.1170230399469584,0.012542129399414332
Coffs Harbour - South,0,0,11305,1380,945,482,276,556,637,155,370,1342,189,0.12206988058381248,0.08359133126934984,0.042636001769128705,0.024413976116762496,0.04918177797434763,0.056346749226006194,0.013710747456877488,0.03272888102609465,0.11870853604599735,0.01671826625386997
Coramba - Nana Glen - Bucca,0,0,3950,363,299,141,19,129,161,31,94,378,23,0.0918987341772152,0.075696202531645565,0.03569620253164557,0.004810126582278481,0.03265822784810127,0.04075949367088608,0.007848101265822785,0.02379746835443038,0.09569620253164557,0.005822784810126582
Dorrigo,0,0,3250,374,242,125,30,155,213,58,130,322,39,0.11507692307692308,0.07446153846153847,0.038461538461538464,0.009230769230769232,0.047692307692307694,0.06553846153846153,0.017846153846153845,0.04,0.09907692307692308,0.012
Korora - Emerald Beach,0,0,10262,1001,793,345,57,301,406,101,190,879,84,0.09754433833560709,0.0772753849152212,0.033619177548236213,0.005554472812317287,0.029331514324693043,0.03956343792633015,0.009842136035860457,0.018514909374390955,0.08565581757941922,0.008185538881309686
Sawtell - Boambee,0,0,20066,2695,1880,786,167,956,1210,229,607,2237,237,0.13430678760091697,0.093690820293033,0.03917073656932124,0.008322535632413038,0.047642778829861454,0.060301006677962725,0.011412339280374764,0.030250174424399482,0.11148210904016745,0.011811023622047244
Urunga,0,0,4907,659,352,235,79,256,319,78,177,535,72,0.13429794171591602,0.07173425718361524,0.04789076829019768,0.01609944976564092,0.052170368860811084,0.06500917057265132,0.01589565926227838,0.03607091909517016,0.10902791929896066,0.014672916242103118
Woolgoolga - Arrawarra,0,0,14463,1756,1119,560,145,623,785,137,451,1436,185,0.12141326142570698,0.07736984028209914,0.03871949111525963,0.01002558252091544,0.043075433865726334,0.054276429509783584,0.009472446933554587,0.03118301873746802,0.09928783793127291,0.012791260457719698
Bourke - Brewarrina,0,0,3428,222,285,66,28,202,154,46,53,194,39,0.0647607934655776,0.08313885647607934,0.019253208868144692,0.008168028004667444,0.058926487747957994,0.044924154025670945,0.013418903150525088,0.015460910151691949,0.056592765460910154,0.011376896149358226
Cobar,0,0,4129,334,369,101,35,231,181,35,76,276,38,0.08089125696294502,0.08936788568660693,0.024461128602567207,0.008476628723661903,0.05594574957616857,0.043836279970937274,0.008476628723661903,0.018406393799951563,0.06684427222087673,0.009203196899975782
Coonamble,0,0,3926,370,469,121,46,268,213,61,96,308,37,0.09424350483953133,0.11946001018848701,0.030820173204279166,0.011716760061130923,0.06826286296484972,0.05425369332654101,0.01553744268976057,0.02445236882322975,0.07845134997452878,0.009424350483953133
Nyngan - Warren,0,0,4591,470,441,155,39,269,259,49,123,305,57,0.10237421041167502,0.09605750381180571,0.03376170768895666,0.008494881289479415,0.05859289915051187,0.05641472446090177,0.010673055979089524,0.026791548682204312,0.06643432803310825,0.012415595730777608
Walgett - Lightning Ridge,0,0,5534,539,397,144,27,344,275,58,175,351,50,0.09739790386700398,0.07173834477773762,0.026020961329960245,0.004878930249367546,0.06216118539934948,0.04969280809541019,0.010480664980122878,0.03162269606071558,0.0634260932417781,0.009035056017347307
Broken Hill,0,0,17588,2497,2118,596,181,1439,1067,273,590,2084,239,0.14197179895383216,0.12042301569251762,0.03388674095974528,0.010291107573345462,0.08181714805549238,0.0606663634296111,0.015521946781896747,0.033545599272231066,0.11848987946327041,0.013588810552649534
Far West,0,0,2288,181,181,54,8,129,98,29,46,137,26,0.079108391608391615,0.079108391608391615,0.0236013986013986,0.0034965034965034965,0.05638111888111888,0.04283216783216783,0.012674825174825174,0.020104895104895104,0.059877622377622376,0.011363636363636364
Coonabarabran,0,0,7921,1089,772,320,88,466,476,116,255,667,95,0.13748264108067162,0.09746244161090771,0.040398939527837394,0.011109708370155284,0.05883095568741321,0.06009342254765812,0.014644615578841055,0.03219290493624542,0.08420653957833607,0.011993435172326726
Dubbo - East,0,0,10633,1063,1238,273,87,559,429,122,215,1196,103,0.0999717859494028,0.11642998213110128,0.025674786043449638,0.008182074673187247,0.052572180946111165,0.04034609235399229,0.011473713909526945,0.02022006959465814,0.11248001504749365,0.009686824038371109
Dubbo - South,0,0,19628,1823,1963,576,169,1004,833,202,415,1902,187,0.09287752190747911,0.10001018952516813,0.029345832484206236,0.008610148767067454,0.05115141634399837,0.04243937232524964,0.010291420419808437,0.021143264723863867,0.09690238434888934,0.0095272060321989
Dubbo - West,0,0,10317,1028,1108,269,104,578,522,97,236,973,103,0.09964136861490744,0.10739556072501696,0.026073470970243286,0.010080449743142386,0.05602403799554134,0.05059610351846467,0.009401957933507803,0.02287486672482311,0.09431036153920713,0.009983522341766016
Dubbo Surrounds,0,0,5963,572,569,189,19,269,265,58,125,478,57,0.09592487003186316,0.09542176756666107,0.031695455307731005,0.0031863156129465033,0.04511152104645313,0.04444071775951702,0.009726647660573537,0.020962602716753313,0.08016099278886467,0.00955894683883951
Gilgandra,0,0,4398,530,414,161,26,228,245,49,99,357,46,0.12050932241928149,0.0941336971350614,0.03660754888585721,0.005911778080945885,0.05184174624829468,0.055707139608913145,0.011141427921782628,0.022510231923601638,0.08117326057298772,0.010459299681673489
