sa2_name_2021,in_wslhd,in_metro,pop_size
Wentworth-Balranald Region,0,0,3648
Corowa,0,0,5595
Corowa Surrounds,0,0,7262
Deniliquin,0,0,7038
Deniliquin Surrounds,0,0,6837
Moama,0,0,6930
Tocumwal - Finley - Jerilderie,0,0,9778
Armidale,0,0,23967
Armidale Surrounds - North,0,0,4527
Armidale Surrounds - South,0,0,5894
Walcha,0,0,3144
Glen Innes,0,0,8931
Inverell,0,0,12057
Inverell Surrounds - East,0,0,5200
Inverell Surrounds - West,0,0,5734
Tenterfield,0,0,6810
Moree,0,0,7845
Moree Surrounds,0,0,5356
Narrabri,0,0,6898
Narrabri Surrounds,0,0,4616
Gunnedah,0,0,9745
Gunnedah Surrounds,0,0,4369
Quirindi,0,0,7551
Tamworth - East,0,0,21360
Tamworth - North,0,0,16517
Tamworth - West,0,0,5998
Tamworth Surrounds,0,0,19038
Belmont - Bennetts Green,0,0,17864
Belmont South - Blacksmiths,0,0,5680
Charlestown - Dudley,0,0,25254
Glendale - Cardiff - Hillsborough,0,0,24588
Mount Hutton - Windale,0,0,9504
Redhead,0,0,3785
Swansea - Caves Beach,0,0,12559
Valentine - Eleebana,0,0,12568
Warners Bay - Boolaroo,0,0,14694
Bolton Point - Teralba,0,0,10135
Bonnells Bay - Silverwater,0,0,9691
Edgeworth - Cameron Park,0,0,16375
Morisset - Cooranbong,0,0,18129
Toronto - Awaba,0,0,13961
Wangi Wangi - Rathmines,0,0,9467
West Wallsend - Barnsley - Killingworth,0,0,7254
Adamstown - Kotara,0,0,16600
Beresfield - Hexham,0,0,8561
Hamilton - Broadmeadow,0,0,12772
Lambton - New Lambton,0,0,17343
Maryland - Fletcher - Minmi,0,0,16429
Mayfield - Warabrook,0,0,15526
Merewether - The Junction,0,0,14506
Newcastle - Cooks Hill,0,0,12805
Newcastle Port - Kooragang,0,0,31
Shortland - Jesmond,0,0,12593
Stockton - Fullerton Cove,0,0,8824
Wallsend - Elermore Vale,0,0,20958
Waratah - North Lambton,0,0,12883
Wickham - Carrington - Tighes Hill,0,0,9171
Ballina,0,0,18629
Ballina Surrounds,0,0,18327
Bangalow,0,0,6958
Brunswick Heads - Ocean Shores,0,0,9170
Byron Bay,0,0,10914
Evans Head,0,0,5643
Lennox Head - Skennars Head,0,0,9236
Mullumbimby,0,0,8896
Casino,0,0,12298
Casino Surrounds,0,0,7381
Goonellabah,0,0,13591
Kyogle,0,0,7611
Lismore,0,0,15229
Lismore Surrounds,0,0,15786
Kingscliff - Fingal Head,0,0,14818
Murwillumbah,0,0,9501
Murwillumbah Surrounds,0,0,10352
Pottsville,0,0,14086
Tweed Heads,0,0,20563
Banora Point,0,0,16320
Terranora - North Tumbulgum,0,0,3324
Tweed Heads South,0,0,8423
Griffith (NSW),0,0,20569
Griffith Surrounds,0,0,12760
Leeton,0,0,10330
Narrandera,0,0,5905
Tumbarumba,0,0,3522
Tumut,0,0,6667
Tumut Surrounds,0,0,4744
Cootamundra,0,0,7705
Gundagai,0,0,3715
Junee,0,0,6351
Temora,0,0,6603
Wagga Wagga - East,0,0,16921
Wagga Wagga - North,0,0,5605
Wagga Wagga - South,0,0,22522
Wagga Wagga - West,0,0,11962
Wagga Wagga Surrounds,0,0,17788
Berry - Kangaroo Valley,0,0,9489
Callala Bay - Currarong,0,0,3642
Culburra Beach,0,0,5105
Ettrema - Sassafras - Budawang,0,0,62
Huskisson - Vincentia,0,0,4844
North Nowra - Bomaderry,0,0,16098
Nowra,0,0,22584
St Georges Basin - Erowal Bay,0,0,15259
Sussex Inlet - Berrara,0,0,4694
Tomerong - Wandandian - Woollamia,0,0,3708
Ulladulla,0,0,17026
Ulladulla Surrounds,0,0,5822
Bowral,0,1,13626
Hill Top - Colo Vale,0,1,6393
Mittagong,0,1,10931
Moss Vale - Berrima,0,1,10648
Robertson - Fitzroy Falls,0,1,3829
Southern Highlands,0,1,7250
Baulkham Hills - East,1,1,24726
Baulkham Hills (West) - Bella Vista,1,1,21683
Glenhaven,1,1,6361
West Pennant Hills,1,1,12683
Castle Hill - Central,1,1,7677
Castle Hill - East,0,1,5670
Castle Hill - North,1,1,12189
Castle Hill - South,1,1,10419
Castle Hill - West,1,1,5183
Cherrybrook,0,1,19082
Kellyville - East,1,1,17709
Kellyville - West,1,1,11375
